# SI Table 7 -- robustness of the memory-two maps (written by SITable7/sitable7.py).  One row per run (data/robustness/runs.csv).
# block: a the cube at eps = 1e-4, b the error rate, c the mutation kernel; reference: the run whose most abundant atom
# 'agree' compares with; N, beta, mu, eps, nu: the parameters; agree: games whose most abundant atom is the reference's;
# led111, led110: games whose most abundant atom is 111 / 110; eff_below_0.9: games with realised efficiency below 0.9;
# led111_in_S: of the 126 games of the wedge S; led111_in_PDW: of the 86 Prisoner's Dilemmas of the wedge W;
# PDW_eff_below_0.9: games of PD/W with efficiency below 0.9.
block,run,reference,N,beta,mu,eps,nu,agree,led111,led110,eff_below_0.9,led111_in_S,led111_in_PDW,PDW_eff_below_0.9
a,f2_e4,f1_e4,100,3,1e-4,1e-4,1.0,359,89,364,91,42,0,74
a,c2_e4,f1_e4,100,3,1e-2,1e-4,1.0,410,136,341,88,70,14,70
a,c4_e4,f1_e4,1000,3,1e-4,1e-4,1.0,420,129,373,28,59,23,28
a,dw4_e4,f1_e4,1000,3,1e-2,1e-4,1.0,485,199,300,12,126,22,3
a,c3_e4,f1_e4,100,100,1e-4,1e-4,1.0,409,103,373,66,64,0,62
a,c1_e4,f1_e4,100,100,1e-2,1e-4,1.0,467,152,351,76,93,17,57
a,dw3_e4,f1_e4,1000,100,1e-4,1e-4,1.0,485,189,312,30,123,15,30
a,f1_e4,f1_e4,1000,100,1e-2,1e-4,1.0,512,186,323,10,126,19,3
b,eh_e3,f1_e4,1000,100,1e-2,1e-3,1.0,494,184,315,43,126,15,23
b,eh_e5,f1_e4,1000,100,1e-2,1e-5,1.0,508,184,326,10,126,20,1
b,el_e3,f2_e4,100,3,1e-4,1e-3,1.0,480,109,345,88,61,0,72
b,el_e5,f2_e4,100,3,1e-4,1e-5,1.0,500,89,365,90,41,0,73
c,lm_g0_e4,f1_e4,1000,100,1e-2,1e-4,0.0,461,149,313,3,126,12,3
c,lm_g01_e4,f1_e4,1000,100,1e-2,1e-4,0.1,469,157,313,7,126,15,5
c,lm_g05_e4,f1_e4,1000,100,1e-2,1e-4,0.5,494,176,318,8,126,18,5
