# The exact eps -> 0 limit of the stationary distribution of every ordered pair of binary memory-one
# strategies with independent implementation errors, computed by sitable8.py (Markov chain tree theorem,
# exact rational arithmetic). sigma, tau: the genomes (answers at CC, CD, DC, DD); sigma_id, tau_id: their ids.
# w_CC, w_CD, w_DC, w_DD: the limit frequencies of the four outcomes seen from sigma's side, as exact fractions.
# sigma's payoff is R w_CC + S w_CD + T w_DC + P w_DD, tau's is R w_CC + T w_CD + S w_DC + P w_DD.
sigma,tau,sigma_id,tau_id,w_CC,w_CD,w_DC,w_DD
DDDD,DDDD,0,0,0,0,0,1
DDDD,CDDD,0,1,0,0,0,1
DDDD,DCDD,0,2,0,0,1/3,2/3
DDDD,CCDD,0,3,0,0,1/2,1/2
DDDD,DDCD,0,4,0,0,0,1
DDDD,CDCD,0,5,0,0,0,1
DDDD,DCCD,0,6,0,0,1/2,1/2
DDDD,CCCD,0,7,0,0,2/3,1/3
DDDD,DDDC,0,8,0,0,1/2,1/2
DDDD,CDDC,0,9,0,0,1/2,1/2
DDDD,DCDC,0,10,0,0,1,0
DDDD,CCDC,0,11,0,0,1,0
DDDD,DDCC,0,12,0,0,1/2,1/2
DDDD,CDCC,0,13,0,0,1/2,1/2
DDDD,DCCC,0,14,0,0,1,0
DDDD,CCCC,0,15,0,0,1,0
CDDD,DDDD,1,0,0,0,0,1
CDDD,CDDD,1,1,0,0,0,1
CDDD,DCDD,1,2,0,0,1/3,2/3
CDDD,CCDD,1,3,1/6,0,1/3,1/2
CDDD,DDCD,1,4,0,0,0,1
CDDD,CDCD,1,5,0,0,0,1
CDDD,DCCD,1,6,0,0,2/3,1/3
CDDD,CCCD,1,7,1/4,0,1/2,1/4
CDDD,DDDC,1,8,0,0,1/2,1/2
CDDD,CDDC,1,9,1/5,0,2/5,2/5
CDDD,DCDC,1,10,0,0,1,0
CDDD,CCDC,1,11,1/3,0,2/3,0
CDDD,DDCC,1,12,0,0,1/2,1/2
CDDD,CDCC,1,13,1/5,0,2/5,2/5
CDDD,DCCC,1,14,0,0,1,0
CDDD,CCCC,1,15,1/3,0,2/3,0
DCDD,DDDD,2,0,0,1/3,0,2/3
DCDD,CDDD,2,1,0,1/3,0,2/3
DCDD,DCDD,2,2,0,1/4,1/4,1/2
DCDD,CCDD,2,3,0,1/6,1/2,1/3
DCDD,DDCD,2,4,0,0,0,1
DCDD,CDCD,2,5,0,0,0,1
DCDD,DCCD,2,6,0,0,1/3,2/3
DCDD,CCCD,2,7,0,0,2/3,1/3
DCDD,DDDC,2,8,0,1/5,2/5,2/5
DCDD,CDDC,2,9,0,1/5,2/5,2/5
DCDD,DCDC,2,10,0,0,1,0
DCDD,CCDC,2,11,0,0,1,0
DCDD,DDCC,2,12,0,0,1/2,1/2
DCDD,CDCC,2,13,0,0,1/2,1/2
DCDD,DCCC,2,14,0,0,1,0
DCDD,CCCC,2,15,0,0,1,0
CCDD,DDDD,3,0,0,1/2,0,1/2
CCDD,CDDD,3,1,1/6,1/3,0,1/2
CCDD,DCDD,3,2,0,1/2,1/6,1/3
CCDD,CCDD,3,3,1/4,1/4,1/4,1/4
CCDD,DDCD,3,4,1/4,1/4,0,1/2
CCDD,CDCD,3,5,1/2,0,0,1/2
CCDD,DCCD,3,6,1/4,1/4,1/4,1/4
CCDD,CCCD,3,7,1/2,0,1/3,1/6
