# The 19 cases of Figure 1: a case is the set of atoms that are non-empty at a game.  Twelve occur at memory one,
# ten at memory two, three at both; they are numbered once, by the number of empty atoms and then by the total
# share of the two disks, as fig1.py numbers them.
# present_xyz: 1 if atom xyz is non-empty in the case.  m1_faces, m2_faces: the number of faces of the case;
# m1_share, m2_share: the share of the disk's area (repr of a double; 0 where the case does not occur).
case,present_000,present_100,present_010,present_001,present_110,present_011,present_111,m1_faces,m1_share,m2_faces,m2_share
1,1,1,1,1,1,1,1,0,0.0,6552,0.13073604525774002
2,1,0,1,1,1,1,1,0,0.0,3985,0.1701508424836246
3,1,1,0,1,1,1,1,0,0.0,5488,0.12191936667069392
4,1,1,1,1,1,0,1,0,0.0,597,0.02354099703347383
5,1,1,1,1,0,1,1,0,0.0,1020,0.016010781950088336
6,1,1,0,1,1,0,1,0,0.0,2638,0.317145438543459
7,1,0,1,1,1,0,1,5,0.11005317854838476,2490,0.12197203806440678
8,1,0,1,1,1,1,0,9,0.16374460126230406,0,0.0
9,1,1,0,1,0,1,1,0,0.0,4397,0.07713947935136094
10,1,1,0,1,1,1,0,3,0.06063416761758213,0,0.0
11,1,1,0,1,0,0,1,3,0.10311043364226498,53,0.0028741653458619525
12,1,1,0,1,0,1,0,3,0.10311043364223783,0,0.0
13,1,0,0,1,1,0,1,3,0.027286417803512958,378,0.018510845299290764
14,1,1,0,1,1,0,0,2,0.00954997000708361,0,0.0
15,1,0,1,1,1,0,0,2,0.007211017964187013,0,0.0
16,1,0,0,1,0,1,0,6,0.17251079747786235,0,0.0
17,1,0,1,1,0,0,0,2,0.008819258615585874,0,0.0
18,1,0,0,1,1,0,0,1,0.0023389520428976508,0,0.0
19,1,0,0,1,0,0,0,6,0.23163077137609686,0,0.0
