# The 45 faces of the memory-one arrangement drawn in Figures 1b, 2a-g and 3a-d, in the order of the polygons of
# m1_faces_k4.npz, with the atom of each of the 16 binary memory-one strategies on each face.  Computed exactly, in
# rational arithmetic, by m1atoms.py (which rebuilds it and compares).
# Conventions: a game is (R, S, T, P) = (1, u, 1 + v, 0); the limit eps -> 0.  An atom is written
# efficient-stable-competitive; A_xyz is the number of strategies in atom xyz, in the order 000 100 010 001 110 011
# 111 (the atom 101 is empty everywhere, so the seven add up to the number of strategies).
# face: index 0..44.  u, v: a rational game strictly inside the face (as a double).  area: the plane area of the
# face within |u|, |v| <= 2000.  disk_area: the area of its polygon on the K = 4 disk.  quadrant, wedge: as in
# m2_faces.csv.  A_000 ... A_111: the atoms.  case: the case number of Figure 1 (cases.csv).
# code_XXXX: the atom code 4 efficient + 2 stable + competitive (0..7) of the strategy XXXX, written by its answers
# after CC, CD, DC, DD (own action first): ALLC = CCCC, ALLD = DDDD, TFT = CDCD, WSLS = CDDC, Grim = CDDD.
face,u,v,area,disk_area,quadrant,wedge,A_000,A_100,A_010,A_001,A_110,A_011,A_111,case,code_DDDD,code_CDDD,code_DCDD,code_CCDD,code_DDCD,code_CDCD,code_DCCD,code_CCCD,code_DDDC,code_CDDC,code_DCDC,code_CCDC,code_DDCC,code_CDCC,code_DCCC,code_CCCC
0,1484.3870967741937,903.3225806451613,1996002.0000000002,0.16214672292335308,SD,E,12,0,0,4,0,0,0,19,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1,902.6470588235294,1215.9019607843138,1999998.9999999998,0.2999796069420029,SD,N,12,0,0,4,0,0,0,19,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0.75,1045.9318181818182,999.5,0.06507566903317041,SD,N,12,0,0,4,0,0,0,19,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3,0.25,1045.9318181818182,999.5,0.06770218408328166,SD,N,12,0,0,4,0,0,0,19,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4,-0.25,1046.0227272727273,999.375,0.06116468379566786,PD,N,12,0,0,3,0,1,0,16,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5,-0.75,1046.2613636363637,999.125,0.047665126926620616,PD,N,12,0,0,2,0,2,0,16,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6,-0.27419354838709675,1.1290322580645162,0.125,0.006537497877773357,PD,W,9,3,0,3,0,1,0,12,3,1,0,0,1,1,0,4,0,4,0,0,0,0,0,4
7,-0.7613636363636364,1.3522727272727273,0.375,0.01741053680687532,PD,W,9,3,0,2,0,2,0,12,3,3,0,0,1,1,0,4,0,4,0,0,0,0,0,4
8,-903.3225806451613,1484.3870967741937,1996002.0,0.1621467229233673,PD,N,12,0,0,2,0,2,0,16,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,-1215.9019607843138,902.6470588235294,1999999.0,0.2999796069420029,PD,W,9,3,0,2,0,2,0,12,3,3,0,0,1,1,0,4,0,4,0,0,0,0,0,4
10,1046.1136363636363,0.5,1998.5,0.10882981071447517,SD,E,12,0,0,4,0,0,0,19,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
11,1.2903225806451613,0.7419354838709677,0.5,0.023948034684649233,SD,N,12,0,0,4,0,0,0,19,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,0.75,0.6136363636363636,0.375,0.020646257015564107,SD,N,11,0,1,4,0,0,0,17,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0
13,0.27419354838709675,0.8709677419354839,0.125,0.0070599754512151724,SD,N,11,0,1,4,0,0,0,17,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0
14,0.7258064516129032,0.12903225806451613,0.125,0.00734795880853828,SD,W,9,2,0,4,1,0,0,14,1,1,0,0,1,1,0,4,0,6,0,0,0,0,0,4
15,0.23863636363636365,0.3522727272727273,0.375,0.02265384753371183,SD,W,9,2,0,4,1,0,0,14,1,1,0,0,1,1,0,4,0,6,0,0,0,0,0,4
16,-0.25,0.5227272727272727,0.5,0.02971382298492703,PD,W,9,2,0,3,1,1,0,10,3,1,0,0,1,1,0,4,0,6,0,0,0,0,0,4
17,-0.75,0.5227272727272727,0.5,0.02799421582410222,PD,W,9,2,0,2,1,2,0,10,3,3,0,0,1,1,0,4,0,6,0,0,0,0,0,4
18,-1000.5,0.5227272727272727,1999.0,0.13277785310863166,PD,W,9,2,0,2,1,2,0,10,3,3,0,0,1,1,0,4,0,6,0,0,0,0,0,4
19,1046.0795454545455,-0.25,999.375,0.06116468379566964,HA,E,12,0,0,2,0,2,0,16,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,3
20,1.1290322580645162,-0.3548387096774194,0.125,0.006537497877773357,HA,S,11,1,0,2,0,0,2,11,0,0,0,0,0,1,0,7,0,4,0,0,0,1,0,7
21,0.7741935483870968,-0.3548387096774194,0.12499999999994316,0.007059975451211842,HA,S,11,0,0,2,1,0,2,13,0,0,0,0,0,1,0,7,0,6,0,0,0,1,0,7
22,0.6451612903225806,-0.12903225806451613,0.125,0.007347958808538196,HA,W,9,0,0,4,3,0,0,18,1,1,0,0,1,1,0,6,0,6,0,0,0,0,0,6
23,0.25,-0.23863636363636365,0.25000000000005684,0.01530588872517695,HA,W,8,0,1,4,3,0,0,15,1,1,0,0,1,1,0,6,2,6,0,0,0,0,0,6
24,-0.25,-0.23863636363636365,0.25,0.015305888725173522,SH,W,8,0,1,3,3,1,0,8,3,1,0,0,1,1,0,6,2,6,0,0,0,0,0,6
25,-0.75,-0.23863636363636365,0.25,0.014407934259753452,SH,W,8,0,1,2,3,2,0,8,3,3,0,0,1,1,0,6,2,6,0,0,0,0,0,6
26,-1000.5,-0.23863636363636365,999.5,0.06770218408327988,SH,W,8,0,1,2,3,2,0,8,3,3,0,0,1,1,0,6,2,6,0,0,0,0,0,6
27,1046.3181818181818,-0.75,999.125,0.04766512692662417,HA,E,12,0,0,2,0,2,0,16,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,3
28,1.3977272727272727,-0.7386363636363636,0.375,0.01741053680687532,HA,S,11,1,0,2,0,0,2,11,0,0,0,0,0,1,0,7,0,4,0,0,0,1,0,7
29,0.75,-0.7386363636363636,0.25,0.013586281564349045,HA,S,11,0,0,2,1,0,2,13,0,0,0,0,0,1,0,7,0,6,0,0,0,1,0,7
30,0.27419354838709675,-0.8548387096774194,0.125,0.007059975451215228,HA,S,10,0,1,2,1,0,2,7,0,0,0,0,0,1,0,7,2,6,0,0,0,1,0,7
31,0.14516129032258066,-0.6290322580645161,0.125,0.00734795880853828,HA,W,8,0,1,4,3,0,0,15,1,1,0,0,1,1,0,6,2,6,0,0,0,0,0,6
32,-0.25,-0.7386363636363636,0.25,0.014407934259753452,SH,W,7,0,2,3,3,1,0,8,3,1,0,0,1,1,0,6,2,6,0,0,0,0,2,6
33,-0.75,-0.7386363636363636,0.25,0.01358628156434838,SH,W,7,0,2,2,3,2,0,8,3,3,0,0,1,1,0,6,2,6,0,0,0,0,2,6
34,-1000.5,-0.7386363636363636,999.5,0.0650756690331562,SH,W,7,0,2,2,3,2,0,8,3,3,0,0,1,1,0,6,2,6,0,0,0,0,2,6
35,1484.3870967741937,-581.0645161290323,1996002.0,0.1621467229232536,HA,E,12,0,0,2,0,2,0,16,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,3
36,863.5686274509804,-1215.921568627451,1999998.9999999998,0.29997960694208814,HA,S,11,1,0,2,0,0,2,11,0,0,0,0,0,1,0,7,0,4,0,0,0,1,0,7
37,0.75,-1045.9318181818182,999.5000000002274,0.06507566903315976,HA,S,11,0,0,2,1,0,2,13,0,0,0,0,0,1,0,7,0,6,0,0,0,1,0,7
