# The 22872 cells of the arrangement of the 254 lines of m2_lines.csv over the plane of games (u, v).  A cell is
# an open convex region on which no line vanishes; it is identified by its sign vector.
# cell: index 0..22871 (numbered by first appearance in m2_faces.csv).
# sides: the sign vector as a hexadecimal integer, 0x followed by 64 hex digits: bit j (value 2^j) is 1 if
# A_j u + B_j v > C_j on the cell and 0 if A_j u + B_j v < C_j, for line j of m2_lines.csv.
# Read it with int(s, 16) >> j & 1.
cell,sides
0,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
1,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffff
2,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffef
3,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffef
4,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffe7ffffff
5,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffc7ffffff
6,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffeffc7ffffff
7,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffe7ffffef
8,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffc7ffffef
9,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffeffe7ffffef
10,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffeffc7ffffef
11,0x3ffffffffffffffffffffffffffffffffffff7ffffffffffffffffffc7ffffff
12,0x3ffffffffffffffffffffffffffffffffffff7fffffffffffffffeffc7ffffff
13,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffe7fc7ffffff
14,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffe7fc7ffffef
15,0x3ffffffffffffffffffffffffffffffffffff7fffffffffffffffe7fc7ffffff
16,0x3ffffffffffffffffffffffffffffffffffff7fffffffffffffffe7fc7ffffef
17,0x3ffffffffffffffffffffffffffffffffffff7fffffffffffffffe3fc7ffffef
18,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffeef
19,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffeffffeef
20,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffbeef
21,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffefffbeef
22,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffe7fffeef
23,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffeffe7fffeef
24,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffeffc7fffeef
25,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffe7ffbeef
26,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffeffe7ffbeef
27,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffe7fc7fffeef
28,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffe7fe7ffbeef
29,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffe7fc7ffbeef
30,0x3ffffffffffffffffffffffffffffffffffff7fffffffffffffffe7fc7fffeef
31,0x3ffffffffffffffffffffffffffffffffffff7fffffffffffffffe7fc7ffbeef
