# The 27598 polygons of the memory-two arrangement drawn in Figures 1c, 2h-n and 3e-h (they draw its 22872 faces, the
# cells of m2_cells.csv), in the order of m2_faces_k4.npz, with the counts over the 65536 binary memory-two
# strategies on each.  The columns call a polygon a face, as the companion drawing does.
# Conventions: a game is (R, S, T, P) = (1, u, 1 + v, 0); the limit eps -> 0.  An atom is written
# efficient-stable-competitive; A_xyz is the number of strategies in atom xyz, in the order 000 100 010 001 110 011
# 111 (the atom 101 is empty everywhere, so the seven add up to the number of strategies).
# face: index 0..27597.  cell: the cell of m2_cells.csv the face lies in (a cell is one face, or, for 771 cells,
# several bands of it: the companion work cut them for a field it draws; every count below is constant on a cell).
# u, v: a game strictly inside the face (a convex combination of its vertices mapped to the plane, with the weights
# 1 + 0.1 sin(j + 1) of fig1.py; repr of a double).  quadrant: PD (u < 0 < v), SD (u, v > 0), SH (u, v < 0), HA
# (v < 0 < u).  wedge: W (u+v < 1, u-v < 1), S (u+v < 1, u-v > 1), N (u+v > 1, u-v < 1), E (u+v > 1, u-v > 1).
# nash: the number of stable strategies on the face (299 to 22069).  partners: efficient and stable (8 to 7639).
# A_000 ... A_111: the atoms.  case: the case number of Figure 1 (cases.csv), the set of non-empty atoms.
face,cell,u,v,quadrant,wedge,nash,partners,A_000,A_100,A_010,A_001,A_110,A_011,A_111,case
0,0,347.63540182175603,31.88101095870307,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
1,1,136.30465145741192,26.853781078618233,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
2,2,158.31530567323688,1.749703483380509,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
3,3,10.438417321505785,1.720775811011232,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
4,4,171.34796842638644,45.75778958499317,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
5,5,232.18156920581472,107.92198523145068,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
6,6,5.512279427608238,2.3646213451126337,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
7,7,8.083234132703053,1.773822758886818,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
8,8,6.403551935747799,1.9005869096020962,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
9,9,5.795633070315129,1.5514889793435211,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
10,10,5.389560544060037,1.7708775805250274,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
11,11,363.9357641391731,291.90844056824716,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
12,12,5.467110816478004,3.575644203942044,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
13,13,4.7342236043373,2.1180566476863842,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
14,14,4.3168871728908575,1.7042784542159073,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
15,15,4.224213060186968,2.7366372290075693,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
16,16,3.5685272933893106,1.7923495792098247,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
17,17,2.8041114328235786,1.6713413444029346,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
18,18,146.29684816876423,1.4161745040153202,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
19,19,8.950975239771072,1.4096558735084643,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
20,20,132.77782957265072,1.1647789553429675,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
21,21,7.631906324069607,1.1608892329141731,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
22,22,7.0389768105893165,1.4231599673670097,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
23,23,5.48281653011719,1.3902072608339235,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
24,24,5.182146807982823,1.4471481555777448,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
25,25,6.7384556323428315,1.2406823768224235,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
26,26,5.444079416256747,1.168226556123302,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
27,27,4.080982705309929,1.3976300687210519,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
28,28,4.554668057322281,1.0929998795071114,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
29,29,3.932347868318103,1.203068304588577,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
30,30,3.2164537856380178,1.4357472035986267,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
31,31,3.088946650464889,1.294575149860582,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
32,32,2.8427312657538355,1.0619291801485427,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
33,33,2.6546275366664807,1.4044830850340662,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
34,34,2.4920544721467603,1.1455308888088516,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
35,35,110.07385158669163,0.8274439024534015,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
36,36,6.861333128641449,0.8808487523645043,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
37,37,5.482400303566733,0.7823382614312229,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
38,38,5.391683030719915,0.9383745974469323,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
39,39,102.15833301409968,0.5845680777924918,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
40,40,6.153599483598908,0.6479539090528746,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
41,41,5.769600774601586,0.5280691364206881,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
42,42,5.415790763608837,0.5938171011656823,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
43,43,4.703041170302087,0.703032095862765,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
44,44,4.036539889715524,0.8222427286255912,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
45,45,3.44533194267772,0.9070001204928879,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
46,46,4.208954731499316,0.5644950972015268,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
47,47,3.6499849617257247,0.599541808791958,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
48,48,2.6529324967579306,0.793568209421517,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
49,49,2.2543562760760416,0.7031128355776418,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
