# The 254 lines of the memory-two arrangement: every line that carries a facet of the stability polygon of some
# binary memory-two strategy (m2_nash_facets.csv), in the limit eps -> 0 (the exact census of NEmap).
# line: index 0..253, the bit position in m2_cells.csv.  A, B, C: integers, gcd 1, the line A u + B v = C,
# normalised so that (A, B, C) is lexicographically larger than (-A, -B, -C).  nfacets: how many strategies'
# polygons have a facet on the line.  name: switch = u + v = 1 (S + T = 2R), TeqS = u - v = 1 (T = S),
# u=1 (S = R), v=0 (T = R), '-' otherwise.
line,A,B,C,nfacets,name
0,0,1,-2,1249,-
1,0,1,-1,3111,-
2,0,1,0,6768,v=0
3,0,1,1,1111,-
4,0,1,2,243,-
5,0,2,-3,276,-
6,0,2,-1,2667,-
7,0,2,1,1143,-
8,0,2,3,8,-
9,0,3,-4,536,-
10,0,3,-2,1533,-
11,0,3,-1,1497,-
12,0,3,1,44,-
13,0,3,2,300,-
14,0,3,4,104,-
15,0,4,-5,15,-
16,0,4,-1,26,-
17,0,4,1,4,-
18,0,5,2,4,-
19,0,6,-7,2,-
20,0,6,-1,158,-
21,0,6,1,57,-
22,0,7,-8,14,-
23,0,9,-4,57,-
24,0,9,-2,57,-
25,0,9,-1,88,-
26,0,12,1,13,-
27,1,-5,1,128,-
28,1,-5,3,2,-
29,1,-3,1,352,-
30,1,-1,1,448,TeqS
31,1,0,-4,3,-
32,1,0,-3,23,-
33,1,0,-2,1915,-
34,1,0,-1,1962,-
35,1,0,0,3575,-
36,1,0,1,4508,u=1
37,1,0,2,706,-
38,1,0,3,147,-
39,1,0,5,10,-
40,1,0,6,10,-
41,1,1,-6,3,-
42,1,1,-3,286,-
43,1,1,-2,305,-
44,1,1,-1,392,-
45,1,1,0,279,-
46,1,1,1,2930,switch
47,1,1,2,46,-
48,1,1,3,8,-
49,1,2,-4,8,-
50,1,2,-3,184,-
51,1,2,-2,352,-
52,1,2,-1,113,-
53,1,2,0,71,-
54,1,2,1,1142,-
55,1,2,2,165,-
56,1,2,3,3,-
57,1,3,-3,8,-
58,1,3,-1,26,-
59,1,3,1,208,-
60,1,3,2,27,-
61,1,3,3,5,-
62,1,4,2,12,-
63,1,4,3,3,-
64,1,4,4,1,-
65,1,4,5,1,-
66,1,5,2,3,-
67,1,5,3,8,-
68,1,6,2,2,-
69,1,7,1,64,-
70,1,7,2,2,-
71,1,7,3,6,-
72,1,8,5,1,-
73,1,9,3,1,-
74,1,10,6,1,-
75,1,11,5,1,-
76,1,14,6,1,-
77,1,15,5,1,-
78,2,0,-3,705,-
79,2,0,-1,1114,-
80,2,0,1,1107,-
81,2,1,-4,7,-
82,2,1,-3,37,-
83,2,1,-2,51,-
84,2,1,-1,60,-
85,2,1,0,60,-
86,2,1,1,43,-
87,2,1,2,1375,-
88,2,1,3,116,-
89,2,2,-7,3,-
90,2,2,-5,98,-
91,2,2,-3,56,-
92,2,2,-1,200,-
93,2,2,1,8,-
94,2,2,3,40,-
95,2,3,-5,16,-
96,2,3,-4,8,-
97,2,3,-3,32,-
98,2,3,1,4,-
99,2,3,4,41,-
100,2,4,-5,29,-
101,2,4,-1,144,-
102,2,5,4,11,-
103,2,5,6,4,-
104,2,7,4,2,-
105,2,7,5,1,-
106,2,7,6,5,-
107,3,-5,3,4,-
108,3,-1,1,352,-
109,3,0,-4,4,-
110,3,0,-2,550,-
111,3,0,-1,601,-
112,3,0,1,1002,-
113,3,0,2,600,-
114,3,1,-5,28,-
115,3,1,-3,9,-
116,3,1,-2,24,-
117,3,1,-1,144,-
118,3,1,1,56,-
119,3,1,3,10,-
120,3,2,-7,6,-
121,3,2,-4,8,-
122,3,2,3,148,-
123,3,2,4,4,-
124,3,3,-5,20,-
125,3,3,-4,64,-
126,3,3,-2,30,-
127,3,3,-1,57,-
128,3,3,1,73,-
129,3,3,2,2,-
130,3,4,-6,4,-
131,3,4,-5,15,-
132,3,4,3,72,-
133,3,6,-5,25,-
134,3,6,-1,78,-
135,3,6,1,2,-
136,3,6,2,2,-
137,3,11,13,1,-
138,3,13,14,1,-
139,4,0,-5,2,-
140,4,0,-3,84,-
141,4,0,-1,541,-
142,4,0,1,717,-
143,4,1,-7,8,-
144,4,1,-6,17,-
145,4,1,-5,1,-
146,4,1,-4,4,-
147,4,1,-3,11,-
148,4,1,-2,9,-
149,4,2,-5,18,-
150,4,2,-3,14,-
151,4,2,-1,45,-
152,4,2,1,26,-
153,4,3,-9,4,-
154,4,3,-5,10,-
155,4,3,-4,3,-
156,4,3,-3,14,-
157,4,3,5,16,-
158,4,3,6,4,-
159,4,4,-5,2,-
160,4,4,-3,59,-
161,4,4,-1,15,-
162,4,4,3,1,-
163,4,5,-6,16,-
164,4,6,-9,4,-
165,4,6,-7,4,-
166,4,6,-1,4,-
167,4,6,1,6,-
168,4,6,5,6,-
169,4,7,-9,4,-
170,4,7,5,2,-
171,4,11,9,1,-
172,4,11,10,1,-
173,4,13,10,1,-
174,5,-1,1,128,-
175,5,0,-4,8,-
176,5,0,-2,8,-
177,5,1,-3,7,-
178,5,1,-2,1,-
179,5,1,1,8,-
180,5,2,-9,1,-
181,5,2,-6,8,-
182,5,2,-5,2,-
183,5,2,-4,5,-
184,5,3,-11,1,-
185,5,4,6,20,-
186,5,7,8,4,-
187,5,8,6,6,-
188,5,9,-18,1,-
189,5,11,14,2,-
190,5,14,16,2,-
191,6,0,-1,86,-
192,6,1,-5,4,-
193,6,2,-7,3,-
194,6,2,-5,1,-
195,6,3,-4,14,-
196,6,3,-2,12,-
197,6,3,1,45,-
198,6,3,2,42,-
199,6,4,-5,4,-
200,6,6,1,2,-
201,6,9,5,2,-
202,7,0,-6,2,-
203,7,0,-3,4,-
204,7,1,-5,1,-
205,7,1,-4,1,-
206,7,1,-3,4,-
207,7,1,-1,64,-
208,7,1,3,16,-
209,7,2,-6,8,-
210,7,2,-5,1,-
211,7,3,-4,1,-
212,7,4,-9,1,-
213,7,4,-5,2,-
214,7,5,-13,2,-
215,7,5,-8,4,-
216,8,0,-7,2,-
217,8,0,-5,4,-
218,8,0,-3,2,-
219,8,0,1,301,-
220,8,0,3,52,-
221,8,1,-7,2,-
222,8,1,-6,2,-
223,8,1,-5,1,-
224,8,3,-9,2,-
225,8,4,-7,6,-
226,8,4,-5,1,-
227,8,4,-1,24,-
228,8,4,1,11,-
229,8,4,3,2,-
230,8,5,-6,4,-
231,8,6,-9,2,-
232,8,6,-7,2,-
233,8,7,-9,2,-
234,8,12,1,2,-
235,8,12,3,1,-
236,9,1,-3,1,-
237,9,3,1,8,-
238,10,1,-6,1,-
239,10,1,-5,1,-
240,10,3,-7,1,-
241,11,1,-5,1,-
242,11,3,-13,1,-
243,11,4,-10,1,-
244,11,4,-9,1,-
245,11,5,-14,2,-
246,13,3,-14,1,-
247,13,3,-7,1,-
248,13,4,-10,1,-
249,14,1,-6,1,-
250,14,5,-16,2,-
251,15,1,-5,1,-
252,16,4,-15,1,-
253,17,1,-7,1,-
