# The stability polygons of the 23861 binary memory-two strategies whose stability region in the limit eps -> 0 has an
# interior (NEmap's exact census, ca1_regions.csv, facets exactly as recorded there): one row per facet.
# The strategy (genotype) is a Nash equilibrium, against all 65535 other memory-two strategies with ties admitted,
# exactly at the games (u, v) with a + b u + c v <= 0 for all its facets; a strategy without rows (nash_nfacets = 0
# in m2_strategies.csv) is stable everywhere.
# line: the line of m2_lines.csv that carries the facet.  bit: the side of that line on which the facet holds
# strictly, as the sign bit of m2_cells.csv (1: A u + B v > C).  So the strategy is stable on a cell exactly when
# the cell's bit of every one of its facets' lines equals the facet's bit.
genotype,a,b,c,line,bit
0,0,1,0,35,0
1,0,1,0,35,0
2,0,1,0,35,0
3,0,1,0,35,0
4,0,1,0,35,0
5,1,2,0,79,0
6,0,1,0,35,0
7,1,2,0,79,0
8,0,1,0,35,0
9,1,2,0,79,0
10,0,1,0,35,0
11,1,2,0,79,0
12,0,1,0,35,0
13,1,2,0,79,0
14,0,1,0,35,0
15,1,2,0,79,0
16,0,1,0,35,0
17,0,1,0,35,0
18,0,1,0,35,0
19,0,1,0,35,0
20,0,1,0,35,0
21,1,2,0,79,0
22,0,1,0,35,0
22,2,4,1,148,0
23,1,1,0,34,0
23,2,3,1,116,0
24,0,1,0,35,0
25,1,2,0,79,0
26,0,1,0,35,0
26,2,4,1,148,0
27,1,1,0,34,0
27,2,3,1,116,0
28,0,1,0,35,0
29,1,2,0,79,0
30,0,1,0,35,0
30,2,4,1,148,0
31,1,1,0,34,0
31,2,3,1,116,0
32,0,1,0,35,0
33,0,1,0,35,0
34,0,1,0,35,0
35,0,1,0,35,0
36,0,1,0,35,0
37,1,2,0,79,0
38,0,1,0,35,0
39,1,2,0,79,0
40,0,1,0,35,0
41,1,2,0,79,0
42,0,1,0,35,0
43,1,2,0,79,0
44,0,1,0,35,0
45,1,2,0,79,0
46,0,1,0,35,0
47,1,2,0,79,0
48,0,1,0,35,0
49,0,1,0,35,0
50,0,1,0,35,0
51,0,1,0,35,0
52,0,1,0,35,0
52,1,2,1,84,0
53,1,2,0,79,0
53,1,2,1,84,0
53,3,4,1,147,0
54,0,1,0,35,0
54,1,1,1,44,0
54,2,3,1,116,0
55,1,1,0,34,0
55,1,1,1,44,0
56,0,1,0,35,0
56,1,2,1,84,0
57,1,2,0,79,0
57,1,2,1,84,0
57,3,4,1,147,0
58,0,1,0,35,0
58,1,1,1,44,0
58,2,3,1,116,0
59,1,1,0,34,0
59,1,1,1,44,0
60,0,1,0,35,0
60,1,2,1,84,0
61,1,2,0,79,0
61,1,2,1,84,0
61,3,4,1,147,0
62,0,1,0,35,0
62,1,1,1,44,0
62,2,3,1,116,0
63,1,1,0,34,0
63,1,1,1,44,0
64,0,1,0,35,0
65,0,1,0,35,0
66,0,1,0,35,0
67,1,2,0,79,0
68,0,1,0,35,0
69,1,2,0,79,0
70,0,1,0,35,0
71,1,2,0,79,0
72,0,1,0,35,0
73,1,2,0,79,0
74,0,1,0,35,0
75,1,1,0,34,0
76,0,1,0,35,0
77,1,2,0,79,0
78,0,1,0,35,0
79,1,1,0,34,0
80,0,1,0,35,0
81,0,1,0,35,0
82,0,1,0,35,0
82,2,4,1,148,0
83,1,1,0,34,0
83,2,3,1,116,0
84,0,1,0,35,0
85,1,2,0,79,0
86,0,1,0,35,0
86,2,4,1,148,0
87,1,1,0,34,0
87,2,3,1,116,0
88,0,1,0,35,0
89,1,2,0,79,0
90,0,1,0,35,0
90,2,2,1,83,0
91,2,1,0,33,0
91,4,3,2,121,0
92,0,1,0,35,0
93,1,2,0,79,0
94,0,1,0,35,0
94,2,2,1,83,0
95,2,1,0,33,0
95,4,3,2,121,0
96,0,1,0,35,0
96,1,2,1,84,0
97,0,1,0,35,0
97,1,2,1,84,0
98,0,1,0,35,0
98,1,2,1,84,0
99,1,2,0,79,0
99,3,4,2,150,0
100,0,1,0,35,0
100,1,2,1,84,0
101,1,2,0,79,0
101,1,2,1,84,0
102,0,1,0,35,0
102,1,2,1,84,0
103,1,2,0,79,0
103,3,4,2,150,0
104,0,1,0,35,0
104,1,2,1,84,0
105,1,2,0,79,0
105,2,2,1,83,0
106,0,1,0,35,0
106,1,2,1,84,0
107,1,1,0,34,0
