# The 512 games of the Wright-Fisher maps (Figures 4 and 5, SI Figures 2-4, 6-12): the Fermat (sunflower) spiral of
# BinM2Ev kit ca6 on the K = 4 disk, one game per Voronoi cell.  Payoffs (R, S, T, P) = (1, u, 1 + v, 0).
# Every u and v is an exact multiple of 2^-10 (u = u1024/1024, v = v1024/1024), exact as a decimal and as a double,
# and clear of every line of the exact arrangement of the stability regions.  Rows in ipt order 0..511.
# Source: DiskM2WF/Ref/binm2ev_ca6_points.txt (a verbatim copy of BinM2Ev/cannon/ca6/points.txt, columns ipt u v);
# checked against rows 456-967 of games.dat, the file every memory-two Wright-Fisher kit read (and the 512-row
# games.dat of the memory-one kit): same gid, tag, cS = u and cT = 1 + v bit for bit.
# Columns:
#   ipt        cell index 0..511 (the point's index on the spiral; the order of every per-game array in this repository)
#   gid        the game id in the kits' games.dat and in every packed run (.idx/.win/.rep): gid = 2000 + ipt
#   ig         the 1-based row of the game in the 967-row games.dat of the memory-two kits: ig = 456 + ipt
#              (task decode of the kits: isl = 3*(ig - 1) + ie)
#   tag        V_pNNN_QQW: NNN = ipt, QQ = quadrant, W = wedge
#   u, v       the game: S = u, T = 1 + v (exact decimals)
#   u1024, v1024   1024 u and 1024 v, integers (the exact rational game)
#   emax       Emax = max(R, (S + T)/2) = max(1, (1 + u + v)/2), exact
#   quadrant   PD (u < 0 < v), SD (u, v > 0), SH (u, v < 0), HA (v < 0 < u)
#   wedge      W (u + v < 1, u - v < 1), S (u + v < 1, u - v > 1), N (u + v > 1, u - v < 1), E (u + v > 1, u - v > 1)
#   x, y       the point on the disk, (u, v)/sqrt(16 + u^2 + v^2), float64 written round-trip exact
#   cell_area  area of its Voronoi cell on the unit disk (cells.csv), shoelace formula, float64 round-trip exact
ipt,gid,ig,tag,u,v,u1024,v1024,emax,quadrant,wedge,x,y,cell_area
0,2000,456,V_p000_PDW,-0.091796875,0.083984375,-94,86,1.0,PD,W,-0.02293812508487825,0.02098594422659074,0.005714081392901254
1,2001,457,V_p001_HAW,0.0185546875,-0.21484375,19,-220,1.0,HA,W,0.004631945656758967,-0.05363305497299856,0.006137013430209677
2,2002,458,V_p002_SDW,0.169921875,0.2216796875,174,227,1.0,SD,W,0.0423772794669976,0.0552853013736118,0.006287487603155133
3,2003,459,V_p003_SHW,-0.3251953125,-0.0576171875,-333,-59,1.0,SH,W,-0.08102313052272654,-0.014355449552074672,0.0057589771530764415
4,2004,460,V_p004_HAW,0.31640625,-0.201171875,324,-206,1.0,HA,W,0.0787563253334082,-0.05007346610704349,0.006411779948347041
5,2005,461,V_p005_PDW,-0.107421875,0.400390625,-110,410,1.0,PD,W,-0.026712396222524325,0.09956438592031794,0.006052712141298579
6,2006,462,V_p006_SHW,-0.2080078125,-0.400390625,-213,-410,1.0,SH,W,-0.051674247296530355,-0.09946686099332135,0.005964380705574826
7,2007,463,V_p007_SDW,0.4560546875,0.166015625,467,170,1.0,SD,W,0.1131835888248712,0.04120173468999594,0.006090285535921719
8,2008,464,V_p008_PDW,-0.4775390625,0.197265625,-489,202,1.0,PD,W,-0.11840110059376407,0.04891006609394753,0.0062358643343178415
9,2009,465,V_p009_HAW,0.2314453125,-0.49609375,237,-508,1.0,HA,W,0.05732695896699426,-0.12287803862967546,0.006115720675664467
10,2010,466,V_p010_SDW,0.171875,0.5498046875,176,563,1.0,SD,W,0.04252999544889194,0.13604765589617138,0.006010729912247808
11,2011,467,V_p011_SHW,-0.521484375,-0.302734375,-534,-310,1.0,SH,W,-0.1289145544194636,-0.07483803720980096,0.005992362405411615
12,2012,468,V_p012_HAW,0.615234375,-0.134765625,630,-138,1.0,HA,W,0.15193670265772688,-0.03328137296312113,0.0060087238483877686
13,2013,469,V_p013_PDW,-0.376953125,0.5361328125,-386,549,1.0,PD,W,-0.09299824460042454,0.13226952405604422,0.006064931269186578
14,2014,470,V_p014_SHW,-0.0869140625,-0.673828125,-89,-690,1.0,SH,W,-0.021421705718306167,-0.1660783926475422,0.00613795648509647
15,2015,471,V_p015_SDW,0.5380859375,0.453125,551,464,1.0,SD,W,0.13248824335109763,0.11156904703250328,0.006211707949002387
16,2016,472,V_p016_PDW,-0.7255859375,0.0302734375,-743,31,1.0,PD,W,-0.17847882601373985,0.007446626657370035,0.006211023886190407
17,2017,473,V_p017_HAS,0.5302734375,-0.5283203125,543,-541,1.0,HA,S,0.13030635961873752,-0.1298264098595525,0.0061796625889360135
18,2018,474,V_p018_PDW,-0.03515625,0.76953125,-36,788,1.0,PD,W,-0.008630474340953537,0.18891149390753853,0.006128631599977133
19,2019,475,V_p019_SHW,-0.5078125,-0.6083984375,-520,-623,1.0,SH,W,-0.12453260969854722,-0.14919964585037485,0.006086978043675549
20,2020,476,V_p020_SDW,0.8056640625,0.1083984375,825,111,1.0,SD,W,0.19738106250326568,0.026556724773166656,0.006039802409810193
21,2021,477,V_p021_PDW,-0.68359375,0.4755859375,-700,487,1.0,PD,W,-0.16731104493597768,0.11640068411974447,0.006009063212583196
22,2022,478,V_p022_HAS,0.1875,-0.83203125,192,-852,1.0,HA,S,0.04584443579613751,-0.2034346838453602,0.005978476810662853
23,2023,479,V_p023_SDN,0.43359375,0.7568359375,444,775,1.09521484375,SD,N,0.10590966331976864,0.18486484025410066,0.005950995607194684
24,2024,480,V_p024_SHW,-0.849609375,-0.271484375,-870,-278,1.0,SH,W,-0.20731098354059052,-0.06624419933825766,0.005945177814307777
25,2025,481,V_p025_HAS,0.8271484375,-0.3818359375,847,-391,1.0,HA,S,0.20162377474215018,-0.09307543792701384,0.005943977521317666
26,2026,482,V_p026_PDW,-0.359375,0.857421875,-368,878,1.0,PD,W,-0.0875111539419358,0.20879019880711855,0.00596032954955019
27,2027,483,V_p027_SHW,-0.3212890625,-0.8916015625,-329,-913,1.0,SH,W,-0.07815845668880049,-0.21689565640387493,0.005974415069178493
28,2028,484,V_p028_SDN,0.85546875,0.44921875,876,460,1.15234375,SD,N,0.20788788934462205,0.109164873400144,0.005999005194168343
29,2029,485,V_p029_PDW,-0.951171875,0.2509765625,-974,257,1.0,PD,W,-0.23091241959050954,0.06092863638065806,0.006035249160569814
30,2030,486,V_p030_HAS,0.5419921875,-0.8427734375,555,-863,1.0,HA,S,0.13143686435924865,-0.20437840349915598,0.006067653080972568
31,2031,487,V_p031_SDN,0.1728515625,1.00390625,177,1028,1.08837890625,SD,N,0.04187624742571836,0.24321345962507612,0.006109466139961571
32,2032,488,V_p032_SHW,-0.8193359375,-0.6337890625,-839,-649,1.0,SH,W,-0.19829286361287002,-0.15338744753844175,0.006133134171172297
33,2033,489,V_p033_HAS,1.048828125,-0.0869140625,1074,-89,1.0,HA,S,0.25357699503935116,-0.021013363648512338,0.00615192272598894
34,2034,490,V_p034_PDW,-0.7265625,0.78515625,-744,804,1.0,PD,W,-0.1754738064352244,0.18962491985741992,0.006171090115598465
35,2035,491,V_p035_HAS,0.0048828125,-1.0859375,5,-1112,1.0,HA,S,0.0011780602893920248,-0.2620006083607863,0.006192001029401061
36,2036,492,V_p036_SDN,0.740234375,0.81640625,758,836,1.2783203125,SD,N,0.17841134618973878,0.1967702973807673,0.006187388015405512
37,2037,493,V_p037_SHW,-1.11328125,-0.103515625,-1140,-106,1.0,SH,W,-0.2680457665085994,-0.024923553727992577,0.00620025347036994
38,2038,494,V_p038_HAS,0.9033203125,-0.685546875,925,-702,1.0,HA,S,0.21726761538967598,-0.16488850378762437,0.006189231548327068
39,2039,495,V_p039_PDW,-0.2060546875,1.1318359375,-211,1159,1.0,PD,W,-0.04950676392462184,0.27193525776605076,0.0061904156884933365
40,2040,496,V_p040_SHW,-0.62109375,-0.9873046875,-636,-1011,1.0,SH,W,-0.1490650033923395,-0.23695710444914345,0.006178793642485608
41,2041,497,V_p041_SDN,1.1396484375,0.3125,1167,320,1.22607421875,SD,N,0.2732376382108873,0.07492377397385085,0.006166872449830441
42,2042,498,V_p042_PDW,-1.064453125,0.546875,-1090,560,1.0,PD,W,-0.2549478062867489,0.1309823591931921,0.006168763166914684
43,2043,499,V_p043_HAS,0.421875,-1.13671875,432,-1164,1.0,HA,S,0.10093365377019405,-0.2719601226585784,0.0061506673437921044
44,2044,500,V_p044_SDN,0.462890625,1.13671875,474,1164,1.2998046875,SD,N,0.11063180433152892,0.2716781017761596,0.006137685835153381
45,2045,501,V_p045_SHW,-1.123046875,-0.5322265625,-1150,-545,1.0,SH,W,-0.2681188779701357,-0.12706503347280346,0.00611411677931005
46,2046,502,V_p046_HAS,1.201171875,-0.3701171875,1230,-379,1.0,HA,S,0.2864825557039744,-0.08827389318033033,0.006102075353232567
47,2047,503,V_p047_PDW,-0.6435546875,1.09765625,-659,1124,1.0,PD,W,-0.1533185431084544,0.261502340597728,0.006085720238551778
