# games_c1_e4.csv -- memory-two Wright-Fisher run c1_e4 (parameters: runs.csv), one row per sampled game, ipt order 0..511.
# Reduced by provenance/robustness/reduce.py from the packed files c1_e4.{idx,bin} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv; gid = 2000 + ipt)
#   isl      the task index of the game in the kit's slurm array (isl = 3*(ig - 1) + ie with ie = 3); it fixes the seeds
#   E        realised efficiency: mean per-round payoff of the population over the sampled second half of the
#            ten replicates, divided by Emax = max(1, (1 + u + v)/2)  (the 'ef' column of the .idx)
#   efsd     standard deviation over the ten replicates of each replicate's pay/Emax, as the simulator wrote it (the .idx)
#   pay      mean per-round payoff of the population, the numerator of E
#   ndist    number of distinct strategies with a non-zero count in the summed abundance
#   nrep     replicates found (10 at every game)
#   S_abc    pooled share of the population in the atom abc (efficient-stable-competitive, eps -> 0 atoms):
#            the abundance summed over the ten replicates and the sampled half, normalised, summed over the atom
#            (the atom 101 is empty at every game and has no column)
ipt,isl,E,efsd,pay,ndist,nrep,S_000,S_100,S_010,S_001,S_110,S_011,S_111
0,1368,0.96631836058,0.002554437,0.96631836058,65536,10,0.05189835444663869,0.03130022144679761,0.016550566650890487,0.002201552201920682,0.8965521328637619,0.00023019260001854526,0.0012669797899702508
1,1371,0.98060930247,0.0002970716,0.98060930247,65536,10,0.037167753599640675,0.0,0.000810696401809875,0.0013512817991480908,0.959786014599123,6.029999894404146e-07,0.0008836506002898539
2,1374,0.9682729886,0.002400967,0.9682729886,65536,10,0.0618630217870143,0.028745916405184226,0.013246556003279779,0.003192051198945449,0.8917643582034314,0.0003392088000728272,0.0008488876020723563
3,1377,0.96976576903,0.003745036,0.96976576903,65536,10,0.03795291361162961,0.0,0.021955684076163214,0.0014102694009408465,0.9380360283114773,4.9157800099627574e-05,0.0005959467996882468
4,1380,0.98277914106,9.867375e-05,0.98277914106,65536,10,0.040185996198165014,0.0,0.00026326680142179184,0.0014158665990997364,0.9573529026034168,1.3644000203526311e-06,0.0007806033978744926
5,1383,0.96925536916,0.001340046,0.96925536916,65536,10,0.05430531438152506,0.021550611778454347,0.008129679379320891,0.0036120557993198524,0.9102572124700299,0.0004743852041829061,0.0016707409871687562
6,1386,0.98103831803,5.592208e-05,0.98103831803,65536,10,0.032180738397105606,0.0,0.0007802903998735185,0.0011588513999159606,0.9656723226050229,1.5110200064689564e-05,0.00019268699801634553
7,1389,0.97257929914,0.001447937,0.97257929914,65536,10,0.07030005060614192,0.03578952842318302,0.010965660040657639,0.002761711398739075,0.8782839543270828,0.00034058840488650726,0.0015585067993102877
8,1392,0.95514609353,0.004165742,0.95514609353,65536,10,0.045237944359776364,0.022683223581909984,0.04477751125722993,0.0028841965980346642,0.882020476603602,0.00032967879900876954,0.0020669688004380502
9,1395,0.98341541979,2.641774e-05,0.98341541979,65536,10,0.03441361599636595,0.0,0.0005766327996825386,0.0011964547991030637,0.9634811644088271,0.0,0.00033213199602123597
10,1398,0.95633053856,0.001705713,0.95633053856,65536,10,0.09657153182422833,0.04218432204505388,0.03916994248716853,0.008904043208226157,0.8070849164905599,0.0013816712030178325,0.004703572741744829
11,1401,0.97780457171,0.001632088,0.97780457171,65536,10,0.03191875680210258,0.0,0.0029641928065299353,0.0011294788005160735,0.9634389651894867,6.105179991747804e-05,0.0004875546014749232
12,1404,0.98577629612,6.866634e-05,0.98577629612,65536,10,0.04340684001896869,0.0,6.23058003104268e-05,0.0015237611998241397,0.9536879815763041,1.5820000104021417e-06,0.0013175294045812938
13,1407,0.962095857,0.002220135,0.962095857,65536,10,0.05491093457664325,0.025882921382623332,0.014281841668474817,0.00579312820091373,0.8947999525841681,0.0010243356036852302,0.003306885983490675
14,1410,0.98288127804,3.16203e-05,0.98288127804,65536,10,0.029515639841071077,0.0,0.0012926680016290735,0.0010573302012467916,0.9677280017551144,1.1716800027538076e-05,0.0003946434009123755
15,1413,0.96820570216,0.001785089,0.96820570216,65536,10,0.22675690573231425,0.04117382744346802,0.12275952716828283,0.012600658208212916,0.5887518818305136,0.003519586366321932,0.004437613250887801
16,1416,0.93396322769,0.007711654,0.93396322769,65536,10,0.04875184701863408,0.02978714781639579,0.08696120359595622,0.0029669778049884,0.8287502779448394,0.0008099729989487587,0.0019725728202398497
17,1419,0.98510477531,7.442247e-05,0.98510477531,65536,10,0.03490350419162697,0.0,9.698660011779912e-05,0.00272024719785259,0.6435876711372305,0.0,0.31869159087317134
18,1422,0.96561867977,0.001156814,0.96561867977,65536,10,0.08092611848171184,0.029670396619818087,0.0033401086089680683,0.009476917826164737,0.8669816041754704,0.002338472583737249,0.007266381704129529
19,1425,0.98062798384,9.733034e-05,0.98062798384,65536,10,0.028034993417736808,0.0,0.0013709526006303165,0.0009752144003333132,0.9686806473789217,5.4282000042931295e-05,0.0008839102023368521
20,1428,0.97622258082,0.0005970663,0.97622258082,65536,10,0.11920739018024744,0.10658584345284654,0.0368263312814279,0.003520704397851829,0.7315686035175598,0.0008211308033211945,0.0014699963667559243
21,1431,0.95445967243,0.004026408,0.95445967243,65536,10,0.04955869454902042,0.01797139958532243,0.03141835761753069,0.0048368235975375295,0.8911474826417728,0.0013325612030037524,0.0037346808058155217
22,1434,0.98432136058,3.907599e-05,0.98432136058,65536,10,0.028479746404085116,0.0,0.0006101245999793936,0.002521821004819341,0.6548642070805885,0.0,0.3135241009105261
23,1437,0.97834952651,0.00182305,1.0715029238,65536,10,0.07034531332812545,0.007918096991212344,0.006373995833673784,0.0041637432138709185,0.8127346730058518,0.0,0.09846417762726598
24,1440,0.97061508544,0.003928886,0.97061508544,65536,10,0.03078918497317137,0.0,0.01641805908590536,0.0010626458000726783,0.9503043847332137,0.00012366720016891304,0.001302058207469107
25,1443,0.98725564596,9.975489e-05,0.98725564596,65536,10,0.03977220219581344,0.0,0.0,0.002933775800961441,0.61551937568382,0.0,0.3417746463194046
26,1446,0.95674811513,0.002257046,0.95674811513,65536,10,0.07690504642789806,0.027984675786928512,0.0026136247850281377,0.01265966599654313,0.8677671886915442,0.002853454821912792,0.00921634349014708
27,1449,0.9821063518,2.100558e-05,0.9821063518,65536,10,0.02689202400728568,0.0,0.0012589684004903358,0.0009567962007125047,0.970027748389402,2.262920011599676e-05,0.0008418338019931731
28,1452,0.98333289181,0.0007444865,1.133137512,65536,10,0.046158416571147505,0.006246900780150944,0.001010697799543765,0.0016243445992328463,0.9189840942657737,0.0,0.025975545984150552
29,1455,0.9387936554,0.006178282,0.9387936554,65536,10,0.040963943044847996,0.019235762003410123,0.08213385812176373,0.0032527610009903877,0.8512776104095685,0.0011092702021486985,0.0020267952172704816
30,1458,0.98548176547,6.806292e-05,0.98548176547,65536,10,0.03081200521110998,0.0,0.00011635020008920735,0.002668455800291331,0.639838625574873,0.0,0.3265645632136366
31,1461,0.97883394211,0.0009727232,1.0653422153,65536,10,0.06844879834998882,0.007654221193925773,0.003961696799033133,0.005803136789977771,0.7884232726380992,0.0,0.12570887422897567
32,1464,0.97914085889,7.406381e-05,0.97914085889,65536,10,0.0263964292079613,0.0,0.0013378363994821616,0.0009099591998497233,0.9702902845909334,7.149959995066497e-05,0.0009939910018232374
33,1467,0.99573507263,8.482988e-05,0.99573507263,65536,10,0.05350998274444315,0.10457084697450093,0.0,0.005652833988375459,0.1440928030859532,0.0,0.692173533206727
34,1470,0.96209006611,0.001342695,0.96209006611,65536,10,0.05425908142070298,0.019867443814029943,0.0,0.00757697040769543,0.9098242024081822,0.002469405607635029,0.006002896341758216
35,1473,0.98388251872,5.057303e-05,0.98388251872,65536,10,0.02579180782216209,0.0,0.0006325918014738925,0.002438837397849713,0.6390934179430562,0.0,0.33204334503545735
36,1476,0.97973361826,0.00112123,1.2524133851,65536,10,0.054274606383733645,0.006743678204784863,0.0012125072037494388,0.0025093129961810245,0.897809224729764,0.0,0.03745067048178656
37,1479,0.96149064853,0.0040497,0.96149064853,65536,10,0.031053542814049415,0.0,0.03143722054403138,0.0012143995999993082,0.9344724694674547,0.0005032793991745002,0.0013190881752911457
38,1482,0.98753210524,7.568342e-05,0.98753210524,65536,10,0.035694147181569234,0.0,0.0,0.0030165813995374864,0.5907813293160258,0.0,0.3705079421028688
39,1485,0.9231137025,0.003511586,0.9231137025,65536,10,0.1938271625121778,0.05212858480586978,0.02002039394479838,0.04588691718359751,0.6341243032672833,0.012015421195952317,0.041997217090321004
40,1488,0.98070470835,2.350871e-05,0.98070470835,65536,10,0.02531812740027403,0.0,0.0013432084014197198,0.0008669754014716308,0.971959714403364,5.5005800188164664e-05,0.0004569685932843507
41,1491,0.98188387181,0.004084877,1.2038625011,65536,10,0.06370156549766715,0.03818594624406976,0.0,0.0018379490029941427,0.8775124503387319,0.0,0.018762088916538015
42,1494,0.94886283023,0.006566563,0.94886283023,65536,10,0.04426082240804981,0.021700063424747357,0.04409945565565597,0.004889215199152409,0.8799170517147258,0.0022530534031281043,0.0028803381945415023
43,1497,0.98532764154,5.839078e-05,0.98532764154,65536,10,0.02771931923226547,0.0,0.00027907360060355936,0.0026759872003496343,0.6137031315217674,0.0,0.35562248844501154
44,1500,0.97435322888,0.001465718,1.2664688942,65536,10,0.069890489854811,0.008703462400975127,0.0017481106005827714,0.005241338612475997,0.817228059858695,0.0,0.09718853867246025
45,1503,0.97783902778,0.0001201857,0.97783902778,65536,10,0.025396162002882094,0.0,0.0014614319992120083,0.0008346782004488943,0.9712447408150198,0.00012322599988754128,0.0009397609825514563
46,1506,0.99471498257,6.159951e-05,0.99471498257,65536,10,0.042541543353900965,0.06809408045523212,0.0,0.0038242123950606084,0.14234865897313195,0.0,0.7431915048226759
47,1509,0.90101748855,0.005921751,0.90101748855,65536,10,0.15461558722935997,0.05166788419493049,0.0048692832045680885,0.03638083133367844,0.6989032063176407,0.013739015552677444,0.03982419216714556
48,1512,0.96436638512,0.05665182,0.96436638512,65536,10,0.0250057878137169,0.0,0.05469035858594244,0.0008805092013512494,0.9192907225995042,2.3543200142649498e-05,0.0001090785993434256
49,1515,0.98257266188,0.001479617,1.3827023494,65536,10,0.03732678596976846,0.003085673395840116,0.0,0.0013952520027001004,0.9504857110876674,0.0,0.007706577544022979
50,1518,0.93619783026,0.009663103,0.93619783026,65536,10,0.03781127637428256,0.018445903194064278,0.0785167775125325,0.0027893083959871275,0.8575116239343853,0.0024062611992776216,0.0025188493894699264
51,1521,0.98714995331,6.889607e-05,0.98714995331,65536,10,0.031199023606153217,0.0,0.0,0.0029180325974235955,0.580457963150252,0.0,0.38542498064617325
52,1524,0.97165861253,0.001703588,1.1623845707,65536,10,0.07763657246691712,0.008941978593991042,0.002613419787288402,0.010205878772878608,0.7133087204651946,0.0,0.18729342991372877
53,1527,0.97886059298,5.530939e-05,0.97886059298,65536,10,0.02426845660083779,0.0,0.0014338614009974664,0.000829155200055178,0.9725750422129187,6.844240034474427e-05,0.0008250421848461052
54,1530,0.9772395046,0.001079371,1.1929193171,65536,10,0.13377764843956477,0.02803076204689094,0.0,0.01825480239568629,0.7553428621500548,0.0,0.0645939249678033
55,1533,0.95835063541,0.001718003,0.95835063541,65536,10,0.05240199340920923,0.018067228407346266,0.0,0.007819984591273968,0.910182062296301,0.003011053402055063,0.00851767789381519
56,1536,0.98408881933,5.721985e-05,0.98408881933,65536,10,0.025190638625178684,0.0,0.0005579534021637213,0.0024904582002263993,0.6031182408028893,0.0,0.3686427089695413
57,1539,0.97675775306,0.001381181,1.4493978572,65536,10,0.057294813215309826,0.008462774794846212,0.000693772399766588,0.003021796601688868,0.8780114181709573,0.0,0.052515424817430156
58,1542,0.96634919796,0.003290153,0.96634919796,65536,10,0.028272917610162106,0.0,0.018763135743909733,0.0009117036009377462,0.9504950278599203,0.00030216919974261944,0.001255045985329474
59,1545,0.99303741268,6.533549e-05,0.99303741268,65536,10,0.03528298743701925,0.010957560209908597,0.0,0.003424818404650419,0.2692661931485537,0.0,0.6810684407998684
60,1548,0.8859146077,0.003614221,0.8859146077,65536,10,0.2693925944809553,0.05578161997858586,0.02896932538559677,0.08095231778303331,0.4607294139640329,0.026099615715456305,0.07807511269233931
61,1551,0.9804962467,5.900302e-05,0.9804962467,65536,10,0.023730071420893742,0.0,0.0014744572040663471,0.0008281716007930699,0.9735620351821274,5.462660029268082e-05,0.00035063799182735375
