# games_dw4_e4.csv -- memory-two Wright-Fisher run dw4_e4 (parameters: runs.csv), one row per sampled game, ipt order 0..511.
# Reduced by provenance/robustness/reduce.py from the packed files dw4_e4.{idx,bin} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv; gid = 2000 + ipt)
#   isl      the task index of the game in the kit's slurm array (isl = 3*(ig - 1) + ie with ie = 3); it fixes the seeds
#   E        realised efficiency: mean per-round payoff of the population over the sampled second half of the
#            ten replicates, divided by Emax = max(1, (1 + u + v)/2)  (the 'ef' column of the .idx)
#   efsd     standard deviation over the ten replicates of each replicate's pay/Emax, as the simulator wrote it (the .idx)
#   pay      mean per-round payoff of the population, the numerator of E
#   ndist    number of distinct strategies with a non-zero count in the summed abundance
#   nrep     replicates found (10 at every game)
#   S_abc    pooled share of the population in the atom abc (efficient-stable-competitive, eps -> 0 atoms):
#            the abundance summed over the ten replicates and the sampled half, normalised, summed over the atom
#            (the atom 101 is empty at every game and has no column)
ipt,isl,E,efsd,pay,ndist,nrep,S_000,S_100,S_010,S_001,S_110,S_011,S_111
0,1368,0.97823840157,0.001640687,0.97823840157,65536,10,0.04668911085267246,0.03347150490943298,0.0024497054540275065,0.001678416561600473,0.9155878202623833,4.297281994570755e-05,8.046913993854735e-05
1,1371,0.97281902771,0.0005058121,0.97281902771,65536,10,0.074221424610803,0.0,0.00038660768061301784,0.0023296125820316048,0.9230010169457081,7.280000044131895e-07,6.0610180838484314e-05
2,1374,0.97975345945,0.0004301309,0.97975345945,65536,10,0.05309878077074111,0.031186692621133567,0.0002467007990725698,0.0019362770631190637,0.9129422954124444,1.1149620029769814e-05,0.0005781037134585755
3,1377,0.97749410152,0.000283393,0.97749410152,65536,10,0.04560135538870116,0.0,0.00034837291971358557,0.0016441972404645628,0.9522950014515458,3.485911986692224e-05,7.621387970868467e-05
4,1380,0.97314089925,0.0001541876,0.97314089925,65536,10,0.0905549806420511,0.0,0.00027806292053775885,0.00269776824396839,0.9064194402335404,1.8238600065093844e-06,4.792409989734814e-05
5,1383,0.98214918694,0.0002530694,0.98214918694,65536,10,0.038104078836952424,0.02023525861448774,0.00019009887740925127,0.0014906845511731216,0.9398892487801308,5.371283942873925e-05,3.691750041939685e-05
6,1386,0.97384428912,0.0002726123,0.97384428912,65536,10,0.06309866681033113,0.0,0.0011330292803401294,0.002070562862139776,0.9336226467270259,1.8521500048562054e-05,5.657282011597261e-05
7,1389,0.9769572249,0.0006270607,0.9769572249,65536,10,0.0797241661299906,0.04257629772548828,0.002175048131193433,0.0025083540553078707,0.8724748263011142,2.7075979933667937e-05,0.0005142316769727423
8,1392,0.9794830464,0.002792624,0.9794830464,65536,10,0.033028374677605506,0.020305071625326347,0.0026046957963895057,0.001274548778035567,0.9426442708437289,6.177015991354207e-05,8.126811900205808e-05
9,1395,0.97711093009,6.161387e-05,0.97711093009,65536,10,0.06957848209098547,0.0,0.0008280404991977011,0.0021672707200817627,0.9273853714295615,0.0,4.083526017846213e-05
10,1398,0.98179208506,0.0003037939,0.98179208506,65536,10,0.05272132227242535,0.03679379461687944,0.0008371389539125783,0.00277425423495629,0.9031420010954856,0.00013498948065487692,0.003596499345685783
11,1401,0.97413625524,0.0004916802,0.97413625524,65536,10,0.05294937105696806,0.0,0.0006237666198463141,0.001790146379573483,0.9445027117637864,6.788304010764741e-05,6.61211397159358e-05
12,1404,0.97399529955,0.000125489,0.97399529955,65536,10,0.11859178388377394,0.0,9.070060037942671e-05,0.003298045507867999,0.8779734652280256,2.4824400410887903e-06,4.352233991215744e-05
13,1407,0.98205979203,0.0001976345,0.98205979203,65536,10,0.03423766898565158,0.016621091522581777,4.3843860241516143e-05,0.0015115575158538824,0.9474604382158002,8.695533947324793e-05,3.844456039843693e-05
14,1410,0.97684548088,4.519542e-05,0.97684548088,65536,10,0.057680604868431275,0.0,0.0019043718812434922,0.0019041163430750178,0.9384509059268012,1.5704380008800296e-05,4.429660044804977e-05
15,1413,0.97904261585,0.001347935,0.97904261585,65536,10,0.20695185712949837,0.034120632420660234,0.02326301216708668,0.006348436451491816,0.7267104330001598,0.0019672619740349613,0.0006383668570693536
16,1416,0.97663032548,0.004866623,0.97663032548,65536,10,0.03222225368513914,0.023815097509254347,0.0060356478807903355,0.001172670803443575,0.9360814907665856,9.568146032516059e-05,0.0005771578944620294
17,1419,0.98036706307,2.300262e-05,0.98036706307,65536,10,0.06469086784537402,0.0,0.00012993125976456195,0.008328992893017537,0.17655651944938003,0.0,0.7502936885524625
18,1422,0.98256530697,0.0003176534,0.98256530697,65536,10,0.04800162764546629,0.027086410307035978,0.00011716899988931799,0.0025478770065531986,0.921137269972026,0.0002810865814619747,0.0008285594875685419
19,1425,0.9745201434,0.0002621654,0.9745201434,65536,10,0.05321023002759527,0.0,0.0019186262786514544,0.0017666067755532878,0.9429747427179098,7.087039987325856e-05,5.8923800422120414e-05
20,1428,0.97512087412,0.001510663,0.97512087412,65536,10,0.16436525153553214,0.1651005225912109,0.009605371622128794,0.0031974677661298218,0.6568516795748114,0.0003365999177479152,0.000543106992440296
21,1431,0.98093222187,0.0001578299,0.98093222187,65536,10,0.030059822431644564,0.014437597651287912,7.30460998905253e-05,0.0012530488811011496,0.9539914483763584,0.00013531378013176208,4.972277958384219e-05
22,1434,0.97964338981,1.667863e-05,0.97964338981,65536,10,0.051052426185581895,0.0,0.0008539538420218488,0.006886432966858759,0.19945951084018226,0.0,0.7417476761653551
23,1437,0.97816656936,0.002841018,1.0713025464,65536,10,0.09226797480679758,0.006089264874669719,0.0011322393136184868,0.005364988890672515,0.8845308512549266,0.0,0.010614680859315368
24,1440,0.97506088487,0.0006986275,0.97506088487,65536,10,0.04219065879399679,0.0,0.0005436236810098924,0.0014525663047080994,0.95564706717961,0.00010191937989185353,6.41646607814845e-05
25,1443,0.98401646807,2.161165e-05,0.98401646807,65536,10,0.07705899382726882,0.0,0.0,0.009728562163569035,0.14850918401216298,0.0,0.764703259996999
26,1446,0.98077591411,0.0003096286,0.98077591411,65536,10,0.04108261036616089,0.024499784766666786,8.100246059020761e-05,0.002652629209029458,0.930219531664432,0.0003749432777832774,0.0010894982553366947
27,1449,0.97700687853,3.183455e-05,0.97700687853,65536,10,0.050891477441321616,0.0,0.0017768558786854832,0.001711344259718555,0.9455436711608954,2.8303559938010082e-05,4.8347699441820004e-05
28,1452,0.9774793043,0.0004872158,1.1263921671,65536,10,0.07820725733352533,0.002575523454640309,0.0008124607794932877,0.0032787758096273333,0.9142726798120904,0.0,0.0008533028106236358
29,1455,0.97918452626,0.0001186933,0.97918452626,65536,10,0.027679265631486146,0.016175182397184965,0.00010125875952152903,0.0010689461337782607,0.9547912250187455,0.00013055195939887314,5.3570099883681205e-05
30,1458,0.98309202135,3.589849e-05,0.98309202135,65536,10,0.051313591270739964,0.0,0.00013330252003237496,0.0077837799874352085,0.15448977519118753,0.0,0.7862795510306051
31,1461,0.98084421752,0.0009281184,1.0675301567,65536,10,0.09065344947942013,0.007692777207598674,0.0005187896597943525,0.006968888188242162,0.8138728853532635,0.0,0.0802932101116387
32,1464,0.97365514287,0.0002988624,0.97365514287,65536,10,0.04860550416511543,0.0,0.001773075801954139,0.0016283388623896636,0.947850865869795,9.130382001696499e-05,5.091148072593206e-05
33,1467,0.99080609387,5.688361e-05,0.99080609387,65536,10,0.14368018173193783,0.10500930317842405,0.0,0.009426188660541717,0.03778494115294999,0.0,0.7040993852761448
34,1470,0.98066093924,0.0003306763,0.98066093924,65536,10,0.03205384345976652,0.013318305518861338,0.0,0.0015525565984239392,0.950915075031452,0.0002754202189356118,0.0018847991725608937
35,1473,0.97960768039,2.910826e-05,0.97960768039,65536,10,0.044860564603224025,0.0,0.0008470967606446524,0.006279580150614726,0.20294579370191862,0.0,0.745066964783599
36,1476,0.97867472954,0.001348802,1.2510597861,65536,10,0.08743839234743317,0.006616665310870875,0.0004072222587767434,0.0047180434919703055,0.8789097160747222,0.0,0.021909960516227872
37,1479,0.97680943572,0.0003320404,0.97680943572,65536,10,0.029092342549093708,0.0,0.00038597176038015644,0.0009811562808643445,0.9692990499893762,0.00018148847986498146,5.999094042257838e-05
