# games_eh_e5.csv -- memory-two Wright-Fisher run eh_e5 (parameters: runs.csv), one row per sampled game, ipt order 0..511.
# Reduced by provenance/robustness/reduce.py from the packed files eh_e5.{idx,bin} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv; gid = 2000 + ipt)
#   isl      the task index of the game in the kit's slurm array (isl = 3*(ig - 1) + ie with ie = 1); it fixes the seeds
#   E        realised efficiency: mean per-round payoff of the population over the sampled second half of the
#            ten replicates, divided by Emax = max(1, (1 + u + v)/2)  (the 'ef' column of the .idx)
#   efsd     standard deviation over the ten replicates of each replicate's pay/Emax, as the simulator wrote it (the .idx)
#   pay      mean per-round payoff of the population, the numerator of E
#   ndist    number of distinct strategies with a non-zero count in the summed abundance
#   nrep     replicates found (10 at every game)
#   S_abc    pooled share of the population in the atom abc (efficient-stable-competitive, eps -> 0 atoms):
#            the abundance summed over the ten replicates and the sampled half, normalised, summed over the atom
#            (the atom 101 is empty at every game and has no column)
ipt,isl,E,efsd,pay,ndist,nrep,S_000,S_100,S_010,S_001,S_110,S_011,S_111
0,1366,0.98420536774,0.0002694026,0.98420536774,65536,10,0.038916632563859875,0.018231286521324223,7.52676000870138e-05,0.0015358125578293833,0.941174507017036,2.7685479992668083e-05,3.880825986832077e-05
1,1369,0.98221766922,8.08736e-05,0.98221766922,65536,10,0.055743619618393116,0.0,0.0002828065205086033,0.0019477362197200478,0.9419185831199235,5.939799908082612e-07,0.00010666054145591274
2,1372,0.98479025287,0.0003918895,0.98479025287,65536,10,0.042030713491702426,0.015973660243819687,0.00015628160154323406,0.0016985756813939037,0.9401159909816754,6.7405199356732295e-06,1.8037479927338908e-05
3,1375,0.98034098962,0.0002568455,0.98034098962,65536,10,0.05453242921112318,0.0,0.0003367469808620783,0.0019384013813635594,0.9431096304663621,2.4398880150436195e-05,5.839308013902746e-05
4,1378,0.98386447414,8.541222e-05,0.98386447414,65536,10,0.05807769432344802,0.0,0.0002004579201460067,0.0020681743382709684,0.9396120848777062,1.3600400157527926e-06,4.022850041312355e-05
5,1381,0.98637367685,0.0003604669,0.98637367685,65536,10,0.03157547385018352,0.013108114468629396,4.975351998444082e-05,0.0013255734770496437,0.953864746864385,3.4324160067603e-05,4.201365969893912e-05
6,1384,0.98220755167,0.0001380248,0.98220755167,65536,10,0.050765323900908446,0.0,0.0007839318405563646,0.0017385729204523344,0.946649160517715,1.2767619975472586e-05,5.024320039402228e-05
7,1387,0.98564692948,0.0002935986,0.98564692948,65536,10,0.04624130718248037,0.016506659075153016,0.00010192568024786564,0.0018014987061045924,0.9353192163557252,7.534879977060938e-06,2.1858120311371366e-05
8,1390,0.98394921385,0.0005624672,0.98394921385,65536,10,0.03335626066316276,0.015678869097277084,6.846652004725936e-05,0.0012850743430049,0.9495139394966633,4.732054029023402e-05,5.006933955301034e-05
9,1393,0.98408754156,5.374764e-05,0.98408754156,65536,10,0.05198055212586652,0.0,0.0005887790607243206,0.0017908792027210834,0.9456023989105878,0.0,3.739070010577688e-05
