# games_f1_e4.csv -- memory-two Wright-Fisher run f1_e4 (parameters: runs.csv), one row per sampled game, ipt order 0..511.
# Reduced by provenance/robustness/reduce.py from the packed files f1_e4.{idx,bin} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv; gid = 2000 + ipt)
#   isl      the task index of the game in the kit's slurm array (isl = 3*(ig - 1) + ie with ie = 3); it fixes the seeds
#   E        realised efficiency: mean per-round payoff of the population over the sampled second half of the
#            ten replicates, divided by Emax = max(1, (1 + u + v)/2)  (the 'ef' column of the .idx)
#   efsd     standard deviation over the ten replicates of each replicate's pay/Emax, as the simulator wrote it (the .idx)
#   pay      mean per-round payoff of the population, the numerator of E
#   ndist    number of distinct strategies with a non-zero count in the summed abundance
#   nrep     replicates found (10 at every game)
#   S_abc    pooled share of the population in the atom abc (efficient-stable-competitive, eps -> 0 atoms):
#            the abundance summed over the ten replicates and the sampled half, normalised, summed over the atom
#            (the atom 101 is empty at every game and has no column)
ipt,isl,E,efsd,pay,ndist,nrep,S_000,S_100,S_010,S_001,S_110,S_011,S_111
0,1368,0.98406685464,0.001082184,0.98406685464,65536,10,0.03775202510859822,0.016359724718907155,7.46972400176445e-05,0.001621693418158873,0.9441225172343766,2.781499995810782e-05,4.1527279983345845e-05
1,1371,0.98211463719,0.0001531707,0.98211463719,65536,10,0.056227348516251205,0.0,0.0002871658000733501,0.0019859027224994282,0.9414579130809384,6.084999886247814e-07,4.106138024632804e-05
2,1374,0.98489378433,0.0006616563,0.98489378433,65536,10,0.04103573551385061,0.0157829955317515,7.659042017241518e-05,0.0017331309219000414,0.9413347027524803,6.988700024286984e-06,2.9856159821590847e-05
3,1377,0.97986735347,0.0002315237,0.97986735347,65536,10,0.05550959930607513,0.0,0.00034801200067658886,0.001978710644286362,0.9420848529489187,2.365212001131689e-05,5.5172980032816205e-05
4,1380,0.98407973614,8.56582e-05,0.98407973614,65536,10,0.05864620818591426,0.0,0.0001985750799444699,0.0020885053640009705,0.9390288406105566,1.4338600067965404e-06,3.643689956509248e-05
5,1383,0.98625772815,0.000382321,0.98625772815,65536,10,0.0299383800261075,0.011490764599776562,4.5372560195314194e-05,0.001462358184324689,0.9569878822487388,3.476670013096128e-05,4.047568072432338e-05
6,1386,0.98193072983,9.318732e-05,0.98193072983,65536,10,0.051181852047490546,0.0,0.000810623041561968,0.0018217155827335793,0.9461305870081032,1.2657100086045333e-05,4.256522002320461e-05
7,1389,0.98533861848,0.0002497142,0.98533861848,65536,10,0.04675007060908939,0.017172060437295744,0.0001765686786418358,0.001917199062173748,0.9339515036127746,7.847360055681072e-06,2.4750239969078234e-05
8,1392,0.98432357842,0.000450721,0.98432357842,65536,10,0.028618223163924962,0.01168016359844591,6.505604037446337e-05,0.0012543627260112851,0.958285186351169,4.3928720256023914e-05,5.30793998198761e-05
9,1395,0.98396472059,3.997811e-05,0.98396472059,65536,10,0.0525453963958119,0.0,0.000609580119834089,0.0018483746996508699,0.9449621763443878,0.0,3.4472440323003785e-05
10,1398,0.9882055647,0.0002569153,0.9882055647,65536,10,0.027800635804572527,0.01747409706200705,0.00024059516337960696,0.0015641930279483448,0.9525611264970152,6.757520000199619e-06,0.0003525949250786233
11,1401,0.98055400936,0.0001900438,0.98055400936,65536,10,0.04972844331583961,0.0,0.0004827646001677698,0.00171577690432764,0.9479837401195212,4.711660008846298e-05,4.215846005898893e-05
12,1404,0.98761354849,6.32075e-05,0.98761354849,65536,10,0.061265752353685976,0.0,6.024573998254929e-05,0.0021619926617755074,0.9364772130449881,1.653379996713254e-06,3.314281957989948e-05
13,1407,0.98644073129,8.614447e-05,0.98644073129,65536,10,0.023932604442328947,0.009097789683478718,2.3028300030983047e-05,0.0013736428393457277,0.9654739356349263,5.7293279984722806e-05,4.170581990881272e-05
14,1410,0.98354326117,3.907279e-05,0.98354326117,65536,10,0.047747160985773425,0.0,0.001354816999216679,0.0016843978356457056,0.9491644308983751,1.1300159942509913e-05,3.789312104895427e-05
15,1413,0.9885993464,0.0004407989,0.9885993464,65536,10,0.05816585755979941,0.019166960896321514,0.0016429274113995331,0.0022816889788553276,0.9181921485273347,8.767460244691733e-05,0.0004627420238407054
16,1416,0.97891151064,0.01199593,0.97891151064,65536,10,0.02841486762599444,0.013385393459355799,0.011446764247478758,0.0011276307249567144,0.9454939859214334,7.352780032317298e-05,5.783022045800711e-05
17,1419,0.98643337433,3.067091e-05,0.98643337433,65536,10,0.049194171726535035,0.0,9.407766008251423e-05,0.006100335139521822,0.21211207450775352,0.0,0.7324993409661074
18,1422,0.98876467231,8.95339e-05,0.98876467231,65536,10,0.026172894407275774,0.014274121281166867,1.6670420011062796e-05,0.0015122227053049571,0.9579442163258476,4.2897000078759664e-05,3.697786031975577e-05
19,1425,0.98138839896,9.851562e-05,0.98138839896,65536,10,0.04510579237387911,0.0,0.0014666427803606942,0.0015381586595644336,0.9518042218661996,5.043137990577882e-05,3.475294009123705e-05
20,1428,0.98764410051,8.357432e-05,0.98764410051,65536,10,0.05584361464707745,0.029113336836421554,0.00013396588106834523,0.0019850357371350184,0.9128930319582276,8.39649999078285e-06,2.261844007828587e-05
21,1431,0.98487669279,0.0001543939,0.98487669279,65536,10,0.02326751447392986,0.008558318507762131,4.937172025473177e-05,0.0011876651654893018,0.9668050772524498,9.604594037570923e-05,3.6006939738760116e-05
22,1434,0.98508791153,1.958023e-05,0.98508791153,65536,10,0.04266271597415487,0.0,0.0006108465602438622,0.0060025551717474675,0.20040407404942076,0.0,0.750319808244433
23,1437,0.9871969143,0.0002401207,1.0811927142,65536,10,0.05697127062664221,0.004757383620706591,0.0002635099392091825,0.004031926304689937,0.9176831918666049,0.0,0.01629271764214676
24,1440,0.98010165583,0.0002427174,0.98010165583,65536,10,0.043896421533914834,0.0,0.0004664147205040155,0.0014724524612697242,0.9540514376039755,7.281275987221065e-05,4.046092046348333e-05
25,1443,0.98946670095,4.772341e-05,0.98946670095,65536,10,0.05271580018600111,0.0,0.0,0.006184835715746404,0.17980258767531426,0.0,0.7612967764229379
26,1446,0.98767926299,8.444105e-05,0.98767926299,65536,10,0.024937164454582772,0.013159569809160427,1.052931995260391e-05,0.0015969241986882703,0.9601200130977046,8.402583942589512e-05,9.177328048728698e-05
27,1449,0.98284842588,4.300824e-05,0.98284842588,65536,10,0.04374202761707687,0.0,0.0013360868989251418,0.0015289386773730156,0.9533345652271783,2.2284539901923535e-05,3.609703954808795e-05
28,1452,0.98689682653,0.0004016321,1.13724439,65536,10,0.05557690388288535,0.0033325986817296514,0.00029829426245992646,0.0036760415666845653,0.9284463273346707,0.0,0.008669834271570899
29,1455,0.98273928257,0.0004253204,0.98273928257,65536,10,0.023132401634215094,0.00859762957606842,7.101447985236164e-05,0.0009847986366737385,0.9670934873337557,8.883059981513971e-05,3.18377396192061e-05
30,1458,0.98722393461,2.30154e-05,0.98722393461,65536,10,0.043767311352695355,0.0,0.0001047616801151081,0.006169867294704455,0.17164311951033376,0.0,0.7783149401621515
31,1461,0.98778334991,0.0003047541,1.075082562,65536,10,0.056114664196997996,0.005563581018078815,8.08124193081617e-05,0.004459830128714267,0.9205669179979526,0.0,0.013214194238948455
32,1464,0.98021863673,0.0001496496,0.98021863673,65536,10,0.042046637286719056,0.0,0.0014006390416115833,0.0014620212440315692,0.9549873623875887,6.678960002227049e-05,3.655044002448707e-05
33,1467,0.99812416338,7.809534e-06,0.99812416338,65536,10,0.053516399538608914,0.019393882388786095,0.0,0.005958438944857416,0.010141244420600309,0.0,0.9109900347071468
34,1470,0.98580067362,8.598738e-05,0.98580067362,65536,10,0.022654961107267432,0.007643117577973145,0.0,0.0012917831506380336,0.968258732645011,0.00011325801920725438,3.8147499903099357e-05
35,1473,0.98500070066,3.990798e-05,0.98500070066,65536,10,0.03825683633956476,0.0,0.0006167471598330921,0.005738273479431996,0.1714205053354242,0.0,0.7839676376857458
36,1476,0.98661839049,0.000200751,1.2612143292,65536,10,0.057596192632210635,0.003677284904695609,0.0001044377400377067,0.004165689559555226,0.9292694086870381,0.0,0.005186986476463552
37,1479,0.98118321099,0.0002225633,0.98118321099,65536,10,0.032086136255274414,0.0,0.00033332793961564404,0.0010790559566748752,0.9663296262685549,0.000132983759790526,3.886982009213829e-05
38,1482,0.99015890377,6.28241e-05,0.99015890377,65536,10,0.0460469341510064,0.0,0.0,0.00619495901760212,0.12209882059625238,0.0,0.8256592862351406
39,1485,0.98615767428,0.0008781718,0.98615767428,65536,10,0.03729493765436359,0.04642593496506329,0.0015224252185966811,0.0046273910604088,0.9012307418298487,0.0008014510371384934,0.008097118234580149
40,1488,0.98174343061,3.640697e-05,0.98174343061,65536,10,0.04123657922220932,0.0,0.0014238495785110588,0.0014017900172751219,0.9558511643021068,5.4080899875574356e-05,3.253598002490961e-05
41,1491,0.98608743297,0.000896748,1.209016379,65536,10,0.06256710928149498,0.00452800005249291,0.0,0.0037922615675773084,0.9113935236179541,0.0,0.01771910548048009
42,1494,0.98326213838,6.572161e-05,0.98326213838,65536,10,0.021247348208457393,0.007058760235066825,2.136152003108387e-05,0.0010831324221528098,0.9704063989934548,0.00014758232044999155,3.541630038474498e-05
43,1497,0.98705651471,2.982084e-05,0.98705651471,65536,10,0.03908459249275599,0.0,0.00026501308012324417,0.006122802596334268,0.16004783553277763,0.0,0.7944797562980096
