# games_lm_g0_e4.csv -- memory-two Wright-Fisher run lm_g0_e4 (parameters: runs.csv), one row per sampled game, ipt order 0..511.
# Reduced by provenance/robustness/reduce.py from the packed files lm_g0_e4.{idx,bin} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv; gid = 2000 + ipt)
#   isl      the task index of the game in the kit's slurm array (isl = 3*(ig - 1) + ie with ie = 3); it fixes the seeds
#   E        realised efficiency: mean per-round payoff of the population over the sampled second half of the
#            ten replicates, divided by Emax = max(1, (1 + u + v)/2)  (the 'ef' column of the .idx)
#   efsd     standard deviation over the ten replicates of each replicate's pay/Emax, as the simulator wrote it (the .idx)
#   pay      mean per-round payoff of the population, the numerator of E
#   ndist    number of distinct strategies with a non-zero count in the summed abundance
#   nrep     replicates found (10 at every game)
#   S_abc    pooled share of the population in the atom abc (efficient-stable-competitive, eps -> 0 atoms):
#            the abundance summed over the ten replicates and the sampled half, normalised, summed over the atom
#            (the atom 101 is empty at every game and has no column)
ipt,isl,E,efsd,pay,ndist,nrep,S_000,S_100,S_010,S_001,S_110,S_011,S_111
0,1368,0.99370948626,4.186737e-05,0.99370948626,50914,10,0.04034025658516242,0.05715661841349794,2.622575999517945e-05,0.0026006884876033864,0.8998553820336571,8.609999921954138e-08,2.0742620087719818e-05
1,1371,0.99589731711,2.866398e-05,0.99589731711,55895,10,0.03800839957079063,0.0,1.6027020012208874e-05,0.00030699342021435304,0.961661151068936,0.0,7.428920036714593e-06
2,1374,0.99440190095,0.0001028417,0.99440190095,51425,10,0.04540673778309972,0.04483533884124072,2.709595988196721e-05,0.0028990396986971574,0.9068189103570886,1.0179999924297755e-08,1.2867179995322585e-05
3,1377,0.99398715103,8.423991e-05,0.99398715103,58885,10,0.03620593554172545,0.0,0.0003303946396207391,0.001195816193819316,0.9622351361650495,7.799999937713752e-09,3.270965979151408e-05
4,1380,0.99669351742,1.780887e-05,0.99669351742,55007,10,0.038513674563376246,0.0,2.184179993075734e-06,0.0002898750413444461,0.9611862092353181,0.0,8.056979978570054e-06
5,1383,0.99384787015,0.0002429503,0.99384787015,50431,10,0.041970989754723874,0.05139048866139922,7.911664006897487e-05,0.0026956326303616534,0.9038527415935804,3.0657399570982924e-06,7.96497991119349e-06
6,1386,0.99519580873,2.644433e-05,0.99519580873,55345,10,0.036962531208647065,0.0,5.130206011510124e-05,0.00026803828007783653,0.9627131125910843,3.9999999865723833e-11,5.015820068273111e-06
7,1389,0.9949658141,0.0002963431,0.9949658141,53077,10,0.04802185742309861,0.04443640124955093,0.0002049643586839791,0.0029503922320688754,0.9043669857367584,1.022220017174356e-06,1.837677982663396e-05
8,1392,0.99282707572,0.0002787556,0.99282707572,49665,10,0.037646823648758355,0.05232697731856959,0.0002793706586361288,0.002560745986890085,0.9071693652471033,1.067019998622833e-06,1.5650120044845613e-05
9,1395,0.99604243936,1.187293e-05,0.99604243936,53027,10,0.037234498004543606,0.0,6.7104799958452905e-06,0.00022484302033340964,0.9625305315950716,0.0,3.416900071292984e-06
10,1398,0.98886255185,0.0003353862,0.98886255185,58743,10,0.04502969936565452,0.12419920935945326,0.0006648201784592262,0.004399316239321681,0.8253043082219357,5.7268819493867054e-05,0.0003453778156771651
11,1401,0.99458129518,4.840919e-05,0.99458129518,56786,10,0.036393520056650655,0.0,5.5725440036600425e-05,0.00037914504006670413,0.9631623836430573,1.3758000009623662e-07,9.088240173488355e-06
12,1404,0.99755018093,2.381483e-05,0.99755018093,56103,10,0.03925894745672572,0.0,3.0618800008688404e-06,0.0003183368407720696,0.9604106350224224,7.39999977647405e-10,9.018060093963938e-06
13,1407,0.99177618669,0.0001623884,0.99177618669,50746,10,0.03184618309116438,0.07492011596698057,0.00028220740093815375,0.0015843964556997098,0.891285766405274,4.408836020233478e-05,3.724231974066902e-05
14,1410,0.99525695513,8.534747e-06,0.99525695513,53174,10,0.03569179058102078,0.0,0.00039995211918427266,0.00021448938010714625,0.9636904708396491,5.999999973977861e-11,3.2970200531797562e-06
15,1413,0.99092736437,0.001531039,0.99092736437,60378,10,0.11828519568350493,0.055022769256127854,0.007946330717429683,0.00365580343206961,0.8147551528684132,3.317334006476861e-05,0.0003015747024020507
16,1416,0.99250639587,4.68232e-05,0.99250639587,51231,10,0.03370959542351138,0.07123905263093197,5.764907961734112e-05,0.002357772911404373,0.892591144854691,1.9946699878802846e-05,2.483839996704054e-05
17,1419,0.99668089745,1.070387e-05,0.99668089745,52194,10,0.027080631939304666,0.0,4.7297999928453964e-07,0.010437996214596838,0.3109466257384219,0.0,0.6515342731276729
18,1422,0.99184984131,0.0002454528,0.99184984131,51872,10,0.03819647597745624,0.08426958211072505,1.5369740201309668e-05,0.0024271025040575513,0.8748749628457019,5.722390029856725e-05,0.00015928292155788245
19,1425,0.99452128014,3.817366e-05,0.99452128014,55132,10,0.03550296244558075,0.0,8.805951995231497e-05,0.00026680279879387464,0.9641371208356111,4.390000003072594e-08,5.010500051770274e-06
20,1428,0.99556596385,0.0006641227,0.99556596385,54968,10,0.06376772041982079,0.07066266954292905,0.00010550865954352909,0.002788821135327409,0.8626552918822398,3.991340052681807e-06,1.5997020092540376e-05
21,1431,0.99211754553,0.0001689133,0.99211754553,50813,10,0.034583873208284224,0.05590504843877934,0.00021456345985130856,0.002109383718365016,0.9069580318952117,0.0002097699595792928,1.9329319931458778e-05
