# m2_atom_sizes.csv -- the number of the 65536 binary memory-two strategies in each atom at each sampled game,
# in the limit eps -> 0 (the classification of the paper; the same for every run of this folder).
# Reduced by provenance/robustness/reduce.py from atoms512.bin (one atom code per strategy per game).
# Columns: ipt (the game, data/games/games.csv); N_abc the size of the atom abc (efficient-stable-competitive);
# each row sums to 65536; the atom 101 is empty at every game and has no column.
ipt,N_000,N_100,N_010,N_001,N_110,N_011,N_111
0,55040,4899,225,2547,2732,85,8
1,54396,0,869,2630,7631,2,8
2,55057,4899,208,2612,2732,20,8
3,54263,0,1002,2532,7631,100,8
4,54721,0,544,2628,7631,4,8
5,55135,4907,130,2543,2724,89,8
6,52456,0,2809,2559,7631,73,8
7,55013,4899,252,2612,2732,20,8
8,55046,4899,219,2488,2732,144,8
9,53232,0,2033,2632,7631,0,8
10,55095,6392,170,2612,1239,20,8
11,53515,0,1750,2390,7631,242,8
12,55115,0,150,2628,7631,4,8
13,55201,5849,64,2498,1782,134,8
14,49538,0,5727,2559,7631,73,8
15,55019,5748,246,2612,1883,20,8
16,54868,4899,397,2352,2732,280,8
17,56382,0,394,1121,6120,0,1519
18,55213,6600,52,2539,1031,93,8
19,49311,0,5954,2324,7631,308,8
20,55029,5740,236,2612,1891,20,8
21,55114,4907,151,2392,2724,240,8
22,53708,0,3068,1121,6120,0,1519
23,59314,2120,590,2560,872,0,80
24,53415,0,1850,2255,7631,377,8
25,56776,0,0,1121,6120,0,1519
26,55229,6600,36,2495,1031,137,8
27,48873,0,6392,2487,7631,145,8
28,59210,1856,694,2560,1136,0,80
29,55001,4903,264,2314,2728,318,8
30,56176,0,600,1121,6120,0,1519
31,59746,2248,158,2560,744,0,80
32,49149,0,6116,2223,7631,409,8
33,56776,5301,0,1121,819,0,1519
34,55265,6057,0,2388,1574,244,8
35,53061,0,3715,1121,6120,0,1519
36,59635,1856,269,2560,1136,0,80
37,53726,0,1539,1998,7631,634,8
38,56776,0,0,1121,6120,0,1519
39,55213,7397,52,2539,234,93,8
40,48050,0,7215,2282,7631,350,8
41,59904,1504,0,2560,1488,0,80
42,55205,5849,60,2258,1782,374,8
43,55109,0,1667,1121,6120,0,1519
44,59836,2120,68,2560,872,0,80
45,49052,0,6213,1966,7631,666,8
46,56776,5301,0,1121,819,0,1519
47,55241,7340,24,2402,291,230,8
48,48168,0,7097,2479,7631,153,8
49,59904,1504,0,2560,1488,0,80
50,54852,4899,413,1993,2732,639,8
51,56776,0,0,1121,6120,0,1519
52,59818,2248,86,2560,744,0,80
53,47629,0,7636,2202,7631,430,8
54,59904,1984,0,2560,1008,0,80
55,55265,6057,0,2281,1574,351,8
56,53338,0,3438,1121,6120,0,1519
57,59836,1856,68,2560,1136,0,80
58,53240,0,2025,1953,7631,679,8
59,56776,4164,0,1121,1956,0,1519
60,55229,7501,36,2482,130,150,8
61,46548,0,8717,2279,7631,353,8
62,59904,1504,0,2560,1488,0,80
63,55040,4907,225,2195,2724,437,8
64,56776,0,0,1121,6120,0,1519
65,59860,2248,44,2560,744,0,80
66,47335,0,7930,1912,7631,720,8
67,59770,2928,134,2120,64,440,80
68,55265,7340,0,2380,291,252,8
69,50030,0,6746,1121,6120,0,1519
70,59904,1504,0,2560,1488,0,80
71,53665,0,1600,1858,7631,774,8
72,56776,4156,0,1121,1964,0,1519
73,59826,2752,78,2487,240,73,80
74,46256,0,9009,2185,7631,447,8
75,59904,1504,0,2560,1488,0,80
76,55265,6057,0,2227,1574,405,8
77,55109,0,1667,1121,6120,0,1519
78,59876,2112,28,2560,880,0,80
79,48838,0,6427,1813,7631,819,8
80,56776,5449,0,1121,671,0,1519
81,55229,7509,36,2393,122,239,8
82,47679,0,9097,1121,6120,0,1519
83,59904,1504,0,2560,1488,0,80
84,54928,4903,337,1912,2728,720,8
85,56776,4156,0,1121,1964,0,1519
86,59860,2248,44,2560,744,0,80
87,45203,0,10062,1906,7631,726,8
88,59770,2656,134,2120,336,440,80
89,55265,7340,0,2271,291,361,8
90,53037,0,3739,1121,6120,0,1519
91,59904,1504,0,2560,1488,0,80
92,53060,0,2205,1807,7631,825,8
93,56776,5301,0,1121,819,0,1519
94,59826,2848,78,2430,144,130,80
95,45937,0,9328,2185,7631,447,8
96,59904,1504,0,2560,1488,0,80
97,55259,6057,6,2163,1574,469,8
98,56776,0,0,1121,6120,0,1519
99,59876,2112,28,2560,880,0,80
100,47173,0,8092,1795,7631,837,8
101,59675,2928,229,1914,64,646,80
102,55265,7509,0,2341,122,291,8
103,49367,0,7409,1121,6120,0,1519
104,59904,1504,0,2560,1488,0,80
105,54780,4899,485,1811,2732,821,8
106,56776,4156,0,1121,1964,0,1519
107,59904,2752,0,2487,240,73,80
108,44603,0,10662,1906,7631,726,8
109,59904,1984,0,2560,1008,0,80
110,55265,7168,0,2195,463,437,8
111,55109,0,1667,1121,6120,0,1519
112,59904,1504,0,2560,1488,0,80
113,48624,0,6641,1669,7631,963,8
114,56776,5449,0,1121,671,0,1519
115,59904,2848,0,2339,144,221,80
116,46972,0,9804,1121,6120,0,1519
117,59904,1504,0,2560,1488,0,80
118,55135,5849,130,1865,1782,767,8
119,56776,4156,0,1121,1964,0,1519
120,59904,2248,0,2560,744,0,80
121,44525,0,10740,1791,7631,841,8
122,59888,2720,16,2120,272,440,80
123,55265,7452,0,2267,179,365,8
124,49966,0,6810,1121,6120,0,1519
125,59904,1504,0,2560,1488,0,80
126,53226,0,2039,1681,7631,951,8
127,56776,5301,0,1121,819,0,1519
128,59904,2752,0,2443,240,117,80
129,44468,0,10797,1904,7631,728,8
130,59904,1504,0,2560,1488,0,80
131,55265,7168,0,2132,463,500,8
132,56776,0,0,1121,6120,0,1519
133,59904,2112,0,2560,880,0,80
134,46937,0,8328,1645,7631,987,8
135,59869,2928,35,1914,64,646,80
136,55265,7631,0,2341,0,291,8
137,47610,0,9166,1121,6120,0,1519
138,59904,1504,0,2560,1488,0,80
139,54868,4903,397,1681,2728,951,8
140,56776,4156,0,1121,1964,0,1519
141,59904,2248,0,2560,744,0,80
142,43876,0,11389,1791,7631,841,8
143,59904,1984,0,2560,1008,0,80
144,55265,7452,0,2194,179,438,8
145,54055,0,2721,1121,6120,0,1519
146,59904,1504,0,2560,1488,0,80
147,51289,0,3976,1669,7631,963,8
148,56776,5998,0,1121,122,0,1519
149,59904,2848,0,2346,144,214,80
150,44998,0,11778,1121,6120,0,1519
151,59904,1504,0,2560,1488,0,80
152,55227,6057,38,1865,1574,767,8
153,56776,4156,0,1121,1964,0,1519
154,59904,2112,0,2560,880,0,80
155,43359,0,11906,1645,7631,987,8
156,59888,2720,16,2146,272,414,80
157,55265,7631,0,2309,0,323,8
158,49339,0,7437,1121,6120,0,1519
159,59904,1504,0,2560,1488,0,80
160,54345,4899,920,1669,2732,963,8
161,56776,5301,0,1121,819,0,1519
162,59904,2752,0,2487,240,73,80
163,43617,0,11648,1791,7631,841,8
164,59904,1856,0,2560,1136,0,80
165,55265,7280,0,2129,351,503,8
166,56176,0,600,1121,6120,0,1519
167,59904,1504,0,2560,1488,0,80
168,46937,0,8328,1645,7631,987,8
169,59869,2976,35,1914,16,646,80
170,59904,2848,0,2297,144,263,80
171,46960,0,9816,1121,6120,0,1519
172,59904,1504,0,2560,1488,0,80
173,55161,6057,104,1681,1574,951,8
174,56776,4156,0,1121,1964,0,1519
175,59904,2248,0,2560,744,0,80
176,43083,0,12182,1645,7631,987,8
177,59888,2656,16,2217,336,343,80
178,55265,7631,0,2205,0,427,8
179,53037,0,3739,1121,6120,0,1519
180,59904,1504,0,2560,1488,0,80
181,52697,0,2568,1645,7631,987,8
182,56776,5998,0,1121,122,0,1519
183,59904,2816,0,2362,176,198,80
184,44287,0,12489,1121,6120,0,1519
185,59904,1504,0,2560,1488,0,80
186,55259,7168,6,1865,463,767,8
187,56776,4156,0,1121,1964,0,1519
188,59904,1856,0,2560,1136,0,80
189,43359,0,11906,1645,7631,987,8
190,59888,2928,16,2146,64,414,80
191,59904,2992,0,2265,0,295,80
192,47610,0,9166,1121,6120,0,1519
193,59904,1504,0,2560,1488,0,80
194,54440,4903,825,1669,2728,963,8
195,56776,4870,0,1121,1250,0,1519
196,59904,2248,0,2560,744,0,80
197,41848,0,13417,1645,7631,987,8
198,59904,1984,0,2560,1008,0,80
199,55265,7452,0,2138,179,494,8
200,56176,0,600,1121,6120,0,1519
201,59904,1504,0,2560,1488,0,80
202,46929,0,8336,1645,7631,987,8
203,59865,2992,39,1846,0,714,80
204,59904,2848,0,2304,144,256,80
205,44996,0,11780,1121,6120,0,1519
206,59904,1504,0,2560,1488,0,80
207,55161,7168,104,1681,463,951,8
208,56776,4156,0,1121,1964,0,1519
209,59904,2240,0,2560,752,0,80
210,43083,0,12182,1645,7631,987,8
211,59904,2720,0,2176,272,384,80
212,55265,7631,0,2209,0,423,8
213,49880,0,6896,1121,6120,0,1519
214,59904,1504,0,2560,1488,0,80
215,53018,0,2247,1645,7631,987,8
216,56776,5882,0,1121,238,0,1519
217,59904,2752,0,2442,240,118,80
218,41848,0,13417,1645,7631,987,8
219,59904,1856,0,2560,1136,0,80
220,55265,7280,0,1867,351,765,8
221,56776,0,0,1121,6120,0,1519
222,59904,1504,0,2560,1488,0,80
223,43885,0,11380,1645,7631,987,8
224,59904,2976,0,1976,16,584,80
225,59904,2992,0,2283,0,277,80
226,46960,0,9816,1121,6120,0,1519
227,59904,1504,0,2560,1488,0,80
228,54685,5849,580,1669,1782,963,8
229,56776,4870,0,1121,1250,0,1519
230,59904,2248,0,2560,744,0,80
231,41848,0,13417,1645,7631,987,8
232,59904,2656,0,2260,336,300,80
233,55265,7631,0,2142,0,490,8
234,54055,0,2721,1121,6120,0,1519
235,59904,1504,0,2560,1488,0,80
236,48462,0,6803,1645,7631,987,8
237,59900,2992,4,1846,0,714,80
238,59904,2848,0,2343,144,217,80
239,44287,0,12489,1121,6120,0,1519
240,59904,1504,0,2560,1488,0,80
241,55211,7272,54,1811,359,821,8
242,56776,4156,0,1121,1964,0,1519
243,59904,1856,0,2560,1136,0,80
244,43073,0,12192,1645,7631,987,8
245,59904,2720,0,2155,272,405,80
246,55265,7631,0,2228,0,404,8
247,47610,0,9166,1121,6120,0,1519
248,59904,1504,0,2560,1488,0,80
249,54221,4899,1044,1645,2732,987,8
250,56776,5734,0,1121,386,0,1519
251,59904,2752,0,2487,240,73,80
252,41848,0,13417,1645,7631,987,8
253,59904,1984,0,2560,1008,0,80
254,55265,7603,0,2115,28,517,8
255,56776,0,0,1121,6120,0,1519
256,59904,1504,0,2560,1488,0,80
257,43902,0,11363,1645,7631,987,8
258,59900,2992,4,1938,0,622,80
259,59904,2848,0,2285,144,275,80
260,44992,0,11784,1121,6120,0,1519
261,59904,1504,0,2560,1488,0,80
262,55141,7168,124,1669,463,963,8
263,56776,4870,0,1121,1250,0,1519
264,59904,2240,0,2560,752,0,80
265,41827,0,13438,1645,7631,987,8
266,59904,2656,0,2230,336,330,80
267,55265,7631,0,2161,0,471,8
268,49966,0,6810,1121,6120,0,1519
269,59904,1504,0,2560,1488,0,80
270,51184,0,4081,1645,7631,987,8
271,56776,6104,0,1121,16,0,1519
272,59904,2752,0,2349,240,211,80
273,42372,0,14404,1121,6120,0,1519
274,59904,1504,0,2560,1488,0,80
275,55265,7280,0,1811,351,821,8
276,56776,4156,0,1121,1964,0,1519
277,59904,1504,0,2560,1488,0,80
278,43073,0,12192,1645,7631,987,8
279,59904,2976,0,2155,16,405,80
280,59904,2992,0,2243,0,317,80
281,46960,0,9816,1121,6120,0,1519
282,59904,1504,0,2560,1488,0,80
283,54474,5849,791,1645,1782,987,8
284,56776,5734,0,1121,386,0,1519
285,59904,2248,0,2560,744,0,80
286,41825,0,13440,1645,7631,987,8
287,59904,1984,0,2560,1008,0,80
288,55265,7631,0,2115,0,517,8
289,56176,0,600,1121,6120,0,1519
290,59904,1504,0,2560,1488,0,80
291,46929,0,8336,1645,7631,987,8
292,59900,2992,4,1870,0,690,80
293,59904,2848,0,2304,144,256,80
294,44287,0,12489,1121,6120,0,1519
295,59904,1504,0,2560,1488,0,80
296,55153,7280,112,1669,351,963,8
297,56776,4862,0,1121,1258,0,1519
298,59904,1856,0,2560,1136,0,80
299,41825,0,13440,1645,7631,987,8
300,59904,2720,0,2211,272,349,80
301,55265,7631,0,2196,0,436,8
302,48728,0,8048,1121,6120,0,1519
303,59904,1504,0,2560,1488,0,80
304,54143,4899,1122,1645,2732,987,8
305,56776,6068,0,1121,52,0,1519
306,59904,2752,0,2434,240,126,80
307,41848,0,13417,1645,7631,987,8
308,59904,1856,0,2560,1136,0,80
309,55265,7603,0,1865,28,767,8
310,56776,4156,0,1121,1964,0,1519
311,59904,1504,0,2560,1488,0,80
312,43071,0,12194,1645,7631,987,8
313,59904,2992,0,1982,0,578,80
314,59904,2992,0,2270,0,290,80
315,44287,0,12489,1121,6120,0,1519
316,59904,1504,0,2560,1488,0,80
317,54744,7168,521,1645,463,987,8
318,56776,4870,0,1121,1250,0,1519
319,59904,2240,0,2560,752,0,80
320,41825,0,13440,1645,7631,987,8
321,59904,2656,0,2260,336,300,80
322,55265,7631,0,2137,0,495,8
323,53338,0,3438,1121,6120,0,1519
324,59904,1504,0,2560,1488,0,80
325,46929,0,8336,1645,7631,987,8
326,59900,2992,4,1846,0,714,80
327,59904,2816,0,2310,176,250,80
328,42372,0,14404,1121,6120,0,1519
329,59904,1504,0,2560,1488,0,80
330,55225,7523,40,1669,108,963,8
331,56776,4862,0,1121,1258,0,1519
332,59904,1856,0,2560,1136,0,80
333,41822,0,13443,1645,7631,987,8
334,59904,2816,0,2173,176,387,80
335,59904,2992,0,2171,0,389,80
336,46960,0,9816,1121,6120,0,1519
337,59904,1504,0,2560,1488,0,80
338,54257,4907,1008,1645,2724,987,8
339,56776,6064,0,1121,56,0,1519
340,59904,2752,0,2487,240,73,80
341,41825,0,13440,1645,7631,987,8
342,59904,1984,0,2560,1008,0,80
343,55265,7631,0,1867,0,765,8
344,56776,0,0,1121,6120,0,1519
345,59904,1504,0,2560,1488,0,80
346,43347,0,11918,1645,7631,987,8
347,59902,2992,2,1968,0,592,80
348,59904,2848,0,2285,144,275,80
349,42372,0,14404,1121,6120,0,1519
350,59904,1504,0,2560,1488,0,80
351,54773,7280,492,1645,351,987,8
352,56776,4870,0,1121,1250,0,1519
353,59904,1984,0,2560,1008,0,80
354,41822,0,13443,1645,7631,987,8
355,59904,2720,0,2238,272,322,80
356,55265,7631,0,2149,0,483,8
357,49880,0,6896,1121,6120,0,1519
358,59904,1504,0,2560,1488,0,80
359,52681,0,2584,1645,7631,987,8
360,56776,6108,0,1121,12,0,1519
361,59904,2752,0,2346,240,214,80
362,42349,0,14427,1121,6120,0,1519
363,59904,1856,0,2560,1136,0,80
364,55249,7523,16,1681,108,951,8
365,56776,4156,0,1121,1964,0,1519
366,59904,1504,0,2560,1488,0,80
367,41822,0,13443,1645,7631,987,8
368,59904,2976,0,2163,16,397,80
369,59904,2992,0,2234,0,326,80
370,44287,0,12489,1121,6120,0,1519
371,59904,1504,0,2560,1488,0,80
372,54550,7168,715,1645,463,987,8
373,56776,5840,0,1121,280,0,1519
374,59904,2240,0,2560,752,0,80
375,41822,0,13443,1645,7631,987,8
376,59904,1984,0,2560,1008,0,80
377,55265,7631,0,2115,0,517,8
378,56176,0,600,1121,6120,0,1519
379,59904,1504,0,2560,1488,0,80
380,43898,0,11367,1645,7631,987,8
381,59902,2992,2,1900,0,660,80
382,59904,2816,0,2300,176,260,80
383,42349,0,14427,1121,6120,0,1519
384,59904,1504,0,2560,1488,0,80
385,55125,7523,140,1645,108,987,8
386,56776,4862,0,1121,1258,0,1519
387,59904,1856,0,2560,1136,0,80
388,41822,0,13443,1645,7631,987,8
389,59904,2816,0,2215,176,345,80
390,59904,2992,0,2109,0,451,80
391,46964,0,9812,1121,6120,0,1519
