# replicates_c2_e4.csv -- memory-two Wright-Fisher run c2_e4 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files c2_e4.{idx,win,rep} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 23000000 (runs.csv), isl from games_c2_e4.csv
#   E        the replicate's realised efficiency over its sampled second half (the .rep, 8 decimals)
#   R_abc    the share of the replicate's sampled population in the atom abc (the .rep, 8 decimals); the ten
#            replicates of a game average to the pooled S_abc of games_c2_e4.csv within 4.3e-09
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,E,R_000,R_100,R_010,R_001,R_110,R_011,R_111,top,top_atom,top_share,top_selfpay
0,1,23013671,0.95075706,0.07295234,0.05940577,0.02742569,0.00287674,0.83619922,0.00018517,0.00095507,41241,6,0.0066636,0.9985998
0,2,23013672,0.94608563,0.07285879,0.05895915,0.04084983,0.00301472,0.82351203,0.00025749,0.00054799,36874,2,0.01238557,0.6664326
0,3,23013673,0.95395693,0.07548837,0.05938347,0.01389736,0.00344058,0.84527744,0.00061198,0.00190081,37321,6,0.01034461,0.9992983
0,4,23013674,0.94669017,0.07615551,0.0607801,0.03782007,0.00325226,0.82012107,0.00032472,0.00154626,33177,6,0.0164242,0.9994994
0,5,23013675,0.94981332,0.07490378,0.05985205,0.02668118,0.00339013,0.82512089,0.00065368,0.00939828,33423,6,0.01032881,0.999449
0,6,23013676,0.95747685,0.06972219,0.0522271,0.0119707,0.00294603,0.86273011,0.0001324,0.00027148,35209,6,0.00806368,0.9993988
0,7,23013677,0.9502284,0.07069417,0.05727678,0.03179533,0.00271992,0.83612501,0.00069031,0.00069848,33241,6,0.00921675,0.9994994
0,8,23013678,0.95197626,0.07588667,0.06302608,0.01985918,0.00314799,0.83249334,0.00065645,0.00493029,35161,6,0.00804493,0.9994994
0,9,23013679,0.95441252,0.07164183,0.05718491,0.01776191,0.00312744,0.8487204,0.00029452,0.00126899,36633,6,0.00741832,0.9991978
0,10,23013680,0.95152753,0.07413956,0.05758638,0.0228736,0.00319264,0.83871786,0.00043813,0.00305182,8089,6,0.00761098,0.9994987
1,1,23013701,0.97293925,0.04548541,0.0,0.00193234,0.00148101,0.95108731,8.1e-07,1.312e-05,34827,6,0.00645945,0.9994805
1,2,23013702,0.97252343,0.04506676,0.0,0.00245111,0.00147991,0.94999045,8e-07,0.00101095,60761,6,0.00616962,0.9991226
1,3,23013703,0.97265854,0.04566312,0.0,0.00185511,0.00151891,0.95059002,5.8e-07,0.00037226,52185,6,0.00541074,0.9994806
1,4,23013704,0.97256458,0.0470029,0.0,0.00189246,0.00153624,0.94824005,6.7e-07,0.00132767,52057,6,0.00586422,0.9994805
1,5,23013705,0.9729103,0.04667606,0.0,0.00076696,0.00151858,0.94897982,5.7e-07,0.00205802,55257,6,0.00636316,0.9996804
1,6,23013706,0.97341117,0.04581596,0.0,0.00045383,0.00148977,0.95221394,5.3e-07,2.596e-05,37133,6,0.00704245,0.9993611
1,7,23013707,0.97212994,0.04637092,0.0,0.00329667,0.00150657,0.94556329,7.1e-07,0.00326184,35147,6,0.00638058,0.9992416
1,8,23013708,0.97294718,0.04556494,0.0,0.00091364,0.00151325,0.95198983,6.1e-07,1.773e-05,52025,6,0.00791211,0.9987648
1,9,23013709,0.97012452,0.04603518,0.0,0.00928206,0.00151045,0.94249523,7.8e-07,0.00067631,36906,2,0.00793612,0.6663873
1,10,23013710,0.97338957,0.04530277,0.0,0.00040154,0.0014615,0.95227238,8.2e-07,0.00056099,37517,6,0.00664814,0.9994207
2,1,23013731,0.95192986,0.09644732,0.04444793,0.01749474,0.00388537,0.83626046,0.00143334,3.083e-05,36139,6,0.00790813,0.9994786
2,2,23013732,0.95525453,0.09173049,0.04256309,0.01154639,0.00385354,0.84776093,0.00095431,0.00159124,7065,6,0.01088013,0.999559
2,3,23013733,0.9514865,0.09561448,0.04297683,0.01826605,0.00494733,0.83730226,0.00087403,1.902e-05,33225,6,0.00681135,0.999418
