# replicates_dw4_e4.csv -- memory-two Wright-Fisher run dw4_e4 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files dw4_e4.{idx,win} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 11000000 (runs.csv), isl from games_dw4_e4.csv
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,top,top_atom,top_share,top_selfpay
0,1,11013671,39371,6,0.04008599,0.9992981
0,2,11013672,32911,6,0.0281006,0.9994993
0,3,11013673,33227,6,0.05304701,0.9992982
0,4,11013674,33163,6,0.03889717,0.9993987
0,5,11013675,37259,6,0.05929958,0.9993987
0,6,11013676,33743,6,0.04949959,0.9997984
0,7,11013677,33227,6,0.05803838,0.9992982
0,8,11013678,33163,6,0.06471615,0.9993987
0,9,11013679,33743,6,0.04032042,0.9997984
0,10,11013680,33163,6,0.04884213,0.9993987
1,1,11013701,35167,6,0.03293121,0.9998803
1,2,11013702,55775,6,0.03530334,0.9998803
1,3,11013703,49567,6,0.05189583,0.9995877
1,4,11013704,55775,6,0.0438559,0.9998803
1,5,11013705,55759,6,0.03453099,0.9993222
1,6,11013706,53727,6,0.0682258,0.9995878
1,7,11013707,51679,6,0.02893857,0.9998803
1,8,11013708,37839,6,0.0677313,0.9997608
1,9,11013709,55711,6,0.05843519,0.9998803
1,10,11013710,51615,6,0.03381466,0.9998803
2,1,11013731,37323,6,0.05699016,0.9994179
2,2,11013732,33167,6,0.03670793,0.9994786
2,3,11013733,33419,6,0.03774904,0.9995089
2,4,11013734,37259,6,0.03319584,0.9994786
2,5,11013735,33163,6,0.05909656,0.9994786
2,6,11013736,51343,6,0.03256742,0.9996784
2,7,11013737,37209,6,0.04172065,0.9997392
2,8,11013738,32971,6,0.04475419,0.9995393
2,9,11013739,37067,6,0.03683539,0.9995393
2,10,11013740,33167,6,0.02644329,0.9994786
3,1,11013761,33163,6,0.02968062,0.9993238
3,2,11013762,33743,6,0.07024579,0.9997235
3,3,11013763,39887,6,0.0456359,0.9997235
3,4,11013764,39375,6,0.04494396,0.9991861
3,5,11013765,50127,6,0.08920592,0.9994855
3,6,11013766,53191,6,0.03859047,0.9996902
3,7,11013767,37839,6,0.05698847,0.9997235
3,8,11013768,33163,6,0.04343733,0.9993238
3,9,11013769,33167,6,0.03910787,0.9993238
3,10,11013770,33227,6,0.06828552,0.9991858
4,1,11013791,47583,6,0.03672652,0.9999115
4,2,11013792,51679,6,0.03683435,0.9999114
4,3,11013793,51679,6,0.03771514,0.9999114
4,4,11013794,59807,6,0.02646642,0.9999115
4,5,11013795,39391,6,0.04576054,0.9999114
4,6,11013796,29151,6,0.02993558,0.9999115
4,7,11013797,53727,6,0.04508769,0.9996604
4,8,11013798,55775,6,0.0383804,0.9999115
4,9,11013799,64479,6,0.02498258,0.9999115
4,10,11013800,15327,6,0.02735126,0.9999115
5,1,11013821,37007,6,0.06174756,0.9995294
5,2,11013822,33163,6,0.057031,0.9994589
5,3,11013823,33163,6,0.06689884,0.9994589
5,4,11013824,33225,6,0.04888483,0.9993884
5,5,11013825,32971,6,0.08654382,0.9995294
5,6,11013826,37071,6,0.04800985,0.9995294
5,7,11013827,37067,6,0.05143847,0.9995294
5,8,11013828,32777,6,0.0583806,0.9995294
5,9,11013829,32907,6,0.04220665,0.9995294
5,10,11013830,36873,6,0.05650841,0.9995295
6,1,11013851,13279,6,0.03643814,0.999632
6,2,11013852,59807,6,0.04555534,0.9998391
6,3,11013853,47071,6,0.04537429,0.9998392
6,4,11013854,38879,6,0.02939077,0.9998392
6,5,11013855,51039,6,0.03369182,0.9998391
6,6,11013856,51663,6,0.04891898,0.9991576
6,7,11013857,53663,6,0.07689814,0.9994916
6,8,11013858,54111,6,0.05605268,0.9997189
6,9,11013859,56479,6,0.05195241,0.9991576
6,10,11013860,43423,6,0.05282322,0.9998391
7,1,11013881,55951,6,0.02798158,0.9996868
7,2,11013882,57803,6,0.03407346,0.9996868
7,3,11013883,37259,6,0.03205949,0.9995247
7,4,11013884,39631,6,0.03461282,0.9995626
7,5,11013885,57487,6,0.05172816,0.9997622
7,6,11013886,33167,6,0.03574853,0.9995247
7,7,11013887,37839,6,0.04009588,0.9999244
7,8,11013888,50127,6,0.03846068,0.9997867
7,9,11013889,33423,6,0.05301779,0.9995435
7,10,11013890,33227,6,0.02968242,0.999487
8,1,11013911,32907,6,0.04865756,0.9994721
8,2,11013912,32907,6,0.05399981,0.9994721
8,3,11013913,37259,6,0.06003561,0.9993443
8,4,11013914,36875,6,0.05470734,0.9994721
8,5,11013915,33227,6,0.06558554,0.9992165
8,6,11013916,32907,6,0.08985969,0.9994721
8,7,11013917,37263,6,0.05308999,0.9993443
8,8,11013918,37263,6,0.06697096,0.9993443
8,9,11013919,32971,6,0.06196216,0.9994721
8,10,11013920,37257,6,0.05053103,0.9993443
9,1,11013941,40671,6,0.03825016,0.9996208
9,2,11013942,51167,6,0.03796709,0.9998735
9,3,11013943,60895,6,0.03383401,0.9997472
9,4,11013944,50143,6,0.026873,0.9997603
9,5,11013945,40671,6,0.03682314,0.9996208
9,6,11013946,59103,6,0.02997422,0.9996208
9,7,11013947,59103,6,0.03520078,0.9996208
9,8,11013948,62431,6,0.03816787,0.9998735
9,9,11013949,61407,6,0.03347703,0.9998735
9,10,11013950,30687,6,0.02736863,0.9998735
10,1,11013971,37001,6,0.04692408,0.9995723
10,2,11013972,33163,6,0.04258079,0.9995446
10,3,11013973,37071,6,0.05947767,0.9995723
10,4,11013974,32975,6,0.04926284,0.9995723
10,5,11013975,32911,6,0.05444559,0.9995723
10,6,11013976,32911,6,0.04886617,0.9995723
10,7,11013977,32907,6,0.03956441,0.9995723
10,8,11013978,33433,6,0.03445369,0.9995307
10,9,11013979,37003,6,0.05655487,0.9995723
10,10,11013980,32969,6,0.0618036,0.9995723
11,1,11014001,33743,6,0.09210344,0.9996352
11,2,11014002,33247,6,0.11524758,0.9998175
11,3,11014003,35295,6,0.04805485,0.9998175
11,4,11014004,37343,6,0.04992891,0.9998175
11,5,11014005,37343,6,0.04285206,0.9998175
11,6,11014006,49503,6,0.0411913,0.9994354
11,7,11014007,37839,6,0.08071314,0.9996352
11,8,11014008,33743,6,0.06765682,0.9996352
11,9,11014009,33167,6,0.04113156,0.9992356
11,10,11014010,47503,6,0.05604096,0.9992533
12,1,11014031,39647,6,0.03847612,0.9994966
12,2,11014032,54239,6,0.02748189,0.9998721
12,3,11014033,50143,6,0.02688954,0.9998721
12,4,11014034,60383,6,0.03117647,0.999948
12,5,11014035,51167,6,0.02715713,0.999948
12,6,11014036,51167,6,0.03134545,0.999948
12,7,11014037,31711,6,0.03241026,0.999948
12,8,11014038,57311,6,0.0213673,0.999948
12,9,11014039,30687,6,0.03214911,0.999948
12,10,11014040,61151,6,0.03411376,0.9998442
13,1,11014061,32845,6,0.04177763,0.9995161
13,2,11014062,32841,6,0.06780462,0.9995161
13,3,11014063,32971,6,0.06251331,0.999516
13,4,11014064,37067,6,0.10097778,0.999516
13,5,11014065,33163,6,0.12901112,0.9994321
13,6,11014066,32975,6,0.06649491,0.999516
13,7,11014067,37003,6,0.05297276,0.999516
13,8,11014068,33163,6,0.06401413,0.9994321
13,9,11014069,32907,6,0.06694872,0.999516
13,10,11014070,37071,6,0.03934791,0.999516
14,1,11014091,40671,6,0.03323112,0.9994721
14,2,11014092,51167,6,0.03146951,0.9998239
14,3,11014093,59103,6,0.03300763,0.9994721
14,4,11014094,57055,6,0.04963373,0.9994721
14,5,11014095,64927,6,0.04355641,0.9998239
14,6,11014096,53215,6,0.0247767,0.9998239
