# replicates_eh_e5.csv -- memory-two Wright-Fisher run eh_e5 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files eh_e5.{idx,win,rep} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 20000000 (runs.csv), isl from games_eh_e5.csv
#   E        the replicate's realised efficiency over its sampled second half (the .rep, 8 decimals)
#   R_abc    the share of the replicate's sampled population in the atom abc (the .rep, 8 decimals); the ten
#            replicates of a game average to the pooled S_abc of games_eh_e5.csv within 4.6e-09
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,E,R_000,R_100,R_010,R_001,R_110,R_011,R_111,top,top_atom,top_share,top_selfpay
0,1,20013651,0.98437814,0.03805379,0.01730057,7.406e-05,0.0015242,0.94293419,2.734e-05,8.585e-05,24779,6,0.05929977,0.9999649
0,2,20013652,0.9838709,0.03957491,0.01735946,7.707e-05,0.00156883,0.9413649,2.884e-05,2.598e-05,33231,6,0.05056039,0.9999298
0,3,20013653,0.98442125,0.03838425,0.01655216,7.436e-05,0.00157751,0.94335893,2.733e-05,2.546e-05,47247,6,0.04598671,0.9999598
0,4,20013654,0.98374091,0.04006082,0.01742607,7.74e-05,0.00153987,0.94083416,2.811e-05,3.357e-05,24783,6,0.03635388,0.9999649
0,5,20013655,0.98417277,0.04017176,0.01823838,7.598e-05,0.00160307,0.93983742,2.78e-05,4.559e-05,28875,6,0.0740292,0.9999699
0,6,20013656,0.98452322,0.03784565,0.01870839,7.305e-05,0.00146541,0.94185711,2.656e-05,2.383e-05,55503,6,0.08066804,0.9999598
0,7,20013657,0.98424848,0.0384987,0.018096,7.444e-05,0.00151169,0.94174483,2.777e-05,4.657e-05,63627,6,0.03751482,0.9999699
0,8,20013658,0.98392992,0.04135901,0.01836081,7.6e-05,0.00161908,0.93852234,2.834e-05,3.443e-05,57547,6,0.08799625,0.9999699
0,9,20013659,0.9844364,0.03747195,0.02085808,7.57e-05,0.00147649,0.94006212,2.722e-05,2.844e-05,28811,6,0.04056987,0.9999699
0,10,20013660,0.9843317,0.03774547,0.01941294,7.463e-05,0.00147198,0.94122906,2.755e-05,3.836e-05,28811,6,0.03418807,0.9999699
1,1,20013681,0.98215202,0.05545233,0.0,0.00028445,0.00191797,0.94231238,5.9e-07,3.229e-05,53215,6,0.02841296,0.999988
1,2,20013682,0.98221547,0.05597143,0.0,0.00028105,0.00196532,0.94173879,6.1e-07,4.28e-05,51167,6,0.03422013,0.999988
1,3,20013683,0.98220068,0.05548686,0.0,0.00028596,0.00193694,0.94224433,5.8e-07,4.532e-05,35295,6,0.03504414,0.999988
1,4,20013684,0.98228374,0.05582459,0.0,0.00027953,0.00197424,0.94187737,5.7e-07,4.37e-05,61407,6,0.03108911,0.999988
1,5,20013685,0.98232895,0.05633466,0.0,0.00027802,0.00193569,0.94138857,5.9e-07,6.247e-05,40911,6,0.02233342,0.9999761
1,6,20013686,0.98234505,0.05553997,0.0,0.00028382,0.00188045,0.94225025,6e-07,4.491e-05,15327,6,0.0202016,0.999988
1,7,20013687,0.9821978,0.05569947,0.0,0.00028223,0.00196955,0.94140353,5.7e-07,0.00064465,65503,6,0.02512048,0.999988
1,8,20013688,0.98222168,0.05546773,0.0,0.00028453,0.00194095,0.94225187,6.4e-07,5.428e-05,39887,6,0.02671274,0.9999761
1,9,20013689,0.98212084,0.05590002,0.0,0.00028399,0.00199016,0.94178074,6e-07,4.45e-05,55247,6,0.0371514,0.9999761
1,10,20013690,0.98211044,0.05575914,0.0,0.00028449,0.00196609,0.941938,5.9e-07,5.169e-05,50655,6,0.0238445,0.9999641
2,1,20013711,0.98528435,0.03943348,0.01557672,0.00050065,0.0015447,0.94292274,6.5e-06,1.522e-05,37323,6,0.03577626,0.9999418
2,2,20013712,0.98448176,0.04369849,0.01579604,8.181e-05,0.00178841,0.93860419,6.8e-06,2.425e-05,28879,6,0.0247013,0.9999739
2,3,20013713,0.98467153,0.04298439,0.01686314,7.85e-05,0.00165466,0.93839545,6.41e-06,1.745e-05,57547,6,0.03969453,0.9999739
2,4,20013714,0.98463799,0.04278046,0.0153113,8.01e-05,0.00174784,0.94005424,7.1e-06,1.896e-05,30863,6,0.03720662,0.9999739
2,5,20013715,0.98557969,0.03828577,0.01539124,7.323e-05,0.00150759,0.94471669,6.61e-06,1.887e-05,37161,6,0.03440914,0.9999448
2,6,20013716,0.98474834,0.04060545,0.01493745,0.00043605,0.0017596,0.94224003,6.77e-06,1.465e-05,33227,6,0.04676602,0.9999418
2,7,20013717,0.98483828,0.04215413,0.01676654,7.693e-05,0.00172019,0.93926236,6.73e-06,1.313e-05,61899,6,0.03552071,0.9999618
2,8,20013718,0.98454122,0.04308354,0.01667152,7.738e-05,0.00171257,0.93842922,6.65e-06,1.911e-05,29067,6,0.0499407,0.9999678
2,9,20013719,0.98488373,0.04273059,0.01683455,7.673e-05,0.00173696,0.93858916,6.91e-06,2.511e-05,51343,6,0.04314027,0.9999678
2,10,20013720,0.98423565,0.04455083,0.01558809,8.145e-05,0.00181324,0.93794584,6.92e-06,1.363e-05,57483,6,0.04691471,0.9999739
3,1,20013741,0.98026558,0.05503395,0.0,0.00034122,0.00198445,0.94252476,2.387e-05,9.174e-05,39887,6,0.04458932,0.9999723
3,2,20013742,0.98053634,0.05339986,0.0,0.00033118,0.00189818,0.94428176,2.536e-05,6.365e-05,35279,6,0.04953592,0.9999185
