# replicates_el_e3.csv -- memory-two Wright-Fisher run el_e3 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files el_e3.{idx,win,rep} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 21000000 (runs.csv), isl from games_el_e3.csv
#   E        the replicate's realised efficiency over its sampled second half (the .rep, 8 decimals)
#   R_abc    the share of the replicate's sampled population in the atom abc (the .rep, 8 decimals); the ten
#            replicates of a game average to the pooled S_abc of games_el_e3.csv within 4.6e-09
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,E,R_000,R_100,R_010,R_001,R_110,R_011,R_111,top,top_atom,top_share,top_selfpay
0,1,21013661,0.97012774,0.04038527,0.0330924,0.01171022,0.00202283,0.9105338,0.00106862,0.00118686,14473,6,0.05503372,0.9930415
0,2,21013662,0.91472078,0.05692859,0.03731888,0.14804268,0.00201756,0.75494773,0.00074451,6e-08,23497,6,0.04264012,0.9960004
0,3,21013663,0.95519058,0.06876097,0.04833922,0.01839929,0.00407535,0.86033196,9.269e-05,5.2e-07,61337,6,0.03616197,0.9940262
0,4,21013664,0.97277662,0.03064912,0.02367848,0.02671326,0.00116989,0.91778867,3.7e-07,2.1e-07,37003,6,0.04366291,0.9950042
0,5,21013665,0.94811794,0.04465937,0.02877652,0.07819072,0.00137111,0.84284926,0.00024402,0.00390901,33241,6,0.03499604,0.9950101
0,6,21013666,0.94828271,0.03964092,0.02649554,0.07917874,0.00110126,0.85259927,0.00098424,3e-08,37423,6,0.05411107,0.9940213
0,7,21013667,0.94827412,0.02809424,0.02011198,0.09499561,0.00118178,0.85507404,0.0005423,5e-08,36908,2,0.05908386,0.6641648
0,8,21013668,0.9592851,0.0521917,0.0334148,0.02033643,0.00414772,0.88944105,0.00046813,1.7e-07,37515,6,0.03375853,0.9945073
0,9,21013669,0.9569964,0.03048378,0.0268145,0.06416053,0.00378413,0.87464977,0.00010723,6e-08,40137,6,0.04144465,0.9940272
0,10,21013670,0.94407019,0.0302159,0.02137806,0.10280951,0.00150636,0.8438643,0.0002258,6e-08,33097,6,0.03865737,0.9930382
1,1,21013691,0.99453871,0.00075216,0.0,3.72e-06,1.591e-05,0.99922807,0.0,1.5e-07,36879,6,0.05890065,0.9948199
1,2,21013692,0.99372704,0.00155135,0.0,3.79e-06,2.264e-05,0.9966591,0.0,0.00176312,36281,6,0.05186268,0.9948268
1,3,21013693,0.99433406,0.00142486,0.0,4.37e-06,1.539e-05,0.99855523,1e-08,1.3e-07,35225,6,0.04057775,0.9948268
1,4,21013694,0.99442336,0.00072773,0.0,4.91e-06,1.599e-05,0.99925126,1e-08,1.1e-07,6553,6,0.03782864,0.9948229
1,5,21013695,0.99446227,0.00047641,0.0,4.41e-06,1.677e-05,0.9995012,1e-08,1.2e-06,39785,6,0.0241482,0.9950405
1,6,21013696,0.99439502,0.0006351,0.0,0.00031266,1.636e-05,0.9990358,1e-08,7e-08,44889,6,0.05316535,0.9948209
1,7,21013697,0.99349735,0.00209421,0.0,0.00215635,1.417e-05,0.99516504,0.0,0.00057023,33323,6,0.0299898,0.9936389
1,8,21013698,0.99005617,0.00470224,0.0,0.00807212,0.00011941,0.98710586,1e-08,3.6e-07,27945,6,0.03130529,0.9931512
1,9,21013699,0.9930004,0.00418137,0.0,4.06e-06,1.884e-05,0.99579569,1e-08,3e-08,38729,6,0.0374812,0.9956275
1,10,21013700,0.99429034,0.00060764,0.0,4.05e-06,1.589e-05,0.99937084,1e-08,1.57e-06,33689,6,0.0392059,0.9942324
2,1,21013721,0.97659496,0.04068002,0.01842241,1.58e-06,0.00330867,0.92990135,0.00768593,4e-08,37419,6,0.06534755,0.994811
2,2,21013722,0.9627346,0.05256598,0.0208665,0.03516883,0.00308757,0.88831099,1.1e-07,2e-08,32841,6,0.03019606,0.9954056
2,3,21013723,0.96291665,0.04907554,0.01707387,0.0404302,0.00178009,0.87863025,1.4e-07,0.01300992,33305,6,0.08258806,0.9945171
2,4,21013724,0.96098581,0.04555974,0.01622204,0.05373151,0.00160528,0.88061174,0.00226957,1.2e-07,8428,2,0.03440143,0.6926616
2,5,21013725,0.94876925,0.06278768,0.01891051,0.067135,0.00316217,0.84743463,4.67e-05,0.0005233,8933,2,0.04452351,0.6931506
2,6,21013726,0.95454732,0.05659376,0.01859923,0.05757507,0.00257485,0.85363793,0.00200184,0.00901731,33421,6,0.03636485,0.9951054
2,7,21013727,0.9333027,0.05768004,0.01370391,0.1262292,0.00308359,0.79930308,1.1e-07,7e-08,8948,2,0.11038192,0.6940281
2,8,21013728,0.9618387,0.03883975,0.01326296,0.04343426,0.00299571,0.89169103,0.00977598,3.2e-07,33321,6,0.06193345,0.9948112
2,9,21013729,0.97405371,0.05381357,0.01452626,0.00415608,0.00208148,0.89406144,1.2e-07,0.03136105,37597,6,0.02942902,0.9948098
2,10,21013730,0.96894592,0.05410974,0.02266697,0.01169829,0.00361628,0.9070791,0.0008296,3e-08,32861,6,0.03869163,0.9948118
3,1,21013751,0.95815492,0.02819723,0.0,0.06359809,0.00078109,0.9067149,0.00070838,3e-07,35113,6,0.03907596,0.9925912
3,2,21013752,0.95358125,0.03379367,0.0,0.05929964,0.00152482,0.8929438,0.00049078,0.0119473,34955,6,0.03880438,0.9946272
3,3,21013753,0.96508933,0.02909715,0.0,0.03128636,0.0013747,0.91215816,0.00120691,0.02487672,39769,6,0.03655362,0.9966228
3,4,21013754,0.95445786,0.03016569,0.0,0.06326217,0.00313712,0.90329794,0.000137,8e-08,37705,6,0.04040089,0.9952559
3,5,21013755,0.94720279,0.03288398,0.0,0.07840568,0.00214041,0.88530095,0.00126894,4e-08,38444,2,0.03994338,0.6636035
3,6,21013756,0.96501281,0.02344952,0.0,0.04705046,0.00108884,0.92786489,0.00054626,3e-08,8153,6,0.07017069,0.9966232
3,7,21013757,0.97401104,0.02019218,0.0,0.02136794,0.00148955,0.95516317,0.00028675,0.0015004,34585,6,0.06108479,0.9932779
3,8,21013758,0.95784631,0.0331601,0.0,0.05122149,0.00089289,0.91433691,0.00038859,3e-08,32813,6,0.05318481,0.9939493
3,9,21013759,0.95444451,0.04127079,0.0,0.05292581,0.0019411,0.89667196,0.00014775,0.0070426,37273,6,0.02913742,0.9966168
3,10,21013760,0.94511599,0.0407941,0.0,0.07763005,0.00133456,0.87930762,0.00093365,3e-08,38986,2,0.04345915,0.6634835
4,1,21013781,0.99550699,0.00054878,0.0,2.58e-06,1.742e-05,0.99943103,1e-08,1.7e-07,36975,6,0.03266156,0.9942661
4,2,21013782,0.99546597,0.00057579,0.0,2.71e-06,1.791e-05,0.99856434,2e-08,0.00083924,34089,6,0.02946933,0.9942647
4,3,21013783,0.99553319,0.00058079,0.0,2.72e-06,1.738e-05,0.9993988,2e-08,2.9e-07,35499,6,0.03246639,0.9942526
4,4,21013784,0.99528112,0.00053334,0.0,2.8e-06,1.864e-05,0.99944515,2e-08,6e-08,23497,6,0.06887731,0.9962453
4,5,21013785,0.99535608,0.00144999,0.0,2.88e-06,1.71e-05,0.99852995,3e-08,6e-08,57289,6,0.04216476,0.9962502
4,6,21013786,0.99518722,0.0008603,0.0,3.15e-06,1.729e-05,0.99911914,2e-08,1e-07,48121,6,0.04273382,0.9966864
4,7,21013787,0.9957837,0.00061527,0.0,2.71e-06,2.001e-05,0.99936188,2e-08,1e-07,34473,6,0.04494592,0.9946916
4,8,21013788,0.99520178,0.00054651,0.0,2.68e-06,1.652e-05,0.99943346,2e-08,8.1e-07,29209,6,0.02713843,0.9958141
