# replicates_f2_e4.csv -- memory-two Wright-Fisher run f2_e4 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files f2_e4.{idx,win,rep} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 9000000 (runs.csv), isl from games_f2_e4.csv
#   E        the replicate's realised efficiency over its sampled second half (the .rep, 8 decimals)
#   R_abc    the share of the replicate's sampled population in the atom abc (the .rep, 8 decimals); the ten
#            replicates of a game average to the pooled S_abc of games_f2_e4.csv within 5.5e-09
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,E,R_000,R_100,R_010,R_001,R_110,R_011,R_111,top,top_atom,top_share,top_selfpay
0,1,9013671,0.96958991,0.05510704,0.04212951,0.01532058,0.00152197,0.88263793,0.00097514,0.00230781,32907,6,0.03958312,0.9994993
0,2,9013672,0.9701458,0.04498678,0.04329091,0.01817054,0.00287924,0.88511616,0.00049682,0.00505954,36681,6,0.05058789,0.9993988
0,3,9013673,0.98017708,0.03339595,0.02963404,0.00531204,0.00157915,0.92889024,0.00118848,9e-08,60233,6,0.06849222,0.9993989
0,4,9013674,0.93964595,0.05305568,0.02835743,0.10398806,0.00254889,0.81156376,0.00048613,6e-08,36906,2,0.05068823,0.6664156
0,5,9013675,0.97821719,0.03274279,0.02802166,0.01304397,0.00113195,0.92174704,0.00189352,0.00141907,53193,6,0.03866976,0.9993988
0,6,9013676,0.95811906,0.05179628,0.04315773,0.03194989,0.00359619,0.86645498,0.00020973,0.00283519,35209,6,0.04977704,0.9993988
0,7,9013677,0.9683014,0.03884392,0.03463719,0.03334435,0.00215269,0.89048742,0.00053438,4e-08,5113,6,0.03045972,0.9990981
0,8,9013678,0.95904568,0.03845534,0.02973977,0.06667213,0.0013258,0.82865513,0.00102919,0.03412264,37465,6,0.04138323,0.9993988
0,9,9013679,0.97720041,0.03439034,0.02728921,0.01454869,0.00257502,0.92106012,0.00013658,3e-08,24345,6,0.07262712,0.9992969
0,10,9013680,0.94407229,0.04018347,0.02687931,0.10230077,0.00193745,0.82856407,0.00013487,7e-08,37130,2,0.07634073,0.6664099
1,1,9013701,0.99880151,0.00143039,0.0,4.2e-06,1.546e-05,0.99285379,1e-08,0.00569616,32879,6,0.04296567,0.9993611
1,2,9013702,0.99724664,0.00418941,0.0,4.02e-06,2.818e-05,0.99577826,1e-08,1.2e-07,40281,6,0.04442395,0.9994415
1,3,9013703,0.99789841,0.00436975,0.0,5.48e-06,1.64e-05,0.99560832,0.0,5e-08,51799,6,0.03026876,0.9991559
1,4,9013704,0.99847325,0.00264008,0.0,4.2e-06,1.572e-05,0.99733988,0.0,1.2e-07,34713,6,0.03943696,0.9991225
1,5,9013705,0.99871406,0.00170487,0.0,4.05e-06,1.524e-05,0.99827578,0.0,5e-08,44185,6,0.03051667,0.9989231
1,6,9013706,0.99794487,0.00416248,0.0,4.28e-06,1.831e-05,0.99581488,1e-08,5e-08,37865,6,0.0538355,0.9993818
1,7,9013707,0.9930751,0.00170691,0.0,0.01150338,1.922e-05,0.98677044,1e-08,4e-08,33373,6,0.03694362,0.9993611
1,8,9013708,0.99865668,0.00212503,0.0,4.05e-06,1.421e-05,0.99785666,0.0,5e-08,60777,6,0.03485395,0.9992418
1,9,9013709,0.99912673,0.00070494,0.0,4.01e-06,1.436e-05,0.99927631,1e-08,3.8e-07,36911,6,0.04852571,0.9994208
1,10,9013710,0.99846687,0.00241068,0.0,0.00015214,1.704e-05,0.99741934,1e-08,8e-07,39339,6,0.02854196,0.9993013
2,1,9013731,0.94659104,0.07583038,0.02637506,0.06955405,0.00308492,0.82288338,0.00227204,1.7e-07,8373,2,0.04559195,0.6956725
2,2,9013732,0.95942627,0.04257273,0.02011459,0.06238627,0.00142074,0.86336004,0.00656114,0.00358449,37465,6,0.03761343,0.9994787
2,3,9013733,0.97313665,0.05717623,0.02108104,0.00674419,0.00236886,0.91262815,2.4e-07,1.3e-06,37017,6,0.0385442,0.9994786
2,4,9013734,0.9731306,0.04765878,0.01993749,0.0169169,0.00302233,0.91216949,0.00029494,7e-08,35339,6,0.04572746,0.9993876
2,5,9013735,0.96061685,0.05174328,0.02042502,0.06092349,0.00159915,0.86435231,0.00095672,3e-08,8437,2,0.04680188,0.6956725
2,6,9013736,0.97988045,0.04352809,0.01904034,0.0019456,0.00360722,0.93046478,0.00141393,3e-08,56281,6,0.06352812,0.9997392
2,7,9013737,0.97513632,0.05354194,0.02246554,0.0056409,0.00195323,0.91487659,0.0015217,1e-07,31321,6,0.03428017,0.9996785
2,8,9013738,0.96721053,0.04573916,0.02202207,0.03229643,0.00348863,0.86840873,0.00419758,0.0238474,35097,6,0.06457785,0.9995394
2,9,9013739,0.9761876,0.04953957,0.01784958,0.01473941,0.00237303,0.91549827,8e-08,6e-08,8153,6,0.03299343,0.9997392
2,10,9013740,0.96758269,0.05729044,0.02372298,0.02343146,0.00200462,0.88920259,0.00273597,0.00161193,15065,6,0.06745795,0.9993183
3,1,9013761,0.9566205,0.03695338,0.0,0.05502669,0.00176437,0.90380732,0.00244811,1.2e-07,40236,2,0.02854232,0.6663236
3,2,9013762,0.95345023,0.05167881,0.0,0.03881866,0.0037795,0.90047069,0.00017821,0.00507413,35145,6,0.03925819,0.9991858
3,3,9013763,0.92457025,0.03813915,0.0,0.16300791,0.00148552,0.79670489,0.00066249,3e-08,37164,2,0.07436767,0.6663117
3,4,9013764,0.97661032,0.02749743,0.0,0.01985619,0.00150962,0.95060061,0.00053572,4.4e-07,61833,6,0.03107241,0.9995237
3,5,9013765,0.9640914,0.03297711,0.0,0.04500316,0.00130719,0.91921584,0.00149603,6.7e-07,34059,6,0.0403042,0.9993238
3,6,9013766,0.94705586,0.02901066,0.0,0.09762076,0.00125999,0.87210794,5.5e-07,1e-07,55879,6,0.04699612,0.9992608
3,7,9013767,0.97107085,0.03877653,0.0,0.0239523,0.00136703,0.93573171,0.00017239,4e-08,25995,6,0.02580845,0.9994736
3,8,9013768,0.95492928,0.05034213,0.0,0.0460421,0.00271939,0.90057905,0.00031726,6e-08,36879,6,0.03721678,0.9994619
3,9,9013769,0.96562334,0.04116642,0.0,0.03776607,0.00122585,0.91969512,0.00014651,4e-08,34845,6,0.03376295,0.9993238
3,10,9013770,0.94210976,0.0542948,0.0,0.08223496,0.00330879,0.8599443,0.0002171,5e-08,37577,6,0.03766874,0.9994618
4,1,9013791,0.9993077,0.00056756,0.0,2.84e-06,1.831e-05,0.99941121,3e-08,6e-08,33225,6,0.0336228,0.9993351
4,2,9013792,0.99917777,0.00158803,0.0,2.82e-06,1.789e-05,0.99839114,1e-08,1.2e-07,36809,6,0.05326932,0.9994235
4,3,9013793,0.99924656,0.00100522,0.0,2.76e-06,1.639e-05,0.99897556,1e-08,6e-08,33737,6,0.04928137,0.9994234
4,4,9013794,0.99930375,0.00055915,0.0,2.84e-06,2.002e-05,0.99941793,1e-08,5e-08,44985,6,0.03379076,0.9994676
4,5,9013795,0.99918889,0.0010968,0.0,2.76e-06,1.601e-05,0.99888372,2e-08,6.9e-07,22329,6,0.0452856,0.9992355
4,6,9013796,0.9992826,0.0005445,0.0,2.71e-06,1.744e-05,0.99732305,1e-08,0.00211229,5593,6,0.02811382,0.9989594
4,7,9013797,0.99928005,0.00060658,0.0,3.07e-06,1.978e-05,0.99937049,2e-08,7e-08,45001,6,0.03850394,0.9994234
4,8,9013798,0.99912672,0.00101684,0.0,2.7e-06,1.998e-05,0.99896036,2e-08,1.1e-07,38477,6,0.02219875,0.9995117
4,9,9013799,0.99925693,0.00072291,0.0,3.06e-06,1.68e-05,0.99925709,2e-08,1.2e-07,62265,6,0.04653735,0.9996233
4,10,9013800,0.99924655,0.00053932,0.0,2.62e-06,1.798e-05,0.99943999,1e-08,7e-08,32941,6,0.04172928,0.9992909
5,1,9013821,0.96948074,0.05268218,0.00796229,0.00646462,0.00308182,0.92465814,0.00430007,0.00085087,33097,6,0.05316834,0.9993884
5,2,9013822,0.95617534,0.07095541,0.01225222,0.01864326,0.00801793,0.88865981,0.0014706,7.6e-07,33293,6,0.02935639,0.9994942
5,3,9013823,0.9478066,0.07886712,0.01352466,0.03657837,0.00477277,0.8647389,0.00151814,5e-08,37929,6,0.04857161,0.9995295
5,4,9013824,0.94761046,0.08703846,0.01358261,0.02755223,0.00603439,0.86540002,0.00039222,5e-08,36969,6,0.06321936,0.9994589
5,5,9013825,0.96452918,0.06643558,0.0146135,0.0029977,0.00623174,0.90750186,0.00221943,1.8e-07,36633,6,0.04674818,0.999318
5,6,9013826,0.95523897,0.07057072,0.01297639,0.01928582,0.00610193,0.87528897,0.00500006,0.01077611,55431,6,0.08006417,0.9995339
5,7,9013827,0.96979881,0.05494746,0.01241134,0.01201613,0.00445952,0.90561748,0.00021549,0.01033258,38955,6,0.04579538,0.9994941
5,8,9013828,0.96227619,0.07044198,0.01217221,0.01396342,0.0043769,0.89893732,0.0001081,7e-08,26889,6,0.03781116,0.9995089
5,9,9013829,0.95013275,0.0792297,0.00975098,0.03028209,0.00533369,0.87485653,0.00054695,5e-08,37421,6,0.03724816,0.9994589
5,10,9013830,0.96357316,0.05459027,0.01192582,0.02671453,0.00466742,0.90176344,0.00033746,1.06e-06,34585,6,0.05195807,0.999459
6,1,9013851,0.99915626,0.00037613,0.0,9.92e-06,1.355e-05,0.9995972,2.3e-07,2.98e-06,33033,6,0.06752029,0.9992788
6,2,9013852,0.99917424,0.00044254,0.0,1.093e-05,1.606e-05,0.99953016,2.3e-07,9e-08,13561,6,0.06812831,0.9994785
6,3,9013853,0.99903372,0.00040106,0.0,1.044e-05,1.322e-05,0.99957499,2.4e-07,4e-08,52569,6,0.04312095,0.9984769
6,4,9013854,0.99913938,0.00039588,0.0,1.074e-05,1.288e-05,0.99958021,2e-07,9e-08,40089,6,0.03487856,0.9991184
6,5,9013855,0.9991606,0.00037322,0.0,1.005e-05,1.235e-05,0.99960412,2.2e-07,3e-08,32783,6,0.05081401,0.9994393
6,6,9013856,0.99913904,0.00045157,0.0,1.132e-05,1.664e-05,0.99951931,2.1e-07,9.5e-07,47831,6,0.02394484,0.9991933
6,7,9013857,0.99915234,0.00037397,0.0,1.016e-05,1.337e-05,0.99960208,2.2e-07,2e-07,53113,6,0.063054,0.9994393
6,8,9013858,0.99914113,0.00047924,0.0,1.19e-05,1.614e-05,0.99949244,2.1e-07,7e-08,52505,6,0.03450307,0.998399
6,9,9013859,0.99917177,0.00039573,0.0,1.076e-05,1.4e-05,0.99957925,2.2e-07,4e-08,13801,6,0.06227254,0.9993179
6,10,9013860,0.99915363,0.00042807,0.0,1.128e-05,1.395e-05,0.99822898,2.3e-07,0.00131748,36073,6,0.04075368,0.9994393
7,1,9013881,0.96455343,0.06539696,0.0298799,0.089496,0.00179988,0.81268145,0.00074568,1.4e-07,8932,2,0.04595722,0.8106489
