# replicates_lm_g0_e4.csv -- memory-two Wright-Fisher run lm_g0_e4 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files lm_g0_e4.{idx,win,rep} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 30000000 (runs.csv), isl from games_lm_g0_e4.csv
#   E        the replicate's realised efficiency over its sampled second half (the .rep, 8 decimals)
#   R_abc    the share of the replicate's sampled population in the atom abc (the .rep, 8 decimals); the ten
#            replicates of a game average to the pooled S_abc of games_lm_g0_e4.csv within 5.4e-09
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,E,R_000,R_100,R_010,R_001,R_110,R_011,R_111,top,top_atom,top_share,top_selfpay
0,1,30013671,0.99371051,0.04114006,0.05291753,9.3e-06,0.00267118,0.90323404,2.6e-07,2.763e-05,61449,6,0.00355119,0.9996993
0,2,30013672,0.99369434,0.04000691,0.0602091,3.56e-05,0.00241967,0.8973135,5e-08,1.517e-05,63497,6,0.00315816,0.9996993
0,3,30013673,0.9937507,0.04048481,0.05609353,1.68e-05,0.00261789,0.90076626,4e-08,2.067e-05,61449,6,0.00309028,0.9996993
0,4,30013674,0.99360431,0.0396262,0.06287175,5.911e-05,0.00240278,0.89501924,1.7e-07,2.075e-05,63499,6,0.00284326,0.9996993
0,5,30013675,0.99370074,0.04053657,0.05598705,2.091e-05,0.00269503,0.90073764,6e-08,2.274e-05,28683,6,0.00305917,0.9996993
0,6,30013676,0.99371756,0.03965992,0.05821193,3.987e-05,0.00256884,0.89949096,6e-08,2.842e-05,61449,6,0.00318459,0.9996993
0,7,30013677,0.99372995,0.04067179,0.05732672,2.464e-05,0.00259323,0.89936479,1.1e-07,1.871e-05,61449,6,0.00316875,0.9996993
0,8,30013678,0.99374981,0.04055286,0.05349061,7.4e-06,0.00272733,0.90321003,3e-08,1.174e-05,61449,6,0.00334659,0.9996993
0,9,30013679,0.9937037,0.04001867,0.05932913,3.962e-05,0.00260355,0.897992,7e-08,1.696e-05,28681,6,0.00307777,0.9996993
0,10,30013680,0.99373325,0.04070477,0.05512882,9.02e-06,0.00270739,0.90142534,2e-08,2.463e-05,61449,6,0.00359795,0.9996993
1,1,30013701,0.99585213,0.03780809,0.0,2.83e-05,0.00033356,0.96181879,0.0,1.126e-05,59359,6,0.00125256,0.9998804
1,2,30013702,0.99587971,0.03810917,0.0,1.528e-05,0.0003107,0.96155858,0.0,6.27e-06,61407,6,0.00133214,0.9998804
1,3,30013703,0.99591515,0.03833698,0.0,8.72e-06,0.00027058,0.96137584,0.0,7.88e-06,56287,6,0.00137264,0.9998803
1,4,30013704,0.9959146,0.03804404,0.0,1.323e-05,0.0003037,0.96162816,0.0,1.087e-05,53215,6,0.00127054,0.9998804
1,5,30013705,0.99591667,0.03778302,0.0,1.164e-05,0.00029364,0.96190713,0.0,4.56e-06,60383,6,0.00138324,0.9998803
1,6,30013706,0.995848,0.03773995,0.0,2.719e-05,0.00034607,0.96188062,0.0,6.16e-06,64479,6,0.00134131,0.9998804
1,7,30013707,0.99593353,0.03824991,0.0,1e-05,0.00028072,0.96145318,0.0,6.19e-06,65503,6,0.00144215,0.9998804
1,8,30013708,0.9958958,0.03787032,0.0,2.222e-05,0.00030446,0.9617921,0.0,1.089e-05,60383,6,0.00142196,0.9998803
1,9,30013709,0.99591338,0.03796441,0.0,1.605e-05,0.00031221,0.96170331,0.0,4.02e-06,53215,6,0.00131683,0.9998804
1,10,30013710,0.9959042,0.03817809,0.0,7.64e-06,0.00031429,0.96149379,0.0,6.19e-06,64479,6,0.00140213,0.9998804
2,1,30013731,0.99447128,0.04561182,0.04309941,1.3e-05,0.00293594,0.90833288,1e-08,6.94e-06,61449,6,0.00327012,0.9997392
2,2,30013732,0.99416845,0.04527956,0.04839995,2.871e-05,0.00288876,0.90336452,1e-08,3.849e-05,61449,6,0.00320704,0.9997392
2,3,30013733,0.99441442,0.04542941,0.0456985,4.07e-05,0.00269896,0.90612477,1e-08,7.65e-06,63497,6,0.00322733,0.9997392
2,4,30013734,0.99445424,0.04520512,0.04316382,5.994e-05,0.0029136,0.90864917,1e-08,8.35e-06,61449,6,0.00326303,0.9997392
2,5,30013735,0.99453211,0.0454598,0.04189971,4.8e-06,0.00298047,0.9096445,2e-08,1.069e-05,28681,6,0.00351641,0.9997392
2,6,30013736,0.99436384,0.04459441,0.04834432,3.845e-05,0.00278944,0.90422411,1e-08,9.26e-06,61449,6,0.0033148,0.9997392
2,7,30013737,0.99450421,0.04534668,0.0446439,1.203e-05,0.00288903,0.90709842,1e-08,9.93e-06,61449,6,0.00332124,0.9997392
2,8,30013738,0.99437379,0.04503377,0.04695184,2.74e-05,0.00288753,0.90509175,1e-08,7.7e-06,61449,6,0.00323233,0.9997392
2,9,30013739,0.99439146,0.04578723,0.04460125,1.661e-05,0.00298899,0.90658514,1e-08,2.077e-05,61449,6,0.00356113,0.9997392
2,10,30013740,0.99434521,0.04631957,0.04155069,2.931e-05,0.00301767,0.90907385,1e-08,8.89e-06,61449,6,0.00368823,0.9997392
3,1,30013761,0.99405233,0.03665927,0.0,0.00030534,0.00119036,0.96180923,1e-08,3.58e-05,59535,6,0.00145538,0.9996618
3,2,30013762,0.99399093,0.03671542,0.0,0.00033708,0.00124416,0.96167569,1e-08,2.764e-05,61647,6,0.00167107,0.9996617
3,3,30013763,0.99405264,0.03660569,0.0,0.00030815,0.00114367,0.96191521,1e-08,2.727e-05,57359,6,0.00137695,0.9996618
3,4,30013764,0.99389233,0.03538489,0.0,0.00037255,0.00121883,0.96300145,1e-08,2.226e-05,57357,6,0.00147288,0.9996618
3,5,30013765,0.99392817,0.03565817,0.0,0.00034251,0.0011692,0.96279701,1e-08,3.309e-05,59535,6,0.0015982,0.9996618
3,6,30013766,0.99404305,0.03644653,0.0,0.00031264,0.00108022,0.96214143,2e-08,1.917e-05,63631,6,0.00119526,0.9996618
3,7,30013767,0.99384026,0.03501317,0.0,0.00038635,0.00134033,0.96322562,0.0,3.453e-05,61455,6,0.00189109,0.9996618
3,8,30013768,0.99392763,0.03583159,0.0,0.00035188,0.00123864,0.96252288,1e-08,5.501e-05,63631,6,0.0017679,0.9996618
3,9,30013769,0.99406271,0.03703691,0.0,0.00030723,0.00122391,0.96140114,0.0,3.081e-05,63631,6,0.00148414,0.9996618
3,10,30013770,0.99408146,0.03670772,0.0,0.00028022,0.00110885,0.96186169,0.0,4.151e-05,57483,6,0.00142478,0.9996617
4,1,30013791,0.99668386,0.03864549,0.0,1.44e-06,0.00030268,0.96103077,0.0,1.962e-05,53215,6,0.00137531,0.9999115
4,2,30013792,0.99668608,0.03883661,0.0,9.6e-07,0.00027682,0.96088097,0.0,4.64e-06,48095,6,0.00131312,0.9999115
4,3,30013793,0.9966963,0.0384565,0.0,2.19e-06,0.00030388,0.96123291,0.0,4.52e-06,40927,6,0.00138725,0.9999115
4,4,30013794,0.99667759,0.03854833,0.0,2.54e-06,0.00031093,0.96113013,0.0,8.07e-06,61407,6,0.00130064,0.9999115
4,5,30013795,0.99670972,0.03842897,0.0,7e-08,0.00027869,0.96128457,0.0,7.69e-06,60383,6,0.00134731,0.9999115
4,6,30013796,0.99671142,0.03855989,0.0,7e-08,0.0002905,0.96114581,0.0,3.74e-06,49119,6,0.00120066,0.9999115
4,7,30013797,0.99668851,0.03846754,0.0,3.75e-06,0.00029335,0.96122548,0.0,9.89e-06,57311,6,0.00141148,0.9999115
4,8,30013798,0.99671374,0.03840787,0.0,8.8e-07,0.00027002,0.96130809,0.0,1.315e-05,65503,6,0.00137056,0.9999115
4,9,30013799,0.99670893,0.03849505,0.0,5.1e-07,0.00027545,0.96122562,0.0,3.37e-06,64479,6,0.00144148,0.9999115
4,10,30013800,0.99665902,0.0382905,0.0,9.43e-06,0.00029643,0.96139775,0.0,5.89e-06,64351,6,0.00129726,0.9999115
5,1,30013821,0.99333793,0.03760337,0.06562741,0.00018845,0.00200901,0.89456189,7.3e-07,9.14e-06,32777,6,0.0042536,0.9995294
5,2,30013822,0.99399178,0.04408024,0.04408879,6.019e-05,0.00322073,0.90852852,9.1e-06,1.244e-05,57355,6,0.00345635,0.9997293
5,3,30013823,0.99378037,0.04147461,0.05296686,8.545e-05,0.00263202,0.90283552,5.3e-07,5.01e-06,61449,6,0.00299572,0.9997294
5,4,30013824,0.99360311,0.04016092,0.05651945,0.00012258,0.00229116,0.90089804,2.79e-06,5.07e-06,33163,6,0.00298341,0.9994589
5,5,30013825,0.99412101,0.04430745,0.04418826,2.09e-05,0.00301927,0.90845631,1.2e-07,7.68e-06,61449,6,0.00353063,0.9997294
5,6,30013826,0.99386389,0.04188011,0.05128005,8.198e-05,0.00262389,0.90412132,7.39e-06,5.26e-06,61449,6,0.00283547,0.9997294
5,7,30013827,0.99403035,0.04342376,0.04644281,4.255e-05,0.00284772,0.90723631,1.8e-07,6.67e-06,61449,6,0.00369887,0.9997294
5,8,30013828,0.99397076,0.04261263,0.04866765,5.161e-05,0.00288849,0.90575769,8.74e-06,1.318e-05,30729,6,0.00306453,0.9997293
5,9,30013829,0.99406186,0.044573,0.04487411,1.222e-05,0.00310462,0.90742517,3.2e-07,1.056e-05,61449,6,0.00348399,0.9997294
5,10,30013830,0.99371766,0.03959382,0.05924949,0.00012525,0.0023194,0.89870664,7.6e-07,4.64e-06,33035,6,0.00316422,0.9994589
6,1,30013851,0.9951533,0.03658087,0.0,7.099e-05,0.00027327,0.96306415,0.0,1.072e-05,61279,6,0.00136416,0.9998391
6,2,30013852,0.99520726,0.03686217,0.0,4.897e-05,0.00026053,0.96282348,0.0,4.85e-06,16351,6,0.00143911,0.9998392
6,3,30013853,0.9951573,0.03681943,0.0,6.585e-05,0.00029257,0.96281695,0.0,5.21e-06,49119,6,0.00127021,0.9998392
6,4,30013854,0.99522293,0.03706508,0.0,3.983e-05,0.00027484,0.96261437,0.0,5.87e-06,43999,6,0.00152105,0.9998391
6,5,30013855,0.99516862,0.03718492,0.0,6.257e-05,0.00028806,0.96246198,0.0,2.48e-06,65503,6,0.00143327,0.9998392
6,6,30013856,0.99521094,0.03703008,0.0,4.601e-05,0.00026857,0.96265377,0.0,1.56e-06,36831,6,0.00146221,0.9998391
6,7,30013857,0.99522518,0.03703168,0.0,3.963e-05,0.00025728,0.9626661,0.0,5.31e-06,64479,6,0.00144985,0.9998391
6,8,30013858,0.99521148,0.03718508,0.0,4.163e-05,0.00024841,0.96251981,0.0,5.08e-06,48095,6,0.00137327,0.9998391
6,9,30013859,0.99519774,0.03688591,0.0,5.22e-05,0.00026954,0.96278739,0.0,4.97e-06,48991,6,0.00136848,0.9998392
6,10,30013860,0.99520336,0.0369801,0.0,4.534e-05,0.00024732,0.96272313,0.0,4.11e-06,60255,6,0.00141124,0.9998391
7,1,30013881,0.99496463,0.04855242,0.04481487,7.91e-06,0.00290748,0.90369592,6.68e-06,1.474e-05,61707,6,0.00318731,0.9997245
7,2,30013882,0.99518406,0.04784806,0.04245754,2.414e-05,0.00309405,0.90656826,6.5e-07,7.31e-06,61707,6,0.00322736,0.9997245
7,3,30013883,0.99521151,0.04766682,0.04301377,2.21e-06,0.00294732,0.90635842,1e-08,1.144e-05,63497,6,0.00323905,0.9997623
7,4,30013884,0.99484563,0.04829037,0.04607014,1.407e-05,0.00280359,0.90280542,2e-08,1.639e-05,63755,6,0.00304679,0.9997245
7,5,30013885,0.99493518,0.04753281,0.04401709,0.00062173,0.00302433,0.90479692,1e-08,7.11e-06,61449,6,0.00368863,0.9997623
7,6,30013886,0.99523024,0.04770049,0.04176524,1.19e-06,0.00311402,0.90741211,1e-08,6.93e-06,28681,6,0.00341888,0.9997623
7,7,30013887,0.99524016,0.04767412,0.04305743,1.79e-06,0.00290384,0.90634786,1e-08,1.496e-05,61449,6,0.00358323,0.9997623
7,8,30013888,0.99464832,0.04800272,0.04763061,0.00024243,0.00286596,0.90124902,2e-08,9.23e-06,61449,6,0.00319248,0.9997623
7,9,30013889,0.99507261,0.04784783,0.04387271,0.00017399,0.00295992,0.90513736,0.0,8.19e-06,61449,6,0.00336995,0.9997623
7,10,30013890,0.99432581,0.04910293,0.04766461,0.0009602,0.0028834,0.89929858,2.82e-06,8.747e-05,61449,6,0.00308739,0.9997623
8,1,30013911,0.99212099,0.03984112,0.04705192,0.00183402,0.00271562,0.90854394,1.16e-06,1.222e-05,61449,6,0.00367244,0.999672
8,2,30013912,0.99303933,0.03975179,0.04375272,1.934e-05,0.00287693,0.91358903,6e-08,1.013e-05,61449,6,0.00372933,0.999672
8,3,30013913,0.9930433,0.04024716,0.04187319,1.02e-06,0.00300598,0.91485529,2e-08,1.734e-05,61453,6,0.0037768,0.999672
