# The Wright-Fisher run m1_N100: memory one (16 strategies), N = 100, beta = 3, mu = 1e-4, eps = 1e-4, uniform mutants,
# 10 replicates per game of 1e8 generations, the second half of each sampled; the run the paper draws in SI Figures 4 and 5 (rows a-c) and SI Figure 2 a-h.
# Source (not deposited): DiskM1WF/Data/mw2_e4.tsv (the Cannon kit mw, sf2.f / prod2); atoms: DiskM1WF/Data/m1_atoms_512.npz (the exact eps -> 0 classification of the 16 strategies at the 512 games).
# Written by provenance/four-runs/reduce_runs.py through the loader of the published figures (wfdata.load).
# 
# Columns (one row per game, ipt order 0..511; the games are data/games/games.csv):
#   ipt          the game's index (gid = 2000 + ipt in the packs)
#   isl          the game's task index in the Cannon array of the run (runs.csv)
#   seed1        the seed of its first replicate; replicate r = 1..10 ran on seed1 + r - 1
#   u, v         the game, (R, S, T, P) = (1, u, 1 + v, 0), as the pack gives it (equal to games.csv bit for bit)
#   emax         Emax = max(R, (S + T)/2), from the pack
#   pay          the mean per-round payoff of the population over the sampled halves of the ten replicates
#   E            the realised efficiency, the pack's mean of pay/Emax over the replicates: the left column of
#                Figure 4 / SI Figure 4 (black where E < 0)
#   nrep         replicates found (10 at every game)
#   S_000..S_111 the share of the population (time x individuals, second half of each replicate, ten replicates
#                pooled) held by the strategies of each atom, efficient-stable-competitive, in the eps -> 0
#                classification; the seven add to 1 (101 is empty): the atom panels of SI Figures 2 and 3
#   N_000..N_111 the number of strategies of the space in each atom at the game (they add to 16)
#   P_eff, P_nash, P_comp   the share of the population with each property, the sum of S over its atoms
#                (efficient 100+110+111, stable 010+110+011+111, competitive 001+011+111): Figure 5 / SI Figure 5
#   abundant     the integer code 4e+2n+c of the most abundant atom (largest S among the atoms with N > 0):
#                the middle column of Figure 4 / SI Figure 4 and panels h, p of SI Figures 2 and 3
#   enriched     the integer code of the most enriched atom (largest S/N among the atoms with N > 0):
#                the right column of Figure 4 / SI Figure 4
#   neff         the effective number of strategies, 1/sum_s pi(s)^2, pi the pooled abundance of each strategy
#   maxpi        the largest pi(s), the share of the most abundant single strategy
#   top          that strategy (memory-one index 0..15: bit j = 1 means C after the outcome j = 0..3 for CC, CD, DC, DD;
#                ALLD 0, Grim 1, TFT 5, WSLS 9, ALLC 15)
#   split        1 where the ten replicates split between two basins (some atom's share has a
#                between-replicate s.d. above 0.05, measured from the per-replicate abundances), else 0
#   split_sd     that largest between-replicate s.d. (0 where split = 0)
ipt,isl,seed1,u,v,emax,pay,E,nrep,S_000,S_100,S_010,S_001,S_110,S_011,S_111,N_000,N_100,N_010,N_001,N_110,N_011,N_111,P_eff,P_nash,P_comp,abundant,enriched,neff,maxpi,top,split,split_sd
0,3,11000021,-0.091796875,0.083984375,1.0,0.9994986741,0.9994986741,10,0.00040943514,2.221258e-05,0.0,4.400324e-05,0.9995088803,1.546874e-05,0.0,9,2,0,3,1,1,0,0.99953109288,0.99952434904,5.947198e-05,6,6,1.000982871848355,0.9995088803,9,0,0.0
1,6,11000051,0.0185546875,-0.21484375,1.0,0.9994869379,0.9994869379,10,0.0003546554,0.0,1.754398e-05,4.82085e-05,0.99957959212,0.0,0.0,8,0,1,4,3,0,0,0.99957959212,0.9995971361,4.82085e-05,6,6,1.000890905251174,0.99955480736,9,0,0.0
2,9,11000081,0.169921875,0.2216796875,1.0,0.9995430816,0.9995430816,10,0.00054549386,2.922676e-05,0.0,7.20241e-05,0.99935325528,0.0,0.0,9,2,0,4,1,0,0,0.9993824820399999,0.99935325528,7.20241e-05,6,6,1.0012945754959925,0.99935325528,9,0,0.0
3,12,11000111,-0.3251953125,-0.0576171875,1.0,0.9994572862,0.9994572862,10,0.00032294234,0.0,2.077008e-05,3.755024e-05,0.99960541326,1.332408e-05,0.0,8,0,1,3,3,1,0,0.99960541326,0.99963950742,5.087432e-05,6,6,1.000827030740152,0.999586709,9,0,0.0
4,15,11000141,0.31640625,-0.201171875,1.0,0.9995212202,0.9995212202,10,0.00043322596,0.0,1.785128e-05,5.217272e-05,0.99949675004,0.0,0.0,8,0,1,4,3,0,0,0.99949675004,0.99951460132,5.217272e-05,6,6,1.0010797451562707,0.99946050956,9,0,0.0
5,18,11000171,-0.107421875,0.400390625,1.0,0.999468824,0.999468824,10,0.00051878396,2.194602e-05,0.0,6.058398e-05,0.9993449538,5.373224e-05,0.0,9,2,0,3,1,1,0,0.99936689982,0.99939868604,0.00011431622000000001,6,6,1.001311235424723,0.9993449538,9,0,0.0
6,21,11000201,-0.2080078125,-0.400390625,1.0,0.9494719255,0.9494719255,10,0.00031572368,0.0,0.09995742496,3.393256e-05,0.89968122072,1.169808e-05,0.0,8,0,1,3,3,1,0,0.89968122072,0.9996503437600001,4.563064e-05,6,6,1.2204320313071524,0.8996612888,9,1,0.3161
7,24,11000231,0.4560546875,0.166015625,1.0,0.9994903881,0.9994903881,10,0.0009439495,8.239652e-05,0.0,8.564538e-05,0.9988880086,0.0,0.0,9,2,0,4,1,0,0,0.99897040512,0.9988880086,8.564538e-05,6,6,1.002227284198121,0.9988880086,9,0,0.0
8,27,11000261,-0.4775390625,0.197265625,1.0,0.9994493257,0.9994493257,10,0.00036499636,1.716514e-05,0.0,4.455106e-05,0.99955513086,1.815658e-05,0.0,9,2,0,3,1,1,0,0.9995722960000001,0.9995732874400001,6.270764e-05,6,6,1.0008902610697272,0.99955513086,9,0,0.0
9,30,11000291,0.2314453125,-0.49609375,1.0,0.9995890551,0.9995890551,10,0.00042352668,0.0,1.407544e-05,0.00020333886,0.99935905902,0.0,0.0,8,0,1,4,3,0,0,0.99935905902,0.99937313446,0.00020333886,6,6,2.7815188020284114,0.40067652722,7,0,0.0
10,33,11000321,0.171875,0.5498046875,1.0,0.9986993605,0.9986993605,10,0.0023668475,0.0001224272,0.0,0.00072331472,0.99678741058,0.0,0.0,9,2,0,4,1,0,0,0.99690983778,0.99678741058,0.00072331472,6,6,1.006453830638273,0.99678741058,9,0,0.0
11,36,11000351,-0.521484375,-0.302734375,1.0,0.9694675567,0.9694675567,10,0.00030278066,0.0,0.05986949536,2.924088e-05,0.93976267948,3.580362e-05,0.0,8,0,1,2,3,2,0,0.93976267948,0.99966797846,6.50445e-05,6,6,1.1277683610763976,0.93974598176,9,1,0.1894
12,39,11000381,0.615234375,-0.134765625,1.0,0.9995557625,0.9995557625,10,0.00064637714,0.0,0.0,6.05198e-05,0.99929310306,0.0,0.0,9,0,0,4,3,0,0,0.99929310306,0.99929310306,6.05198e-05,6,6,1.003689458799179,0.99815992618,9,0,0.0
13,42,11000411,-0.376953125,0.5361328125,1.0,0.9958697088,0.9958697088,10,0.00147391252,0.00015938262,0.0,0.00115157222,0.99501593692,0.00219919572,0.0,9,2,0,3,1,1,0,0.99517531954,0.9972151326400001,0.00335076794,6,6,1.0100369511582525,0.99501593692,9,0,0.0
14,45,11000441,-0.0869140625,-0.673828125,1.0,0.9995217645,0.9995217645,10,0.00031370044,0.0,2.820738e-05,0.0001521359,0.9994965199,9.43638e-06,0.0,7,0,2,3,3,1,0,0.9994965199,0.9995341636599999,0.00016157228,6,6,2.987984687556593,0.35266993876,7,0,0.0
15,48,11000471,0.5380859375,0.453125,1.0,0.96946676,0.96946676,10,0.24729498352,0.00221047156,0.0,0.00849278548,0.74200175944,0.0,0.0,9,2,0,4,1,0,0,0.744212231,0.74200175944,0.00849278548,6,6,1.7010652612537316,0.74200175944,9,0,0.0
16,51,11000501,-0.7255859375,0.0302734375,1.0,0.999407417,0.999407417,10,0.00031265142,1.554454e-05,0.0,1.856858e-05,0.99961984978,3.338568e-05,0.0,9,2,0,2,1,2,0,0.9996353943199999,0.99965323546,5.195426e-05,6,6,1.000760681856878,0.99961984978,9,0,0.0
17,54,11000531,0.5302734375,-0.5283203125,1.0,0.9996960582,0.9996960582,10,0.0002316306,0.0,0.0,0.0005035022,2.426144e-05,0.0,0.99924060576,11,0,0,2,1,0,2,0.9992648672,0.9992648672,0.9997441079599999,7,7,2.00258664252744,0.5071416923,15,0,0.0
18,57,11000561,-0.03515625,0.76953125,1.0,0.9571731186,0.9571731186,10,0.02507060226,0.00178519126,0.0,0.01291944906,0.9316690277,0.02855572972,0.0,9,2,0,3,1,1,0,0.93345421896,0.96022475742,0.04147517878,6,6,1.1507269134278206,0.9316690277,9,0,0.0
19,60,11000591,-0.5078125,-0.6083984375,1.0,0.9993867099,0.9993867099,10,0.00025935194,0.0,2.140474e-05,3.283426e-05,0.9996660433,2.036576e-05,0.0,7,0,2,2,3,2,0,0.9996660433,0.9997078138,5.320002000000001e-05,6,6,1.2277874195954397,0.89970924404,9,0,0.0
20,63,11000621,0.8056640625,0.1083984375,1.0,0.9682650472,0.9682650472,10,0.17858829232,0.01388593412,0.0,0.00246088998,0.80506488358,0.0,0.0,9,2,0,4,1,0,0,0.8189508177,0.80506488358,0.00246088998,6,6,1.5207961798198926,0.80506488358,9,0,0.0
21,66,11000651,-0.68359375,0.4755859375,1.0,0.9915736266,0.9915736266,10,0.00142537932,0.00014937842,0.0,0.00067239088,0.99082297404,0.00692987734,0.0,9,2,0,2,1,2,0,0.9909723524599999,0.9977528513799999,0.00760226822,6,6,1.0185841917144256,0.99082297404,9,0,0.0
22,69,11000681,0.1875,-0.83203125,1.0,0.9996053017,0.9996053017,10,0.00013943376,0.0,8.96762e-06,0.00038286828,0.0999742381,0.0,0.89949449224,10,0,1,2,1,0,2,0.9994687303400001,0.99947769796,0.89987736052,7,7,2.41096438858468,0.46051030774,7,1,0.3161
23,72,11000711,0.43359375,0.7568359375,1.09521484375,0.9674244311,0.8833193201,10,0.83643521718,0.0,0.1541878038,0.00937697902,0.0,0.0,0.0,11,0,1,4,0,0,0,0.0,0.1541878038,0.00937697902,0,2,1.9034176059628247,0.6958446447,13,0,0.0
24,75,11000741,-0.849609375,-0.271484375,1.0,0.9993674089,0.9993674089,10,0.00025558658,0.0,1.687368e-05,1.666538e-05,0.9996859385,2.493586e-05,0.0,8,0,1,2,3,2,0,0.9996859385,0.99972774804,4.160124e-05,6,6,1.0006584340152525,0.99967092562,9,0,0.0
25,78,11000771,0.8271484375,-0.3818359375,1.0,0.9997692909,0.9997692909,10,0.00031393654,0.0,0.0,0.00066455954,3.463084e-05,0.0,0.99898687308,11,0,0,2,1,0,2,0.99902150392,0.99902150392,0.99965143262,7,7,2.003011234203228,0.51091021412,15,0,0.0
26,81,11000801,-0.359375,0.857421875,1.0,0.7426193419,0.7426193419,10,0.05755517448,0.0037788964,0.0,0.0985904361,0.68828731356,0.15178817946,0.0,9,2,0,3,1,1,0,0.6920662099599999,0.84007549302,0.25037861556,6,6,1.9886173993971132,0.68828731356,9,0,0.0
27,84,11000831,-0.3212890625,-0.8916015625,1.0,0.9994797631,0.9994797631,10,0.00026999744,0.0,2.223408e-05,0.00013569246,0.9995639577,8.11832e-06,0.0,7,0,2,3,3,1,0,0.9995639577,0.9995943101,0.00014381078,6,6,2.987643681477051,0.35187055138,15,0,0.0
28,87,11000861,0.85546875,0.44921875,1.15234375,1.038184259,0.9009327808,10,0.98020842468,0.0,0.01812495892,0.0016666164,0.0,0.0,0.0,11,0,1,4,0,0,0,0.0,0.01812495892,0.0016666164,0,0,1.472871512756392,0.81527054694,13,0,0.0
29,90,11000891,-0.951171875,0.2509765625,1.0,0.9992747657,0.9992747657,10,0.0003284803,2.254418e-05,0.0,2.56989e-05,0.99948787052,0.0001354061,0.0,9,2,0,2,1,2,0,0.9995104147,0.99962327662,0.000161105,6,6,1.0010249846996873,0.99948787052,9,0,0.0
30,93,11000921,0.5419921875,-0.8427734375,1.0,0.9996932153,0.9996932153,10,0.0001493085,0.0,0.0,0.0004484496,1.445024e-05,0.0,0.99938779166,11,0,0,2,1,0,2,0.9994022419,0.9994022419,0.99983624126,7,7,2.0024144694361703,0.50181826516,7,0,0.0
31,96,11000951,0.1728515625,1.00390625,1.08837890625,0.8749393721,0.8038922539,10,0.85880828052,0.0,0.0,0.14119171948,0.0,0.0,0.0,12,0,0,4,0,0,0,0.0,0.0,0.14119171948,0,0,3.5354086010262358,0.3883597834,9,0,0.0
32,99,11000981,-0.8193359375,-0.6337890625,1.0,0.9993497165,0.9993497165,10,0.00025070086,0.0,2.337122e-05,5.544902e-05,0.9996495314,2.09475e-05,0.0,7,0,2,2,3,2,0,0.9996495314,0.99969385012,7.639652e-05,6,6,1.7137303169380302,0.74178864064,9,0,0.0
33,102,11001011,1.048828125,-0.0869140625,1.0,0.998719227,0.998719227,10,0.02041138868,0.0127563247,0.0,0.10317112584,0.0,0.0,0.86366116078,11,1,0,2,0,0,2,0.87641748548,0.86366116078,0.96683228662,7,7,2.603343214986107,0.43591129882,15,0,0.0
34,105,11001041,-0.7265625,0.78515625,1.0,0.6081193946,0.6081193946,10,0.04932629564,0.00467146828,0.0,0.0345651155,0.56449306388,0.3469440567,0.0,9,2,0,2,1,2,0,0.56916453216,0.91143712058,0.3815091722,6,6,2.6313373324644385,0.56449306388,9,0,0.0
35,108,11001071,0.0048828125,-1.0859375,1.0,0.9995812718,0.9995812718,10,0.0001134459,0.0,7.36508e-06,0.00036143,1.12209e-05,0.0,0.99950653812,10,0,1,2,1,0,2,0.9995177590200001,0.9995251241,0.99986796812,7,7,2.0013906084328665,0.50829323222,7,0,0.0
36,111,11001101,0.740234375,0.81640625,1.2783203125,1.139239225,0.8912001268,10,0.9939666601,0.0,0.00243240174,0.00360093816,0.0,0.0,0.0,11,0,1,4,0,0,0,0.0,0.00243240174,0.00360093816,0,0,1.0363699089783573,0.98224629872,13,0,0.0
37,114,11001131,-1.11328125,-0.103515625,1.0,0.9993428101,0.9993428101,10,0.00024963688,0.0,2.005216e-05,1.633258e-05,0.99968490534,2.907304e-05,0.0,8,0,1,2,3,2,0,0.99968490534,0.99973403054,4.540562e-05,6,6,1.0006588362886046,0.99967072536,9,0,0.0
38,117,11001161,0.9033203125,-0.685546875,1.0,0.9997747094,0.9997747094,10,0.00017987846,0.0,0.0,0.00055870606,1.792382e-05,0.0,0.99924349166,11,0,0,2,1,0,2,0.99926141548,0.99926141548,0.99980219772,7,7,2.0025385228401147,0.5074393023,7,0,0.0
39,120,11001191,-0.2060546875,1.1318359375,1.0,0.4553816895,0.4553816895,10,0.23843905322,0.17709241028,0.0,0.21022228048,0.0,0.37424625602,0.0,9,3,0,3,0,1,0,0.17709241028,0.37424625602,0.5844685365,3,3,5.0867324470254625,0.37424625602,0,0,0.0
40,123,11001221,-0.62109375,-0.9873046875,1.0,0.9994103541,0.9994103541,10,0.00024454926,0.0,2.00896e-05,0.000103938,0.99961404606,1.737708e-05,0.0,7,0,2,2,3,2,0,0.99961404606,0.9996515127400001,0.00012131508,6,6,2.9428652526116656,0.39989063198,9,0,0.0
41,126,11001251,1.1396484375,0.3125,1.22607421875,1.11119099,0.9062999393,10,0.99752350312,0.0,0.0,0.00247649688,0.0,0.0,0.0,12,0,0,4,0,0,0,0.0,0.0,0.00247649688,0,0,2.178584558869808,0.61862023406,13,0,0.0
42,129,11001281,-1.064453125,0.546875,1.0,0.921840555,0.921840555,10,0.0097061109,0.0010752044,0.0,0.00691804582,0.91463138682,0.06766925206,0.0,9,2,0,2,1,2,0,0.91570659122,0.98230063888,0.07458729788,6,6,1.192046765154701,0.91463138682,9,0,0.0
43,132,11001311,0.421875,-1.13671875,1.0,0.9996499839,0.9996499839,10,0.00010864344,0.0,7.2223e-06,0.00039120098,1.072398e-05,0.0,0.9994822093,10,0,1,2,1,0,2,0.99949293328,0.9995001555799999,0.99987341028,7,7,2.00123200753417,0.50998232676,7,0,0.0
