# The Wright-Fisher run m1_N1000: memory one (16 strategies), N = 1000, beta = 100, mu = 1e-2, eps = 1e-4, uniform mutants,
# 10 replicates per game of 1e7 generations, the second half of each sampled; the run the paper draws in Figures 4 and 5 (rows a-c) and SI Figure 2 i-p.
# Source (not deposited): DiskM1WF/Data/mw1_e4.tsv (the Cannon kit mw, sf1.f / prod1); atoms: DiskM1WF/Data/m1_atoms_512.npz (the exact eps -> 0 classification of the 16 strategies at the 512 games).
# Written by provenance/four-runs/reduce_runs.py through the loader of the published figures (wfdata.load).
# 
# Columns (one row per game, ipt order 0..511; the games are data/games/games.csv):
#   ipt          the game's index (gid = 2000 + ipt in the packs)
#   isl          the game's task index in the Cannon array of the run (runs.csv)
#   seed1        the seed of its first replicate; replicate r = 1..10 ran on seed1 + r - 1
#   u, v         the game, (R, S, T, P) = (1, u, 1 + v, 0), as the pack gives it (equal to games.csv bit for bit)
#   emax         Emax = max(R, (S + T)/2), from the pack
#   pay          the mean per-round payoff of the population over the sampled halves of the ten replicates
#   E            the realised efficiency, the pack's mean of pay/Emax over the replicates: the left column of
#                Figure 4 / SI Figure 4 (black where E < 0)
#   nrep         replicates found (10 at every game)
#   S_000..S_111 the share of the population (time x individuals, second half of each replicate, ten replicates
#                pooled) held by the strategies of each atom, efficient-stable-competitive, in the eps -> 0
#                classification; the seven add to 1 (101 is empty): the atom panels of SI Figures 2 and 3
#   N_000..N_111 the number of strategies of the space in each atom at the game (they add to 16)
#   P_eff, P_nash, P_comp   the share of the population with each property, the sum of S over its atoms
#                (efficient 100+110+111, stable 010+110+011+111, competitive 001+011+111): Figure 5 / SI Figure 5
#   abundant     the integer code 4e+2n+c of the most abundant atom (largest S among the atoms with N > 0):
#                the middle column of Figure 4 / SI Figure 4 and panels h, p of SI Figures 2 and 3
#   enriched     the integer code of the most enriched atom (largest S/N among the atoms with N > 0):
#                the right column of Figure 4 / SI Figure 4
#   neff         the effective number of strategies, 1/sum_s pi(s)^2, pi the pooled abundance of each strategy
#   maxpi        the largest pi(s), the share of the most abundant single strategy
#   top          that strategy (memory-one index 0..15: bit j = 1 means C after the outcome j = 0..3 for CC, CD, DC, DD;
#                ALLD 0, Grim 1, TFT 5, WSLS 9, ALLC 15)
#   split        1 where the ten replicates split between two basins (some atom's share has a
#                between-replicate s.d. above 0.05, measured from the per-replicate abundances), else 0
#   split_sd     that largest between-replicate s.d. (0 where split = 0)
ipt,isl,seed1,u,v,emax,pay,E,nrep,S_000,S_100,S_010,S_001,S_110,S_011,S_111,N_000,N_100,N_010,N_001,N_110,N_011,N_111,P_eff,P_nash,P_comp,abundant,enriched,neff,maxpi,top,split,split_sd
0,3,10000021,-0.091796875,0.083984375,1.0,0.9852750903,0.9852750903,10,0.03511387988,0.001534078,0.0,0.00310734006,0.95890783048,0.00133687158,0.0,9,2,0,3,1,1,0,0.96044190848,0.9602447020599999,0.00444421164,6,6,1.086678458764234,0.95890783048,9,0,0.0
1,6,10000051,0.0185546875,-0.21484375,1.0,0.9860204528,0.9860204528,10,0.03624676382,0.0,0.00135017516,0.00349596546,0.95890709556,0.0,0.0,8,0,1,4,3,0,0,0.95890709556,0.96025727072,0.00349596546,6,6,1.0909807249322112,0.95691654532,9,0,0.0
2,9,10000081,0.169921875,0.2216796875,1.0,0.9855974571,0.9855974571,10,0.03765848214,0.00222356704,0.0,0.00546518902,0.9546527618,0.0,0.0,9,2,0,4,1,0,0,0.9568763288400001,0.9546527618,0.00546518902,6,6,1.096344902599165,0.9546527618,9,0,0.0
3,12,10000111,-0.3251953125,-0.0576171875,1.0,0.985097027,0.985097027,10,0.034219642,0.0,0.00139956504,0.00280131988,0.96075209918,0.0008273739,0.0,8,0,1,3,3,1,0,0.96075209918,0.9629790381200001,0.00362869378,6,6,1.0856379744208597,0.95932056658,9,0,0.0
4,15,10000141,0.31640625,-0.201171875,1.0,0.9850455783,0.9850455783,10,0.03951057436,0.0,0.001491299,0.00857728796,0.95042083868,0.0,0.0,8,0,1,4,3,0,0,0.95042083868,0.95191213768,0.00857728796,6,6,1.6669656780546345,0.76211738256,9,0,0.0
5,18,10000171,-0.107421875,0.400390625,1.0,0.9839450411,0.9839450411,10,0.03651666804,0.00153007344,0.0,0.00424334258,0.9557787399,0.00193117604,0.0,9,2,0,3,1,1,0,0.95730881334,0.95770991594,0.00617451862,6,6,1.0938136596867394,0.9557787399,9,0,0.0
6,21,10000201,-0.2080078125,-0.400390625,1.0,0.9849111941,0.9849111941,10,0.03481793226,0.0,0.00131342282,0.00222620848,0.96096422252,0.00067821392,0.0,8,0,1,3,3,1,0,0.96096422252,0.96295585926,0.0029044224000000004,6,6,1.085246043047711,0.95947293324,9,0,0.0
7,24,10000231,0.4560546875,0.166015625,1.0,0.9869786931,0.9869786931,10,0.03857447158,0.00340014024,0.0,0.00570854208,0.9523168461,0.0,0.0,9,2,0,4,1,0,0,0.95571698634,0.9523168461,0.00570854208,6,6,1.1017194270083663,0.9523168461,9,0,0.0
8,27,10000261,-0.4775390625,0.197265625,1.0,0.9836775627,0.9836775627,10,0.03380871758,0.00134525424,0.0,0.00329349104,0.96018588696,0.00136665018,0.0,9,2,0,3,1,1,0,0.9615311411999999,0.96155253714,0.00466014122,6,6,1.0838241548812233,0.96018588696,9,0,0.0
9,30,10000291,0.2314453125,-0.49609375,1.0,0.984293559,0.984293559,10,0.03543837396,0.0,0.00104305474,0.02404544054,0.93947313076,0.0,0.0,8,0,1,4,3,0,0,0.93947313076,0.9405161855,0.02404544054,6,6,2.2378341247739155,0.52485903558,15,0,0.0
