# The memory-one Wright-Fisher run m1_N100 whole: N = 100, beta = 3, mu = 1e-4, eps = 1e-4, 10 replicates of 1e8
# generations per game; per game the number of individual-generations, over the sampled second halves of the ten
# replicates, in which each of the 16 strategies was held (DiskM1WF/Data/mw2_e4.tsv, the Cannon kit mw).
# c_k / ntot is the pooled abundance pi(k); with m1_strategy_atoms.csv it gives the atom and property shares, the
# most abundant and most enriched atom, neff, maxpi and top of m1_N100.csv, bit for bit.
# 
# Columns: ipt (the game), ntot (the total, 10 x N x generations/2), c0..c15 (the count of strategy k; k as in
# m1_strategy_atoms.csv)
ipt,ntot,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
0,50000000000,773437,982030,598564,696044,521405,696727,366197,479940,1213017,49975444015,696719,968605,694260,14871708,366643,630689
1,50000000000,574212,720153,514042,634066,481955,634105,386532,532051,877199,49977740368,633264,1086926,634847,13457711,385382,707187
2,50000000000,917123,1160909,733591,879872,646866,876307,430457,620985,1444101,49967662764,879641,1297462,878115,20300151,431303,840353
3,50000000000,666204,844018,509700,581474,449029,584465,342536,413036,1038504,49979335450,581992,781393,584442,12422463,343117,522177
4,50000000000,581811,727214,564749,744332,555376,744235,506412,762771,892564,49973025478,740295,1613331,740439,16244059,507681,1049253
5,50000000000,2686612,1567215,1164707,820879,620452,841532,364818,475032,2070176,49967247690,817786,986940,854518,18496144,363230,622269
6,50000000000,584904,695531,487433,538914,448288,552809,359844,440259,4997871248,44983064440,589717,822990,2154971,10441908,390407,556337
7,50000000000,977982,1098325,5205532,1464837,768622,1437340,631508,1161183,3001876,49944400430,1180401,2401392,1573915,31080115,657899,2958643
8,50000000000,907829,1149956,566940,609415,465008,612589,333480,385180,1429469,49977756543,607280,699687,607557,13061660,334330,473077
9,50000000000,584673,824177,589761,1147141,1042767,7715326,1015323,20033826361,703772,9996694604,687358,2144628,1309162,13009957,1273004,19937431986
10,50000000000,21758947,6318550,20456504,5240914,1563399,6524840,448206,3199876,5838423,49839370529,2934426,4110928,8702336,69795979,814659,2921484
11,50000000000,1040741,749440,459626,497456,410616,1051428,334835,378019,2993474768,46987299088,513222,1510092,1333007,10146400,344395,456867
12,50000000000,614575,769386,658142,933511,689923,952106,901099,26144367,940920,49907996309,935370,3066765,936296,23034600,912154,30514477
13,50000000000,109959786,40572307,12400988,1923872,7464628,9541676,403710,6182714,20450952,49750796846,3180340,3180706,5774406,25036937,1343715,1786417
14,50000000000,471819,639519,466793,843684,752715,6214561,742180,17633496938,550471,14995253317,517022,1449776,902072,10763495,859898,17346075740
15,50000000000,210735007,123893042,2371073785,80211177,36963257,53047968,2219316,53458292,68231550,37100087972,274151147,94879214,112215990,9351512259,10254738,57065286
16,50000000000,736212,933072,481975,516643,410339,518090,326942,358146,1144036,49980992489,515001,599309,516282,11207141,325242,419081
17,50000000000,582284,834851,584187,1211249,1104198,10128147,1093039,24604945673,657270,1213072,659259,2122601,1364484,15046963,1368108,25357084615
18,50000000000,1427786486,324808411,236945494,75159849,101351018,219813024,1249497,35775037,186899009,46583451385,24951925,117015313,183217290,412535315,15556421,53484526
19,50000000000,455668,562620,410664,518142,437586,1204127,398380,2530478346,647283,44985462202,467766,806673,532481,9833491,422954,2467361617
20,50000000000,69524943,49037749,2927509791,391097628,2007650,2474157,2077941,175848961,12274758,40253244179,3362023923,502801594,5893387,1722109554,3626040,518447745
21,50000000000,172804542,173689325,9765373,2573686,16764367,16855177,498681,4728264,26729102,49541148702,2628266,4854692,6168108,16459900,1591158,2740657
22,50000000000,419853,564313,422177,783899,709578,7946492,712951,23025515387,448381,4998711905,440901,1303113,812828,11196922,802075,21949209225
23,50000000000,247351987,155190594,6584259029,64322864,29147755,37158615,6096484,10221747,33341133,7709390190,203567073,38209542,65538595,34792232235,11040682,12931475
24,50000000000,553784,693009,416325,456330,376065,457204,324240,350647,843684,49983546281,456062,558789,454474,9788314,324795,399997
25,50000000000,751151,1084913,749979,1576005,1441206,11815123,1410818,24403832948,916133,1731542,917088,3058866,1902712,21412854,1887956,25545510706
26,50000000000,7589408973,3532143625,677309689,100224857,503471998,893906182,4565554,115830824,732269375,34414365678,71782614,92927987,527560238,597721366,73397044,73113996
27,50000000000,405916,522934,398138,673132,608449,5653240,595740,17389010222,455773,14995660094,424225,1097219,682767,9628651,655931,17593527569
28,50000000000,17964939,11018701,5425602969,37670770,31195453,23151727,7533840,7550626,16841029,906247946,2315006525,256548932,76697944,40763527347,30117902,73323350
29,50000000000,2136452,4633853,511231,517594,691257,593688,322914,737656,2183620,49974393526,518202,585845,517463,10945600,321546,389553
30,50000000000,417243,565644,418953,803629,736340,9461444,735103,25090913258,427244,722512,426535,1282152,825957,12961036,826625,24878476325
31,50000000000,4376210209,1298751224,2738404790,619713420,507278486,877346055,6530397,132296920,632559853,19417989170,379331194,443059745,989889949,17278014108,72952688,229671792
32,50000000000,461062,586313,415014,587681,518066,2254385,492238,6266798149,623705,37089432032,458338,889992,610961,9080819,544856,6626246389
33,50000000000,1927113,2435839,2099418,4057911,4117246,14491122,3617902,21387493098,3333288,637816235,3666141,981598516,7238270,5144065170,6477790,21795564941
34,50000000000,8973374305,8373828530,586992220,96937237,767257770,960998005,8303047,132829159,835724769,28224653194,92046461,163270830,325183527,269402893,88453798,100744255
35,50000000000,371389,467381,371406,647569,595451,8084517,591611,25414661611,368254,561045,367178,983188,637085,9986983,640037,24560665295
36,50000000000,6776829,4501431,77455212,3294919,128709509,40059139,10512291,3065042,2606677,121620087,8330243,5764198,455047696,49112314936,16598618,3343173
37,50000000000,642345,811307,421673,444095,370762,445867,321286,338305,1002608,49983536268,444852,493236,444227,9591060,321415,370694
38,50000000000,476690,663089,476490,954065,873027,10850861,870216,25371965115,507660,896191,508077,1619408,1018867,17084442,1026334,24590209468
39,50000000000,18712312801,5186791723,1971269439,689738669,2014992530,3309329771,8967196,280201611,1182809848,8240302390,237983577,609441333,3184141985,3867841448,169759166,334116513
40,50000000000,386722,482132,379957,588759,528787,4668113,518914,15262907771,444211,19994531599,397474,913883,589855,8838621,560269,14723262933
41,50000000000,40474024,11113324,740690493,544041653,50754734,21482762,8602815,56873983,122065492,74119765,3865181999,13226891399,149874066,30931011703,13486438,143335350
42,50000000000,1725340351,1658122252,46288552,61994062,166383840,179518451,1650021,36731785,242459106,45731569341,16896165,42002735,33188625,31461349,9364930,17028435
43,50000000000,363270,450613,363670,619572,566346,8585287,568345,25499116338,361115,536199,361463,926524,605704,10974762,606665,24474994127
44,50000000000,560867861,444495852,41449695460,36877222,45480317,63761946,1727942,1759422,85168683,2013349608,135726521,9963449,120185286,5014669809,10097466,6173156
45,50000000000,523128,618528,392202,402963,359401,406442,322906,336695,4998927145,44986783911,415922,472346,1361417,7982657,328544,365793
46,50000000000,753720,1080716,759318,1820974,1467175,13672922,1688166,25233125046,937252,22432303,944083,30808316,1968558,313839489,3574572,24371127390
47,50000000000,18039557036,16923260347,1497893100,210808373,1643581738,2718282256,16665746,201367635,985353057,4804929443,200301912,221972105,1282383279,869177511,229248683,155217779
48,50000000000,353488,422776,353381,572209,524087,7528050,522304,25504806824,348247,491550,348376,835250,550974,8924109,552238,24472866137
49,50000000000,1548483,1297871,137450268,1592880,464821752,62265166,11274373,2046408,1367417,3124145,63412423,3400280,2232012071,46994050128,17802141,2534194
50,50000000000,29444881,33940331,1178739,511452,1038639,2382935,337726,750861,3861864,49912489387,572817,1525088,540854,9931373,408671,1084382
51,50000000000,380614,490772,380931,683038,621237,9819797,624289,25218354289,380015,597134,378335,1048578,682445,13787985,678611,24751091930
