# The Wright-Fisher run m2_N100: memory two (65536 strategies), N = 100, beta = 3, mu = 1e-4, eps = 1e-4, uniform mutants,
# 10 replicates per game of 1e8 generations, the second half of each sampled; the run the paper draws in SI Figures 4 and 5 (rows d-f) and SI Figure 3 a-h.
# Source (not deposited): DiskM2WF/Data/dw2_e4{.idx,.bin,.win} (the Cannon kit dw2, job 45049704); atoms: the exact eps -> 0 classification (DiskM2WF/Opt/exact.py: BinM2NE1's census for stability, the ca17 rival mask, self-play efficiency).
# Written by provenance/four-runs/reduce_runs.py through the loader of the published figures (wfdata.load).
# 
# Columns (one row per game, ipt order 0..511; the games are data/games/games.csv):
#   ipt          the game's index (gid = 2000 + ipt in the packs)
#   isl          the game's task index in the Cannon array of the run (runs.csv)
#   seed1        the seed of its first replicate; replicate r = 1..10 ran on seed1 + r - 1
#   u, v         the game, (R, S, T, P) = (1, u, 1 + v, 0), as the pack gives it (equal to games.csv bit for bit)
#   emax         Emax = max(R, (S + T)/2), from the pack
#   pay          the mean per-round payoff of the population over the sampled halves of the ten replicates
#   E            the realised efficiency, the pack's mean of pay/Emax over the replicates: the left column of
#                Figure 4 / SI Figure 4 (black where E < 0)
#   efsd         the s.d. of pay/Emax over the ten replicates
#   nrep         replicates found (10 at every game)
#   S_000..S_111 the share of the population (time x individuals, second half of each replicate, ten replicates
#                pooled) held by the strategies of each atom, efficient-stable-competitive, in the eps -> 0
#                classification; the seven add to 1 (101 is empty): the atom panels of SI Figures 2 and 3
#   N_000..N_111 the number of strategies of the space in each atom at the game (they add to 65536)
#   P_eff, P_nash, P_comp   the share of the population with each property, the sum of S over its atoms
#                (efficient 100+110+111, stable 010+110+011+111, competitive 001+011+111): Figure 5 / SI Figure 5
#   abundant     the integer code 4e+2n+c of the most abundant atom (largest S among the atoms with N > 0):
#                the middle column of Figure 4 / SI Figure 4 and panels h, p of SI Figures 2 and 3
#   enriched     the integer code of the most enriched atom (largest S/N among the atoms with N > 0):
#                the right column of Figure 4 / SI Figure 4
#   neff         the effective number of strategies, 1/sum_s pi(s)^2, pi the pooled abundance of each strategy
#   maxpi        the largest pi(s), the share of the most abundant single strategy
#   top          that strategy (memory-two genome code 0..65535, as in the census; ALLD 0, ALLC 65535)
ipt,isl,seed1,u,v,emax,pay,E,efsd,nrep,S_000,S_100,S_010,S_001,S_110,S_011,S_111,N_000,N_100,N_010,N_001,N_110,N_011,N_111,P_eff,P_nash,P_comp,abundant,enriched,neff,maxpi,top
0,1368,9013671,-0.091796875,0.083984375,1.0,0.96445147676,0.96445147676,0.01403536,10,0.04229576093847647,0.03331367640837342,0.04046510156231381,0.002124835984511824,0.8765176862738628,0.0007084846894059215,0.0045744541430555695,55040,4899,225,2547,2732,85,8,0.9144058168252919,0.9222657266686382,0.007407774816973314,6,7,539.0756790659399,0.008626203033348342,24345
1,1371,9013701,0.0185546875,-0.21484375,1.0,0.99784041148,0.99784041148,0.001759918,10,0.0025444537755949827,0.0,0.001168980311790935,1.7413099961556794e-05,0.9956993652922679,5.440000001837727e-09,0.0005697820803844856,54396,0,869,2630,7631,2,8,0.9962691473726524,0.9974381331244433,0.0005872006203460442,6,6,803.6768417767187,0.007087040687121382,37865
2,1374,9013731,0.169921875,0.2216796875,1.0,0.96788990028,0.96788990028,0.009993647,10,0.052462058385585285,0.02130337220807942,0.029457870303037537,0.002492272668395663,0.8893844331011187,0.001995436078981938,0.0029045572548014654,55057,4899,208,2612,2732,20,8,0.9135923625639996,0.9237422967379395,0.007392266002179066,6,7,605.5794636239095,0.009684962219419491,15065
3,1377,9013761,-0.3251953125,-0.0576171875,1.0,0.9556131791,0.9556131791,0.01519246,10,0.04008364215350139,0.0,0.060932879712614046,0.00197272515679622,0.8958857474589934,0.0006174362245416899,0.0005075692935532532,54263,0,1002,2532,7631,100,8,0.8963933167525466,0.9579436326897024,0.003097730674891163,6,6,708.8584389928862,0.007436771876326395,37164
4,1380,9013791,0.31640625,-0.201171875,1.0,0.99924175217,0.99924175217,5.937229e-05,10,0.0008246907921315635,0.0,2.8165599877955546e-06,1.80603199668368e-05,0.9989430531207788,1.67799998254762e-08,0.00021136242713524776,54721,0,544,2628,7631,4,8,0.9991544155479141,0.9991572488879017,0.00022943952710191004,6,6,793.3458547268995,0.008490150790038068,36809
5,1383,9013821,-0.107421875,0.400390625,1.0,0.95866221775,0.95866221775,0.008454482,10,0.06857588917281103,0.012117201899845284,0.019449816828753817,0.005307812583637845,0.8907422485056524,0.0016108523454627175,0.0021961786638369837,55135,4907,130,2543,2724,89,8,0.9050556290693348,0.913999096343706,0.009114843592937547,6,6,500.4197414225066,0.00955908929888536,37197
6,1386,9013851,-0.2080078125,-0.400390625,1.0,0.99914221182,0.99914221182,4.007843e-05,10,0.0004117405997921315,0.0,1.074961997645327e-05,1.4215859981811996e-05,0.9994308744392718,2.2087999981783744e-07,0.0001321986009781537,52456,0,2809,2559,7631,73,8,0.9995630730402499,0.9995740435402263,0.00014663534095978354,6,6,763.5327821280174,0.00681284861552305,13561
7,1389,9013881,0.4560546875,0.166015625,1.0,0.97240213455,0.97240213455,0.00717608,10,0.059585409955491504,0.03183937794288232,0.04421742090270723,0.0020247955190508633,0.8555311374478218,0.0038661926071908506,0.002935665624855401,55013,4899,252,2612,2732,20,8,0.8903061810155595,0.9065504165825753,0.008826653751097115,6,7,589.3557256730124,0.010951919481762268,8436
8,1392,9013911,-0.4775390625,0.197265625,1.0,0.947223264,0.947223264,0.01616515,10,0.047265931940152106,0.015723620160477483,0.06352598717674471,0.004919664464813458,0.8656803224178409,0.0014355972018010978,0.0014488766381702553,55046,4899,219,2488,2732,144,8,0.8828528192164886,0.932090783434557,0.0078041383047848115,6,6,471.268650841385,0.01850588434058052,37128
9,1395,9013941,0.2314453125,-0.49609375,1.0,0.99927389113,0.99927389113,2.855787e-05,10,0.000458364280409637,0.0,7.494559988807649e-06,1.5191200006657828e-05,0.9989024307179679,0.0,0.0006165192416268611,53232,0,2033,2632,7631,0,8,0.9995189499595948,0.9995264445195836,0.000631710441633519,6,6,864.4406836769243,0.005591887521151589,6121
10,1398,9013971,0.171875,0.5498046875,1.0,0.94565051513,0.94565051513,0.008747159,10,0.12201201067398655,0.05893787487719877,0.07999721541479668,0.009608940263821584,0.7187275836899959,0.005788227794128107,0.00492814728607239,55095,6392,170,2612,1239,20,8,0.7825936058532671,0.8094411741849931,0.02032531534402208,6,7,497.0710420791194,0.010563328878782918,8356
11,1401,9014001,-0.521484375,-0.302734375,1.0,0.9942281973,0.9942281973,0.004460651,10,0.0018142901928447255,0.0,0.011489317925957348,8.377858138702558e-05,0.9858234619352486,2.092704053743509e-05,0.000768224324024938,53515,0,1750,2390,7631,242,8,0.9865916862592735,0.9981019312257683,0.0008729299459493987,6,6,803.759861195178,0.005762876948156695,36233
12,1404,9014031,0.615234375,-0.134765625,1.0,0.99931381598,0.99931381598,5.124251e-05,10,0.0011869492370738903,0.0,9.21219999754067e-07,1.930697995589269e-05,0.9987926683629696,1.8999999793963833e-08,1.3520000096001949e-07,55115,0,150,2628,7631,4,8,0.9987928035629706,0.9987937437829701,1.9461179956646673e-05,6,6,751.3954267762915,0.008376038632517074,6553
13,1407,9014061,-0.376953125,0.5361328125,1.0,0.95119662969,0.95119662969,0.005312971,10,0.07214813401724447,0.02695496987101651,0.009719798553136247,0.010540600659009091,0.8705031003970771,0.0033925122945337627,0.0067408842079827985,55201,5849,64,2498,1782,134,8,0.9041989544760765,0.8903562954527299,0.020673997161525653,6,7,491.9525993210152,0.00938936509254187,33113
14,1410,9014091,-0.0869140625,-0.673828125,1.0,0.99917263007,0.99917263007,2.559341e-05,10,0.00037226086008079577,0.0,1.7173480005745356e-05,1.2793019981325177e-05,0.9995973894599326,1.6407999822037554e-07,2.1910000135509154e-07,49538,0,5727,2559,7631,73,8,0.999597608559934,0.999614946119938,1.3176199980900645e-05,6,6,877.1961278924573,0.004907303026369409,33145
15,1413,9014121,0.5380859375,0.453125,1.0,0.97327964756,0.97327964756,0.005829616,10,0.3388137734504659,0.02828251887566957,0.2680799383321497,0.025873435780840535,0.32302048658070764,0.014777626159228265,0.001152220820938536,55019,5748,246,2612,1883,20,8,0.35245522627731574,0.6070302718930242,0.04180328276100734,0,2,241.30116814903312,0.031572338244905074,8364
16,1416,9014151,-0.7255859375,0.0302734375,1.0,0.93338735407,0.93338735407,0.02001914,10,0.05158812808452967,0.037450271741794425,0.09314583140359009,0.003976610152902819,0.806786858152978,0.002417288758498521,0.004635011705706384,54868,4899,397,2352,2732,280,8,0.8488721416004787,0.906984990020773,0.011028910617107724,6,7,614.5269550632657,0.007871274836970076,37386
