# The Wright-Fisher run m2_N1000: memory two (65536 strategies), N = 1000, beta = 100, mu = 1e-2, eps = 1e-4, uniform mutants,
# 10 replicates per game of 1e7 generations, the second half of each sampled; the run the paper draws in Figures 4 and 5 (rows d-f) and SI Figure 3 i-p.
# Source (not deposited): DiskM2WF/Data/dw1_e4{.idx,.bin,.win} (the Cannon kit dw1, job 44394541); atoms: the exact eps -> 0 classification (DiskM2WF/Opt/exact.py: BinM2NE1's census for stability, the ca17 rival mask, self-play efficiency).
# Written by provenance/four-runs/reduce_runs.py through the loader of the published figures (wfdata.load).
# 
# Columns (one row per game, ipt order 0..511; the games are data/games/games.csv):
#   ipt          the game's index (gid = 2000 + ipt in the packs)
#   isl          the game's task index in the Cannon array of the run (runs.csv)
#   seed1        the seed of its first replicate; replicate r = 1..10 ran on seed1 + r - 1
#   u, v         the game, (R, S, T, P) = (1, u, 1 + v, 0), as the pack gives it (equal to games.csv bit for bit)
#   emax         Emax = max(R, (S + T)/2), from the pack
#   pay          the mean per-round payoff of the population over the sampled halves of the ten replicates
#   E            the realised efficiency, the pack's mean of pay/Emax over the replicates: the left column of
#                Figure 4 / SI Figure 4 (black where E < 0)
#   efsd         the s.d. of pay/Emax over the ten replicates
#   nrep         replicates found (10 at every game)
#   S_000..S_111 the share of the population (time x individuals, second half of each replicate, ten replicates
#                pooled) held by the strategies of each atom, efficient-stable-competitive, in the eps -> 0
#                classification; the seven add to 1 (101 is empty): the atom panels of SI Figures 2 and 3
#   N_000..N_111 the number of strategies of the space in each atom at the game (they add to 65536)
#   P_eff, P_nash, P_comp   the share of the population with each property, the sum of S over its atoms
#                (efficient 100+110+111, stable 010+110+011+111, competitive 001+011+111): Figure 5 / SI Figure 5
#   abundant     the integer code 4e+2n+c of the most abundant atom (largest S among the atoms with N > 0):
#                the middle column of Figure 4 / SI Figure 4 and panels h, p of SI Figures 2 and 3
#   enriched     the integer code of the most enriched atom (largest S/N among the atoms with N > 0):
#                the right column of Figure 4 / SI Figure 4
#   neff         the effective number of strategies, 1/sum_s pi(s)^2, pi the pooled abundance of each strategy
#   maxpi        the largest pi(s), the share of the most abundant single strategy
#   top          that strategy (memory-two genome code 0..65535, as in the census; ALLD 0, ALLC 65535)
ipt,isl,seed1,u,v,emax,pay,E,efsd,nrep,S_000,S_100,S_010,S_001,S_110,S_011,S_111,N_000,N_100,N_010,N_001,N_110,N_011,N_111,P_eff,P_nash,P_comp,abundant,enriched,neff,maxpi,top
0,1368,8013671,-0.091796875,0.083984375,1.0,0.98406685464,0.98406685464,0.001082184,10,0.03775202510859859,0.016359724718907138,7.469724001764452e-05,0.0016216934181588743,0.9441225172343763,2.7814999958107828e-05,4.1527279983345845e-05,55040,4899,225,2547,2732,85,8,0.9605237692332668,0.9442665567543354,0.001691035698100328,6,6,102.70647795153468,0.03856259208654578,32971
1,1371,8013701,0.0185546875,-0.21484375,1.0,0.98211463719,0.98211463719,0.0001531707,10,0.05622734851625126,0.0,0.0002871658000733501,0.001985902722499429,0.941457913080941,6.084999886247814e-07,4.1061380246328035e-05,54396,0,869,2630,7631,2,8,0.9414989744611872,0.9417867487612492,0.002027572602734382,6,6,371.6882152866539,0.010227947503437432,15327
2,1374,8013731,0.169921875,0.2216796875,1.0,0.98489378433,0.98489378433,0.0006616563,10,0.041035735513851604,0.015782995531751578,7.659042017241514e-05,0.0017331309219000405,0.9413347027524784,6.988700024286984e-06,2.9856159821590847e-05,55057,4899,208,2612,2732,20,8,0.9571475544440515,0.9414481380324966,0.0017699757817459182,6,6,138.13286622147456,0.0322771407757995,51407
3,1377,8013761,-0.3251953125,-0.0576171875,1.0,0.97986735347,0.97986735347,0.0002315237,10,0.05550959930607533,0.0,0.000348012000676589,0.00197871064428636,0.9420848529489175,2.3652120011316883e-05,5.5172980032816205e-05,54263,0,1002,2532,7631,100,8,0.9421400259289503,0.9425116900496382,0.0020575357443304927,6,6,219.95210806144428,0.02064011807656122,51151
4,1380,8013791,0.31640625,-0.201171875,1.0,0.98407973614,0.98407973614,8.56582e-05,10,0.05864620818591023,0.0,0.00019857507994446992,0.0020885053640009705,0.9390288406105725,1.4338600067965404e-06,3.643689956509249e-05,54721,0,544,2628,7631,4,8,0.9390652775101376,0.9392652864500889,0.0021263761235728595,6,6,506.8505417965198,0.01143799163456099,36831
5,1383,8013821,-0.107421875,0.400390625,1.0,0.98625772815,0.98625772815,0.000382321,10,0.029938380026107565,0.011490764599776548,4.537256019531421e-05,0.0014623581843246905,0.9569878822487408,3.476670013096131e-05,4.047568072432339e-05,55135,4907,130,2543,2724,89,8,0.9685191225292417,0.9571084971897913,0.0015376005651799752,6,6,58.276906452358844,0.052716162172458336,37067
6,1386,8013851,-0.2080078125,-0.400390625,1.0,0.98193072983,0.98193072983,9.318732e-05,10,0.0511818520474903,0.0,0.0008106230415619684,0.0018217155827335825,0.9461305870081049,1.2657100086045332e-05,4.25652200232046e-05,52456,0,2809,2559,7631,73,8,0.9461731522281281,0.9469964323697762,0.0018769379028428324,6,6,246.6801902163261,0.01724231246978255,51167
7,1389,8013881,0.4560546875,0.166015625,1.0,0.98533861848,0.98533861848,0.0002497142,10,0.04675007060908919,0.017172060437295748,0.0001765686786418357,0.0019171990621737471,0.9339515036127748,7.847360055681072e-06,2.4750239969078234e-05,55013,4899,252,2612,2732,20,8,0.9511483142900397,0.9341606698914413,0.0019497966621985065,6,6,139.78780749642132,0.028782317426776186,59599
8,1392,8013911,-0.4775390625,0.197265625,1.0,0.98432357842,0.98432357842,0.000450721,10,0.028618223163925156,0.01168016359844591,6.505604037446341e-05,0.0012543627260112838,0.9582851863511674,4.392872025602393e-05,5.30793998198761e-05,55046,4899,219,2488,2732,144,8,0.9700184293494333,0.9584472505116178,0.001351370846087184,6,6,54.695609542603414,0.07158997691386719,35023
9,1395,8013941,0.2314453125,-0.49609375,1.0,0.98396472059,0.98396472059,3.997811e-05,10,0.05254539639581215,0.0,0.0006095801198340896,0.0018483746996508705,0.9449621763443798,0.0,3.4472440323003785e-05,53232,0,2033,2632,7631,0,8,0.9449966487847028,0.9456062289045369,0.0018828471399738743,6,6,503.2256673549461,0.011116745873804654,61407
