# Memory one: the strict Nash equilibria among the 16 binary memory-one strategies at eps = 1e-4, at each of the
# 512 games (data/games), and the share of the population on them (SI Figures 6a-c and 7a-c). One row per game,
# in ipt order. Strategy s = 0..15: bit j of s is 1 if s cooperates after outcome j = 0 CC, 1 CD, 2 DC, 3 DD
# (own action first); ALLD 0, Grim 1, TFT 5, WSLS 9, ALLC 15. A mask is sum over the strategies s in the set of 2^s.
# F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Made by provenance/strict/reduce_strict.py from FinalFigures/strictne.py (exact rational arithmetic).
# Columns:
#   ipt, u, v          the game, (R, S, T, P) = (1, u, 1 + v, 0), as in data/games/games.csv
#   n_strict           number of strict Nash equilibria among the 16 at eps = 1/10000 (SI Figure 6a)
#   n_weak             number of weak (non-strict inequality) equilibria; equal to n_strict at every game
#   strict_mask        the strict equilibria, as a mask
#   n_eff_strict       number of them that are efficient in the limit eps -> 0 (SI Figure 7a)
#   eff_strict_mask    those, as a mask
#   eff_mask           the strategies efficient in the limit at this game (CCCC, CDDC, CCCD below the switch line)
#   nash_limit_mask    the strategies stable in the limit eps -> 0, ties admitted (DiskM1WF's exact classification)
#   ntot_F2, ntot_F1   the number of sampled individual-generations of the run (the denominator of a share)
#   share_F2, share_F1         the share of the population on the strict equilibria (SI Figure 6b, 6c)
#   share_eff_F2, share_eff_F1 the same for the efficient strict equilibria (SI Figure 7b, 7c)
# Each share equals sum of c_F2 (c_F1) over the game's rows of m1_sets.csv, divided by ntot_F2 (ntot_F1), exactly.
ipt,u,v,n_strict,n_weak,strict_mask,n_eff_strict,eff_strict_mask,eff_mask,nash_limit_mask,ntot_F2,ntot_F1,share_F2,share_F1,share_eff_F2,share_eff_F1
0,-0.091796875,0.083984375,2,2,513,1,512,33408,513,50000000000,50000000000,0.99952434904,0.96024470206,0.9995088803,0.95890783048
1,0.0185546875,-0.21484375,3,3,33536,2,33280,33408,33664,50000000000,50000000000,0.99958649508,0.9594542467,0.9995689511,0.95810407154
2,0.169921875,0.2216796875,1,1,512,1,512,33408,512,50000000000,50000000000,0.99935325528,0.9546527618,0.99935325528,0.9546527618
3,-0.3251953125,-0.0576171875,4,4,33537,2,33280,33408,33665,50000000000,50000000000,0.9996312467,0.96232155954,0.99959715254,0.9600946206
4,0.31640625,-0.201171875,3,3,33536,2,33280,33408,33664,50000000000,50000000000,0.9994993459,0.87177655504,0.99948149462,0.87028525604
5,-0.107421875,0.400390625,2,2,513,1,512,33408,513,50000000000,50000000000,0.99939868604,0.95770991594,0.9993449538,0.9557787399
6,-0.2080078125,-0.400390625,4,4,33537,2,33280,33408,33665,50000000000,50000000000,0.99964153858,0.96229094778,0.89967241554,0.96029931104
7,0.4560546875,0.166015625,1,1,512,1,512,33408,512,50000000000,50000000000,0.9988880086,0.9523168461,0.9988880086,0.9523168461
8,-0.4775390625,0.197265625,2,2,513,1,512,33408,513,50000000000,50000000000,0.99957328744,0.96155253714,0.99955513086,0.96018588696
9,0.2314453125,-0.49609375,3,3,33536,2,33280,33408,33664,50000000000,50000000000,0.59869660724,0.52776987774,0.5986825318,0.526726823
10,0.171875,0.5498046875,1,1,512,1,512,33408,512,50000000000,50000000000,0.99678741058,0.9499446649,0.99678741058,0.9499446649
11,-0.521484375,-0.302734375,5,5,33539,2,33280,33408,33667,50000000000,50000000000,0.99966041808,0.9642840245,0.9397551191,0.96131045186
12,0.615234375,-0.134765625,2,2,33280,2,33280,33408,33408,50000000000,50000000000,0.99877021572,0.7045356241,0.99877021572,0.7045356241
13,-0.376953125,0.5361328125,2,2,513,1,512,33408,513,50000000000,50000000000,0.99721513264,0.95821114734,0.99501593692,0.95611529594
14,-0.0869140625,-0.673828125,5,5,49921,2,33280,33408,50049,50000000000,50000000000,0.6468642249,0.51514871956,0.64682658114,0.51228222656
15,0.5380859375,0.453125,1,1,512,1,512,33408,512,50000000000,50000000000,0.74200175944,0.44204427274,0.74200175944,0.44204427274
16,-0.7255859375,0.0302734375,3,3,515,1,512,33408,515,50000000000,50000000000,0.99965323546,0.96360364526,0.99961984978,0.96100332638
17,0.5302734375,-0.5283203125,2,2,33280,2,33280,33408,33408,50000000000,50000000000,0.50716595374,0.52668545782,0.50716595374,0.52668545782
18,-0.03515625,0.76953125,2,2,513,1,512,33408,513,50000000000,50000000000,0.96022475742,0.953158453,0.9316690277,0.95098855866
19,-0.5078125,-0.6083984375,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.94909824688,0.8951627333,0.94905647638,0.89198171912
20,0.8056640625,0.1083984375,1,1,512,1,512,33408,512,50000000000,50000000000,0.80506488358,0.84506669908,0.80506488358,0.84506669908
21,-0.68359375,0.4755859375,3,3,515,1,512,33408,515,50000000000,50000000000,0.99775285138,0.96342974034,0.99082297404,0.95936193418
22,0.1875,-0.83203125,3,3,33536,2,33280,33408,33664,50000000000,50000000000,0.53896739022,0.52161097076,0.5389584226,0.52097823692
23,0.43359375,0.7568359375,1,1,512,0,0,0,512,50000000000,50000000000,0.1541878038,0.00271891752,0.0,0.0
24,-0.849609375,-0.271484375,5,5,33539,2,33280,33408,33667,50000000000,50000000000,0.9997207351,0.78297856644,0.99967892556,0.77834022026
25,0.8271484375,-0.3818359375,2,2,33280,2,33280,33408,33408,50000000000,50000000000,0.51094484496,0.55058874432,0.51094484496,0.55058874432
26,-0.359375,0.857421875,2,2,513,1,512,33408,513,50000000000,50000000000,0.84007549302,0.95706415756,0.68828731356,0.95481834994
27,-0.3212890625,-0.8916015625,5,5,49921,2,33280,33408,50049,50000000000,50000000000,0.65181410566,0.52036345368,0.65178375326,0.51784511448
28,0.85546875,0.44921875,1,1,512,0,0,0,512,50000000000,50000000000,0.01812495892,0.00374028536,0.0,0.0
29,-0.951171875,0.2509765625,3,3,515,1,512,33408,515,50000000000,50000000000,0.99962327662,0.96432235332,0.99948787052,0.96099541732
30,0.5419921875,-0.8427734375,2,2,33280,2,33280,33408,33408,50000000000,50000000000,0.49758397674,0.52201374936,0.49758397674,0.52201374936
31,0.1728515625,1.00390625,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
32,-0.8193359375,-0.6337890625,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.87435788714,0.96681707318,0.87431356842,0.96395643654
33,1.048828125,-0.0869140625,1,1,32768,1,32768,33408,32896,50000000000,50000000000,0.43591129882,0.87054032678,0.43591129882,0.87054032678
34,-0.7265625,0.78515625,3,3,515,1,512,33408,515,50000000000,50000000000,0.91143712058,0.96160394902,0.56449306388,0.95720562362
35,0.0048828125,-1.0859375,3,3,33536,2,33280,33408,33664,50000000000,50000000000,0.49123189188,0.52235420378,0.4912245268,0.52172706568
36,0.740234375,0.81640625,1,1,512,0,0,0,512,50000000000,50000000000,0.00243240174,0.00592129868,0.0,0.0
37,-1.11328125,-0.103515625,5,5,33539,2,33280,33408,33667,50000000000,50000000000,0.99972726444,0.4931196464,0.99967813924,0.4883541441
38,0.9033203125,-0.685546875,2,2,33280,2,33280,33408,33408,50000000000,50000000000,0.49182211318,0.57165164628,0.49182211318,0.57165164628
39,-0.2060546875,1.1318359375,1,1,1,0,0,33408,1,50000000000,50000000000,0.37424625602,0.26989045946,0.0,0.0
40,-0.62109375,-0.9873046875,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.69439335732,0.72055961098,0.69435589064,0.71764407522
41,1.1396484375,0.3125,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
42,-1.064453125,0.546875,3,3,515,1,512,33408,515,50000000000,50000000000,0.98230063888,0.96409408354,0.91463138682,0.9598198001
43,0.421875,-1.13671875,3,3,33536,2,33280,33408,33664,50000000000,50000000000,0.48951782882,0.51995927838,0.48951060652,0.51933234768
44,0.462890625,1.13671875,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
45,-1.123046875,-0.5322265625,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.99975094098,0.32275679374,0.89974299408,0.31858833452
46,1.201171875,-0.3701171875,1,1,32768,1,32768,33408,32896,50000000000,50000000000,0.4874225478,0.8837406669,0.4874225478,0.8837406669
47,-0.6435546875,1.09765625,2,2,3,0,0,33408,3,50000000000,50000000000,0.69925634766,0.25505163866,0.0,0.0
