# Memory one: one row per (game, strategy) at which the strategy is a strict Nash equilibrium among the 16 at eps = 1e-4.
# Rows ordered by ipt, then s. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Columns:
#   ipt          the game (data/games/games.csv)
#   s            the strategy 0..15 (bit j = 1: cooperate after outcome j = CC, CD, DC, DD)
#   strategy     its answers after CC, CD, DC, DD (ALLD DDDD, Grim CDDD, WSLS CDDC, ALLC CCCC)
#   efficient    1 if it is efficient in the limit eps -> 0 at this game
#   c_F2, c_F1   the number of sampled individual-generations on s in the run (share = c / ntot of m1_games.csv)
ipt,s,strategy,efficient,c_F2,c_F1
0,0,DDDD,0,773437,66843579
0,9,CDDC,1,49975444015,47945391524
1,8,DDDC,0,877199,67508758
1,9,CDDC,1,49977740368,47845827266
1,15,CCCC,1,707187,59376311
2,9,CDDC,1,49967662764,47732638090
3,0,DDDD,0,666204,41368695
3,8,DDDC,0,1038504,69978252
3,9,CDDC,1,49979335450,47966028329
3,15,CCCC,1,522177,38702701
4,8,DDDC,0,892564,74564950
4,9,CDDC,1,49973025478,38105869128
4,15,CCCC,1,1049253,5408393674
5,0,DDDD,0,2686612,96558802
5,9,CDDC,1,49967247690,47788936995
6,0,DDDD,0,584904,33910696
6,8,DDDC,0,4997871248,65671141
6,9,CDDC,1,44983064440,47973646662
6,15,CCCC,1,556337,41318890
7,9,CDDC,1,49944400430,47615842305
8,0,DDDD,0,907829,68332509
8,9,CDDC,1,49977756543,48009294348
9,8,DDDC,0,703772,52152737
9,9,CDDC,1,9996694604,93389371
9,15,CCCC,1,19937431986,26242951779
10,9,CDDC,1,49839370529,47497233245
11,0,DDDD,0,1040741,39175439
11,1,CDDD,0,749440,42228432
11,8,DDDC,0,2993474768,67274761
11,9,CDDC,1,46987299088,48031808822
11,15,CCCC,1,456867,33713771
12,9,CDDC,1,49907996309,19026539208
12,15,CCCC,1,30514477,16200241997
13,0,DDDD,0,109959786,104792570
13,9,CDDC,1,49750796846,47805764797
14,0,DDDD,0,471819,33384722
14,8,DDDC,0,550471,35302045
14,9,CDDC,1,14995253317,69875251
14,14,DCCC,0,859898,74637883
14,15,CCCC,1,17346075740,25544236077
15,9,CDDC,1,37100087972,22102213637
16,0,DDDD,0,736212,61171863
16,1,CDDD,0,933072,68844081
16,9,CDDC,1,49980992489,48050166319
17,9,CDDC,1,1213072,87992644
17,15,CCCC,1,25357084615,26246280247
18,0,DDDD,0,1427786486,108494717
18,9,CDDC,1,46583451385,47549427933
19,0,DDDD,0,455668,32987153
19,1,CDDD,0,562620,42994988
19,8,DDDC,0,647283,40604326
19,9,CDDC,1,44985462202,38520349779
19,14,DCCC,0,422954,42464242
19,15,CCCC,1,2467361617,6078736177
20,9,CDDC,1,40253244179,42253334954
21,0,DDDD,0,172804542,98258639
21,1,CDDD,0,173689325,105131669
21,9,CDDC,1,49541148702,47968096709
22,8,DDDC,0,448381,31636692
22,9,CDDC,1,4998711905,56333878
22,15,CCCC,1,21949209225,25992577968
23,9,CDDC,0,7709390190,135945876
24,0,DDDD,0,553784,64923279
24,1,CDDD,0,693009,80975574
24,8,DDDC,0,843684,86018456
24,9,CDDC,1,49983546281,14514496537
24,15,CCCC,1,399997,24402514476
25,9,CDDC,1,1731542,101912890
25,15,CCCC,1,25545510706,27427524326
26,0,DDDD,0,7589408973,112290381
26,9,CDDC,1,34414365678,47740917497
27,0,DDDD,0,405916,31490087
27,8,DDDC,0,455773,31538905
27,9,CDDC,1,14995660094,49930234
27,14,DCCC,0,655931,62887968
27,15,CCCC,1,17593527569,25842325490
28,9,CDDC,0,906247946,187014268
29,0,DDDD,0,2136452,69375202
29,1,CDDD,0,4633853,96971598
29,9,CDDC,1,49974393526,48049770866
30,9,CDDC,1,722512,55421809
30,15,CCCC,1,24878476325,26045265659
32,0,DDDD,0,461062,31962432
32,1,CDDD,0,586313,38991082
32,8,DDDC,0,623705,40753767
32,9,CDDC,1,37089432032,48164859817
32,14,DCCC,0,544856,31324551
32,15,CCCC,1,6626246389,32962010
33,15,CCCC,1,21795564941,43527016339
34,0,DDDD,0,8973374305,109353516
34,1,CDDD,0,8373828530,110562754
34,9,CDDC,1,28224653194,47860281181
35,8,DDDC,0,368254,31356905
35,9,CDDC,1,561045,38982683
35,15,CCCC,1,24560665295,26047370601
36,9,CDDC,0,121620087,296064934
37,0,DDDD,0,642345,62612288
37,1,CDDD,0,811307,84564581
37,8,DDDC,0,1002608,91098246
37,9,CDDC,1,49983536268,19332331649
37,15,CCCC,1,370694,5085375556
38,9,CDDC,1,896191,69881424
38,15,CCCC,1,24590209468,28512700890
39,0,DDDD,0,18712312801,13494522973
40,0,DDDD,0,386722,31506221
40,1,CDDD,0,482132,34329847
40,8,DDDC,0,444211,33323223
40,9,CDDC,1,19994531599,14476474472
40,14,DCCC,0,560269,46617497
40,15,CCCC,1,14723262933,21405729289
42,0,DDDD,0,1725340351,106084293
42,1,CDDD,0,1658122252,107629879
42,9,CDDC,1,45731569341,47990990005
43,8,DDDC,0,361115,31346535
43,9,CDDC,1,536199,37808619
43,15,CCCC,1,24474994127,25928808765
45,0,DDDD,0,523128,36547112
45,1,CDDD,0,618528,50130040
45,8,DDDC,0,4998927145,41445969
45,9,CDDC,1,44986783911,4891991444
45,14,DCCC,0,328544,80299840
45,15,CCCC,1,365793,11037425282
46,15,CCCC,1,24371127390,44187033345
47,0,DDDD,0,18039557036,7186325810
47,1,CDDD,0,16923260347,5566256123
48,0,DDDD,0,353488,31368677
48,8,DDDC,0,348247,31360948
48,9,CDDC,1,491550,35483492
48,14,DCCC,0,552238,38838244
48,15,CCCC,1,24472866137,25710971603
50,0,DDDD,0,29444881,68447956
50,1,CDDD,0,33940331,80050620
50,9,CDDC,1,49912489387,48172702815
51,9,CDDC,1,597134,42134787
51,15,CCCC,1,24751091930,26550514994
53,0,DDDD,0,390990,31722095
53,1,CDDD,0,489727,32763395
53,8,DDDC,0,450836,38087815
53,9,CDDC,1,19994851710,43360467571
53,14,DCCC,0,572267,34049683
53,15,CCCC,1,15570360445,2841612484
55,0,DDDD,0,16396787364,115599515
55,1,CDDD,0,15624669858,121521133
55,9,CDDC,1,11058566497,47918917456
56,8,DDDC,0,339229,31349689
56,9,CDDC,1,451444,33380417
56,15,CCCC,1,25302280342,26082756149
58,0,DDDD,0,538524,48715944
58,1,CDDD,0,669965,69889386
58,8,DDDC,0,817300,84893180
58,9,CDDC,1,49985268298,4912754564
58,15,CCCC,1,353289,9766686071
59,15,CCCC,1,24554648886,42802612061
60,0,DDDD,0,15866431127,8795080413
61,0,DDDD,0,350403,31388969
61,1,CDDD,0,407020,31657759
61,8,DDDC,0,366085,31378349
61,9,CDDC,1,9997614307,34639962
61,14,DCCC,0,485352,35867465
61,15,CCCC,1,19159451520,29562746830
63,0,DDDD,0,2217949330,102450779
63,1,CDDD,0,1998682810,107299301
63,9,CDDC,1,44740420301,48054820190
64,9,CDDC,1,465176,34385213
64,15,CCCC,1,25381643365,26199983320
66,0,DDDD,0,449131,11960575961
66,1,CDDD,0,577010,31772115480
66,8,DDDC,0,4998950782,32491617
66,9,CDDC,1,4999310438,4850047950
66,14,DCCC,0,762801,31475337
66,15,CCCC,1,19645103763,32247096
67,15,CCCC,0,1071720322,4356164582
68,0,DDDD,0,19370926826,6598847207
68,1,CDDD,0,18728863948,4716685650
69,0,DDDD,0,335849,31367225
69,8,DDDC,0,331189,31352047
69,9,CDDC,1,411653,32416396
69,14,DCCC,0,451679,32183443
69,15,CCCC,1,24790512490,25592756303
71,0,DDDD,0,710118,46452275
