# Memory two: the 160 (game, strategy) pairs at which the double-precision brute-force scan (every resident against all
# 65535 alternatives; provenance/strict/bruteforce/nescan.f90) disagrees with the exact one-flip test. At every other
# of the 512 x 65536 pairs the two agree. In all 160 the exact test finds a strict equilibrium and the scan does not.
# The re-adjudication in quadruple precision (bruteforce/neq.f90, the same payoff code compiled with every double
# promoted to real(16)) agrees with the exact test at all 160. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Columns:
#   ipt, gid           the game (gid = 2000 + ipt)
#   s                  the resident (the code of m2_sets.csv)
#   margin_float64     pi(s,s) - max_{t != s} pi(t,s) as the double-precision scan computed it (-2.22e-16, -1.11e-16, 0)
#   margin_quad        the same margin in quadruple precision, as QUADFIX.dat prints it (all positive, 1.5e-18 to 2.9e-16)
#   pi_F2, pi_F1       the resident's abundance in the two runs (as in m2_sets.csv)
ipt,gid,s,margin_float64,margin_quad,pi_F2,pi_F1
1,2001,65535,0.0,2.148026322369e-17,1.7319999643395833e-08,4.796778015496062e-05
3,2003,63359,-1.1102230246251565e-16,1.057484540677e-16,8.060000310766746e-08,1.2578099830906102e-05
3,2003,63903,-1.1102230246251565e-16,2.887727079721e-17,1.5739999524318086e-08,0.0007977121287975999
3,2003,65535,-1.1102230246251565e-16,5.757314663201e-18,4.4571999064679517e-07,9.025359771773358e-06
4,2004,65535,0.0,2.011632740622e-17,0.0007776239650066159,0.0007913981099062043
6,2006,63359,-1.1102230246251565e-16,1.4002696741e-16,0.00013841246252977934,6.660046361801921e-05
6,2006,65535,-1.1102230246251565e-16,4.002897401678e-17,1.4155999393111521e-07,2.1176620113618616e-05
9,2009,65535,0.0,4.960176635457e-17,3.2281200254877484e-06,0.0008805487880719949
11,2011,63359,-1.1102230246251565e-16,1.302582080148e-16,1.1960000112609345e-08,1.695819993773902e-05
11,2011,63903,0.0,1.513623340421e-16,1.5159999492200226e-08,0.00019676517713860996
11,2011,65535,-1.1102230246251565e-16,3.026216788501e-17,0.00023672659903606948,1.7258440509983816e-05
12,2012,63903,0.0,6.747843593109e-17,1.8799999777434142e-08,0.001172662479976144
12,2012,65535,-1.1102230246251565e-16,1.348001864634e-17,3.1220000803927974e-08,0.000817229680372018
14,2014,63359,0.0,1.673719265541e-16,9.410000250063423e-08,2.6885740197772884e-05
14,2014,65535,0.0,6.736846553636e-17,3.732199901980159e-07,2.4417780852380406e-05
17,2017,65535,-1.1102230246251565e-16,5.282676599121e-17,1.256000016134512e-08,0.001632777276548453
19,2019,63359,-1.1102230246251565e-16,1.608247488572e-16,5.4800001088674944e-08,1.9643539406875653e-05
19,2019,65535,-1.1102230246251565e-16,6.08225969476e-17,0.0007641629796524871,1.732036070269867e-05
22,2022,65535,0.0,8.318835752363e-17,4.227433960769548e-05,0.001246773638341889
24,2024,63359,0.0,1.271299266556e-16,0.00021915571407473607,1.2876699662595584e-05
24,2024,65535,0.0,2.713451202573e-17,1.3140000194598038e-08,1.0218620450433599e-05
25,2025,65535,0.0,3.818422692467e-17,0.0004285758479528059,0.0007440018812854946
27,2027,63359,0.0,1.891469247952e-16,4.7799999547372224e-09,0.0007692556820781444
27,2027,65535,0.0,8.913910986657e-17,4.1900001719632186e-08,3.4789460153488665e-05
30,2030,65535,0.0,8.426590597568e-17,0.00015892117486680958,5.080620035217459e-05
32,2032,63359,0.0,1.633606956337e-16,2.8080000551120373e-08,1.1492979881952739e-05
32,2032,65535,0.0,6.335803666157e-17,1.132199969500096e-07,1.6281179364798793e-05
33,2033,65535,0.0,8.700155027055e-18,6.296180081241612e-05,0.004280603946476151
35,2035,65535,0.0,1.085720779017e-16,1.5859999546346128e-08,0.001683491981455895
37,2037,63359,0.0,1.103304158494e-16,4.059999896120345e-09,4.01803980893073e-06
37,2037,63903,0.0,5.177517013251e-17,9.94579978536232e-07,6.979119902094785e-06
37,2037,65535,0.0,1.033836028162e-17,1.7539999693415475e-08,3.094939977839171e-06
38,2038,65535,0.0,6.855000749115e-17,0.0003298980881308094,0.0017326561492217636
40,2040,63359,0.0,1.987142382787e-16,4.402400006610864e-07,0.0003904471521324938
40,2040,65535,0.0,9.870451036572e-17,7.093537711438502e-05,0.00011842045927538242
43,2043,65535,0.0,1.136533566799e-16,2.542000035064635e-08,0.003369948135995613
45,2045,63359,-1.1102230246251565e-16,1.532014089319e-16,1.8379999727512326e-08,6.624180099434082e-06
45,2045,65535,-1.1102230246251565e-16,5.320078130909e-17,1.1064000194724316e-07,5.9845201936510904e-06
46,2046,65535,-1.1102230246251565e-16,3.701632618334e-17,5.389999909546862e-08,0.012082108256483901
48,2048,63359,0.0,2.257685238445e-16,0.0012783490812850124,0.0008821346014984813
48,2048,65535,0.0,1.257533864272e-16,2.3344000497611322e-07,0.0009402454050805428
51,2051,65535,0.0,1.01257897503e-16,2.3274000663277342e-07,0.002701017307515314
53,2053,63359,0.0,1.967577830045e-16,9.443174341260568e-05,4.3312640671515915e-05
53,2053,65535,0.0,9.674844628476e-17,0.0010582136447088936,1.7221820616297676e-05
58,2058,63359,-1.1102230246251565e-16,1.320073085836e-16,6.8800001207137526e-09,1.5078800372505607e-06
