# Memory two: the strict Nash equilibria among the 65536 binary memory-two strategies at eps = 1e-4, at each of the
# 512 games (data/games), and the share of the population on them (SI Figures 6d-f and 7d-f). One row per game, in
# ipt order. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Strict: all sixteen one-flip deviations earn strictly less against the resident than it earns against itself, which
# at eps > 0 is strictness against all 65535 other memory-two strategies; decided exactly on the integer half-planes of
# MapBinM2's exact/exactcoef.py (DiskM2WF ne16.verdicts). Made by provenance/strict/reduce_strict.py.
# Columns:
#   ipt, u, v          the game, (R, S, T, P) = (1, u, 1 + v, 0), as in data/games/games.csv
#   n_strict           number of strict Nash equilibria at eps = 1/10000 (SI Figure 6d)
#   n_weak             number of weak equilibria (all sixteen one-flip gains <= 0); equal to n_strict at every game
#   n_eff              number of strategies efficient in the limit eps -> 0 at the game (7639 mutual cooperators below
#                      the switch line u + v = 1, 3072 alternators above it)
#   n_eff_strict       number of strict equilibria that are efficient in the limit (SI Figure 7d)
#   n_strict_float64   number with a positive margin pi(s,s) - max_t pi(t,s) in the double-precision brute-force scan
#                      of all 65535 deviations (provenance/strict/bruteforce), as the scan wrote it; see m2_float64_check.csv
#   share_F2, share_F1         share of the population on the strict equilibria (SI Figure 6e, 6f)
#   share_eff_F2, share_eff_F1 the same for the efficient strict equilibria (SI Figure 7e, 7f)
# Each share equals the sum (numpy.sum, rows in file order) of pi_F2 (pi_F1) over the game's rows of m2_sets.csv, bit for bit.
ipt,u,v,n_strict,n_weak,n_eff,n_eff_strict,n_strict_float64,share_F2,share_F1,share_eff_F2,share_eff_F1
0,-0.091796875,0.083984375,19,19,7639,11,19,0.008616452427122688,0.008527754101994871,0.007593660699704144,0.008524772502020687
1,0.0185546875,-0.21484375,69,69,7639,50,68,0.007937370693189639,0.0029524313711641365,0.007937286453189396,0.0029467868111405734
2,0.169921875,0.2216796875,16,16,7639,10,16,0.006392472955416986,0.01633801655537235,0.006154426233040057,0.016335469675359825
3,-0.3251953125,-0.0576171875,127,127,7639,95,124,0.02173221794118433,0.01567965165681704,0.02114325593006875,0.015670102376923022
4,0.31640625,-0.201171875,66,66,7639,50,65,0.00475105974164784,0.0011454632352449886,0.004750984021648718,0.0011401166952375642
5,-0.107421875,0.400390625,19,19,7639,11,19,0.016964640524794114,0.04435750350361281,0.015166260383053787,0.04435441868359766
6,-0.2080078125,-0.400390625,149,149,7639,95,147,0.01689957601209793,0.033158395918247416,0.016899382812097845,0.033144301938259554
7,0.4560546875,0.166015625,15,15,7639,10,15,0.003990139932004825,0.009451282816014706,0.0027252361964549034,0.009449102716002175
8,-0.4775390625,0.197265625,25,25,7639,11,25,0.014914692553374468,0.059404177385491426,0.013242764736615639,0.05939967120546334
9,0.2314453125,-0.49609375,87,87,7639,50,86,0.006492133966628167,0.00414021863926638,0.006492004866628335,0.004129760339319789
10,0.171875,0.5498046875,12,12,7639,10,12,0.01337229566081618,0.07101734091139697,0.013022589580550019,0.0710163479914133
11,-0.521484375,-0.302734375,139,139,7639,95,136,0.017999616361065292,0.017127642934706696,0.017522541198488988,0.017117445594679297
12,0.615234375,-0.134765625,55,55,7639,50,53,0.014087989515796002,0.002103842680666377,0.014087963795796098,0.0021018132206598074
13,-0.376953125,0.5361328125,19,19,7639,11,19,0.015054290396312698,0.0356077543902834,0.014443155202669096,0.03560413773032141
14,-0.0869140625,-0.673828125,233,233,7639,95,231,0.01046491738060875,0.033015888094882435,0.01046451452060909,0.03298383271489832
15,0.5380859375,0.453125,12,12,7639,10,12,0.0024154901309657484,0.032332923607698794,0.0013281624663531533,0.03233189464768497
16,-0.7255859375,0.0302734375,34,34,7639,11,34,0.006535493536077966,0.03955392563264751,0.002159469120702982,0.03950654351067999
17,0.5302734375,-0.5283203125,56,56,7639,50,55,0.01733684527174239,0.0019803187132081002,0.017336820271742517,0.0019789279331791903
18,-0.03515625,0.76953125,12,12,7639,11,12,0.015347434081602206,0.053425459886856735,0.015326991562017734,0.053424977766840034
19,-0.5078125,-0.6083984375,284,284,7639,95,282,0.014066691111995952,0.022514029758029304,0.014066139691994987,0.022470950038036903
20,0.8056640625,0.1083984375,10,10,7639,10,10,0.007171979434648088,0.004257384344305784,0.007171979434648088,0.004257384344305784
21,-0.68359375,0.4755859375,34,34,7639,11,34,0.009749696518579716,0.04205977980646291,0.007543978714030866,0.04205077838641234
22,0.1875,-0.83203125,89,89,7639,50,88,0.006353916248126153,0.001642315019386394,0.006353811108126437,0.0016346922793831701
23,0.43359375,0.7568359375,10,10,3072,0,10,1.4426400418610404e-06,4.391219941740957e-06,0.0,0.0
24,-0.849609375,-0.271484375,140,140,7639,95,138,0.021522697638910113,0.02869170433479146,0.021036308945376506,0.028681303274748625
25,0.8271484375,-0.3818359375,50,50,7639,50,49,0.004432281080105156,0.0008785536590891381,0.004432281080105156,0.0008785536590891381
26,-0.359375,0.857421875,17,17,7639,11,17,0.015373201627486241,0.06171613647504383,0.01514413930748573,0.061713230695092526
27,-0.3212890625,-0.8916015625,247,247,7639,95,245,0.009563054266587136,0.02529759168962564,0.009562672806588839,0.025266292889659873
28,0.85546875,0.44921875,10,10,3072,0,10,0.00020406619556907058,4.053380027127371e-06,0.0,0.0
29,-0.951171875,0.2509765625,34,34,7639,11,34,0.019897943422370598,0.11438166509917563,0.01870497684822947,0.11437459001920104
30,0.5419921875,-0.8427734375,56,56,7639,50,55,0.005723611856653693,0.00032640593675659264,0.005723595816653729,0.0003253946167750331
31,0.1728515625,1.00390625,4,4,3072,0,4,0.0005380749625995586,1.7303199671680004e-06,0.0,0.0
32,-0.8193359375,-0.6337890625,292,292,7639,95,290,0.014044677038177378,0.040372159213821264,0.014044116598178665,0.040329770733735296
33,1.048828125,-0.0869140625,1,1,7639,1,0,6.296180081241612e-05,0.004280603946476151,6.296180081241612e-05,0.004280603946476151
34,-0.7265625,0.78515625,26,26,7639,11,26,0.014135866935729918,0.056238486036242444,0.013487973619758592,0.0562313687963025
35,0.0048828125,-1.0859375,96,96,7639,56,95,0.0007151699770425263,0.0023106536379083587,0.0007150832770432892,0.0023040538378743002
36,0.740234375,0.81640625,10,10,3072,0,10,5.541999967136005e-08,3.7588399964564476e-06,0.0,0.0
37,-1.11328125,-0.103515625,169,169,7639,117,166,0.02430103200059116,0.12952265503446916,0.016741086720782745,0.129510361394412
38,0.9033203125,-0.685546875,50,50,7639,50,49,0.0008231206623203275,0.0020122533767645695,0.0008231206623203275,0.0020122533767645695
39,-0.2060546875,1.1318359375,5,5,7639,4,5,0.008507961553218417,0.12173037064716853,0.008465443752677562,0.12172938924712268
40,-0.62109375,-0.9873046875,337,337,7639,95,335,0.01643611318428264,0.027767045957282625,0.01643556004428702,0.027722011477478135
41,1.1396484375,0.3125,0,0,3072,0,0,0.0,0.0,0.0,0.0
42,-1.064453125,0.546875,29,29,7639,11,29,0.010728431206281907,0.08587313702784319,0.010226842082946832,0.08586538074784159
43,0.421875,-1.13671875,72,72,7639,56,71,0.0031519284642904724,0.0036595330823669557,0.0031518959042909677,0.00365703130237269
44,0.462890625,1.13671875,4,4,3072,0,4,0.0003850428763736627,2.340360034639239e-06,0.0,0.0
45,-1.123046875,-0.5322265625,324,324,7639,117,322,0.018074745737090954,0.06120601311113169,0.01807414181709306,0.061164255790932036
46,1.201171875,-0.3701171875,1,1,7639,1,0,5.389999909546862e-08,0.012082108256483901,5.389999909546862e-08,0.012082108256483901
47,-0.6435546875,1.09765625,19,19,7639,4,19,0.022180717566441546,0.1479754292434592,0.020763094596472954,0.14794780354384562
48,-0.2705078125,-1.2578125,259,259,7639,106,257,0.008661393873847172,0.032852057830609405,0.008661057653849847,0.03282582857053888
49,1.060546875,0.75390625,0,0,3072,0,0,0.0,0.0,0.0,0.0
50,-1.3056640625,0.1630859375,35,35,7639,11,35,0.010978812706925557,0.09921257495369275,0.010377232612327016,0.09920600329372622
51,0.8623046875,-1.0126953125,56,56,7639,56,55,0.0008228227553517827,0.002793775407709363,0.0008228227553517827,0.002793775407709363
52,0.048828125,1.34375,4,4,3072,0,4,0.0017414602636416704,1.5670000138354038e-06,0.0,0.0
53,-0.9541015625,-0.9677734375,367,367,7639,95,365,0.013211704473072376,0.03488243951312418,0.013211083673078373,0.03483031179325984
54,1.37109375,0.0703125,0,0,3072,0,0,0.0,0.0,0.0,0.0
55,-1.0693359375,0.8837890625,27,27,7639,11,27,0.03997710628797357,0.14172887347231256,0.03810167624762596,0.14172142193230644
56,0.193359375,-1.3876953125,96,96,7639,56,96,0.015183689620533364,0.0016860134207811437,0.015183605500533708,0.0016797577007635642
57,0.802734375,1.1650390625,4,4,3072,0,4,0.0008035781375093446,1.5143800077950351e-06,0.0,0.0
58,-1.392578125,-0.3203125,169,169,7639,117,167,0.01997838800032011,0.08459746433988204,0.01921487417176644,0.08458675533985638
59,1.2548828125,-0.7109375,1,1,7639,1,0,0.0007699033587675855,0.016082240367822312,0.0007699033587675855,0.016082240367822312
60,-0.44921875,1.384765625,10,10,7639,4,10,0.011512595321053282,0.09799006011981021,0.010931405585876266,0.09796527118006411
61,-0.6103515625,-1.3369140625,380,380,7639,106,380,0.0085353574107579,0.03895068184704558,0.008534794110763499,0.038903573267038555
62,1.365234375,0.5791015625,0,0,3072,0,0,0.0,0.0,0.0,0.0
63,-1.4111328125,0.4990234375,35,35,7639,11,35,0.013666247929917401,0.11628422972590431,0.012500059587439011,0.11627543246583819
64,0.708984375,-1.3330078125,56,56,7639,56,55,0.003153555999767609,0.0023322156514126867,0.003153555999767609,0.0023322156514126867
65,0.380859375,1.474609375,4,4,3072,0,4,0.00012622751944414375,1.4782000080262598e-06,0.0,0.0
66,-1.2880859375,-0.8369140625,402,402,7639,117,400,0.017868382697074033,0.07634683253860369,0.01786771417707897,0.07629177287817616
67,1.5283203125,-0.2548828125,1,1,3072,0,0,4.960022118791216e-05,5.648599841562777e-07,0.0,0.0
68,-0.962890625,1.2314453125,19,19,7639,4,19,0.02984797451971912,0.14015042440873127,0.02758026261568114,0.1401228037486485
69,-0.1220703125,-1.5712890625,245,245,7639,106,243,0.017809337259815955,0.030178712039285488,0.017809063199817798,0.030156861499440798
70,1.1611328125,1.0849609375,0,0,3072,0,0,0.0,0.0,0.0,0.0
71,-1.6025390625,-0.015625,174,174,7639,117,171,0.026148655608515863,0.11804348138523285,0.01567497561902354,0.1180305721051293
72,1.201171875,-1.0791015625,1,1,7639,1,0,0.00013284808653576583,0.021547870691936505,0.00013284808653576583,0.021547870691936505
73,-0.158203125,1.6201171875,5,5,3072,0,5,0.0013608706167049344,2.5753999279420647e-06,0.0,0.0
74,-0.9853515625,-1.3125,410,410,7639,106,408,0.009768362455295252,0.03212228285433763,0.009767749275301186,0.03206945567416004
75,1.6259765625,0.3037109375,0,0,3072,0,0,0.0,0.0,0.0,0.0
76,-1.4150390625,0.880859375,27,27,7639,11,27,0.013633219814688756,0.11839115456974095,0.011587801660675178,0.11838358744968158
77,0.4521484375,-1.6171875,72,72,7639,56,71,0.001965371275748637,0.00403593534398,0.001965341555748707,0.00403347734399877
78,0.765625,1.5087890625,4,4,3072,0,4,6.20042782192174e-05,1.4112399779440316e-06,0.0,0.0
79,-1.595703125,-0.6005859375,329,329,7639,117,327,0.015566776783909518,0.06203158086489594,0.01457422311940467,0.06199349862478386
80,1.59375,-0.6396484375,1,1,7639,1,0,9.707060231067397e-05,0.0047099790407739706,9.707060231067397e-05,0.0047099790407739706
81,-0.7490234375,1.5595703125,19,19,7639,4,19,0.013676914925839256,0.09437480507061607,0.010872644835822487,0.0943069297699419
82,-0.5048828125,-1.66796875,380,380,7639,106,378,0.010815957243221385,0.0377063088989697,0.010815439483225265,0.037662942879096925
83,1.509765625,0.89453125,0,0,3072,0,0,0.0,0.0,0.0,0.0
84,-1.73046875,0.3623046875,35,35,7639,11,35,0.010031782449866482,0.11377571114393026,0.007002672992095325,0.11376775364389236
85,1.0380859375,-1.4462890625,1,1,7639,1,0,4.08200016114708e-08,0.019581016156523683,4.08200016114708e-08,0.019581016156523683
86,0.212890625,1.7802734375,4,4,3072,0,4,0.0012960044226609673,1.4262799674647812e-06,0.0,0.0
87,-1.369140625,-1.1767578125,510,510,7639,128,508,0.018193141920242996,0.041701294466938925,0.018192358920250493,0.0416335554871004
88,1.81640625,-0.0576171875,1,1,3072,0,0,6.758885869919433e-05,6.070999913044658e-07,0.0,0.0
89,-1.3095703125,1.2783203125,19,19,7639,4,19,0.028450793756142217,0.18005489294255628,0.02605224819382125,0.18003085434222954
90,0.103515625,-1.83984375,96,96,7639,56,96,0.011498874375298078,0.0035410288486000157,0.011498803035297617,0.0035348662286306992
91,1.1748046875,1.435546875,0,0,3072,0,0,0.0,0.0,0.0,0.0
92,-1.84765625,-0.2666015625,174,174,7639,117,172,0.01871483493490464,0.09021705202859874,0.0164338254647675,0.09020544300872613
93,1.552734375,-1.05859375,1,1,7639,1,0,0.00027540096185369877,0.004389166368375434,0.00027540096185369877,0.004389166368375434
94,-0.43359375,1.8408203125,10,10,3072,0,10,0.001148866746562834,2.8272719565327407e-05,0.0,0.0
95,-0.9306640625,-1.6611328125,415,415,7639,106,413,0.015451225811130237,0.03298686270574287,0.010124885937432729,0.03293777590591397
96,1.8193359375,0.599609375,0,0,3072,0,0,0.0,0.0,0.0,0.0
97,-1.7578125,0.7919921875,27,27,7639,11,27,0.010844347998267969,0.09574401014935736,0.008880795302087114,0.09573708206928268
98,0.7666015625,-1.7822265625,56,56,7639,56,55,0.001179637364702009,0.0036304608914416825,0.001179637364702009,0.0036304608914416825
99,0.642578125,1.84375,4,4,3072,0,4,0.00012685806091058233,1.3878000069688902e-06,0.0,0.0
100,-1.73046875,-0.9306640625,407,407,7639,117,405,0.01563462610985046,0.05287902459600459,0.01563397730985564,0.052827316696124595
101,1.916015625,-0.4853515625,1,1,3072,0,0,0.00021846503666068362,5.797600147846781e-07,0.0,0.0
102,-1.091796875,1.662109375,19,19,7639,4,19,0.015153362605211518,0.09338004200882787,0.01081261389086334,0.09330555406888254
103,-0.3193359375,-1.9755859375,259,259,7639,106,259,0.005168020971308089,0.03435253634915621,0.005167743371308999,0.03432882994928015
104,1.5791015625,1.248046875,0,0,3072,0,0,0.0,0.0,0.0,0.0
