# Memory two: one row per (game, strategy) at which the strategy is a strict Nash equilibrium at eps = 1e-4 (65547 rows).
# Rows ordered by ipt, then s. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Strategy code s = 0..65535: bit k of s (k = 0..15) is 1 if the strategy intends C in state k = 4 x (the most recent outcome) + (the outcome before), outcomes 0 CC, 1 CD, 2 DC, 3 DD from the focal player's side (MapBinM2's exactcoef.py); ALLD 0, ALLC 65535, the memory-one strategy with answers b_j embeds as 15 x sum_j b_j 16^j.
# Columns:
#   ipt                the game (data/games/games.csv)
#   s                  the strategy
#   efficient          1 if efficient in the limit eps -> 0 at this game (SI Figure 7)
#   mutual_cooperator  1 if its self-play in the limit is all CC (one of the 7639)
#   alternator         1 if its self-play in the limit alternates CD, DC perfectly (one of the 3072); 0 in every row
#   float64_strict     1 if the double-precision brute-force scan also found it strict (0 in the 160 rows of m2_float64_check.csv)
#   pi_F2, pi_F1       its time-averaged abundance in the run, normalised so that the 65536 abundances sum to 1
ipt,s,efficient,mutual_cooperator,alternator,float64_strict,pi_F2,pi_F1
0,0,0,0,0,1,4.099999885948752e-09,3.243800105792931e-07
0,32777,1,1,0,1,0.0004708361219296991,0.0020480724034369607
0,32783,1,1,0,1,9.87999990713257e-09,4.679662011469696e-05
0,36864,0,0,0,1,5.700000014744053e-09,3.760999899461307e-07
0,36865,0,0,0,1,5.139999969665697e-09,3.734400021627764e-07
0,36870,0,0,0,1,0.00038264208620257436,3.810399956797839e-07
0,36871,0,0,0,1,5.5600000034744645e-09,4.0841999259311706e-07
0,36872,0,0,0,1,3.4200000532553525e-09,3.8939998570632127e-07
0,36873,1,1,0,1,0.0010874844131810036,0.0014389522827235408
0,36878,0,0,0,1,5.540000001864523e-09,3.9427999321141734e-07
0,36879,1,1,0,1,3.0319998887957293e-08,0.001407374975950508
0,37136,0,0,0,1,0.0006401201812160401,3.3454000430596296e-07
0,37145,1,1,0,1,0.0017543060200049965,2.312678041436254e-05
0,39049,1,1,0,1,0.0013827537155424391,2.977071924075971e-05
0,39321,1,1,0,1,1.4988419900901523e-05,0.0030537121903545334
0,57353,1,1,0,1,0.0014545703274163684,2.1079160415417734e-05
0,57359,1,1,0,1,3.055999890727659e-08,0.000368000531725281
0,61449,1,1,0,1,0.0009031597271790071,2.712571947533062e-05
0,61455,1,1,0,1,0.0005254911945520267,6.076111816929561e-05
1,32768,0,0,0,1,3.759999864124996e-09,2.701000030078855e-07
1,32774,0,0,0,1,4.139999895274304e-09,2.627000130482783e-07
1,32776,0,0,0,1,6.680000103482837e-09,2.9078000828695506e-07
1,32777,1,1,0,1,0.0018074732492757135,1.5829599545090123e-06
1,32782,0,0,0,1,3.140000035347046e-09,2.812599861759482e-07
1,32783,1,1,0,1,1.324000019712905e-08,1.7220800158606708e-06
1,33049,1,1,0,1,1.8555999744713055e-07,5.929999820017787e-07
1,33055,1,1,0,1,1.0920000006954329e-08,0.0008206775534444582
1,33353,1,1,0,1,0.00010716106035893127,1.2100000512721935e-06
1,33625,1,1,0,1,7.559999731528867e-09,5.06979973044516e-07
1,33833,1,1,0,1,1.3368000385257133e-07,6.216400270251956e-07
1,34105,1,1,0,1,1.821999971717051e-08,5.300199749678835e-07
1,34409,1,1,0,1,1.294000017253749e-08,5.988400180164357e-07
1,34681,1,1,0,1,3.39599992310508e-08,5.027999922354969e-07
1,34952,0,0,0,1,6.2400000674152166e-09,3.250800093739448e-07
1,34953,1,1,0,1,2.011999987291705e-08,1.282360018232919e-06
1,35225,1,1,0,1,6.340000164430246e-08,6.795199856717107e-07
1,35529,1,1,0,1,2.129999996964385e-08,1.4011400263722563e-06
1,35801,1,1,0,1,0.00046311167498850264,5.220799725286995e-07
1,36009,1,1,0,1,2.654000039917641e-08,5.375600271116672e-07
1,36281,1,1,0,1,0.0033750624835630597,4.656399997915401e-07
1,36585,1,1,0,1,4.7480000339310386e-08,6.37059998114383e-07
1,36857,1,1,0,1,2.772000049590321e-08,5.109599787058349e-07
1,36864,0,0,0,1,3.060000028789297e-09,2.6827999042145494e-07
1,36865,0,0,0,1,3.4800000632174793e-09,2.857800043168439e-07
1,36870,0,0,0,1,4.439999919865864e-09,2.7164000491280074e-07
1,36871,0,0,0,1,6.060000052660282e-09,2.8985999755201287e-07
1,36872,0,0,0,1,2.479999981245616e-09,2.895000081801013e-07
1,36873,1,1,0,1,4.239999903471491e-09,1.501379985002249e-06
1,36878,0,0,0,1,3.3400000517414183e-09,2.9802001244406026e-07
1,36879,1,1,0,1,6.760000110040586e-09,1.2653999883953975e-06
1,37145,1,1,0,1,3.102599916818104e-07,6.674200113069614e-07
1,37151,1,1,0,1,1.0139999943016276e-08,8.809120124314108e-06
1,39048,0,0,0,1,5.279999988722229e-09,3.2369999327153155e-07
1,39049,1,1,0,1,9.579999897112032e-09,1.1900200442752028e-06
1,39321,1,1,0,1,4.375199861263381e-07,7.305000059147067e-07
1,40953,1,1,0,1,8.739999828255667e-09,4.792199778325526e-07
1,57359,1,1,0,1,0.0005830358709384604,4.01170018745706e-06
1,57631,1,1,0,1,0.00029908487317450484,0.0001389092941398191
1,59257,1,1,0,1,1.5559999499125356e-08,4.883600016881942e-07
1,61433,1,1,0,1,6.200000064136342e-09,4.977999882653858e-07
1,61440,0,0,0,1,4.939999960851795e-09,2.662000044586723e-07
1,61441,0,0,0,1,7.040000132992707e-09,2.9599999628822015e-07
1,61446,0,0,0,1,2.6399999943611143e-09,2.7016000123653743e-07
1,61447,0,0,0,1,3.4400000599386046e-09,3.4076001068290324e-07
1,61448,0,0,0,1,5.640000018232098e-09,3.3559999248858066e-07
1,61449,1,1,0,1,0.0009371957850890661,4.063399959070203e-06
1,61454,0,0,0,1,5.139999977246168e-09,3.2357999681422765e-07
1,61455,1,1,0,1,1.1520000056137444e-08,3.586060077317861e-06
1,61721,1,1,0,1,2.2040000030303028e-08,1.138080052373776e-06
1,61727,1,1,0,1,0.00013206164284239108,0.00028138651416945767
1,62025,1,1,0,1,3.663999945073539e-08,2.8771000891885145e-06
1,62297,1,1,0,1,0.00015751269517468648,5.454600117839436e-07
1,62505,1,1,0,1,2.4260000212280562e-08,1.35102004705726e-06
1,62777,1,1,0,1,1.5479999492567605e-08,5.247400171596759e-07
1,63081,1,1,0,1,1.4440000295495286e-08,1.5729799554522439e-06
1,63353,1,1,0,1,5.860000036265908e-09,5.110200053561963e-07
1,63624,0,0,0,1,3.300000048462544e-09,3.555599906021176e-07
1,63625,1,1,0,1,3.943999968025661e-08,3.95869983841942e-06
1,63631,1,1,0,1,9.501999890718224e-08,0.0001705535397728491
1,63897,1,1,0,1,2.4420000225396062e-08,9.66080052226158e-07
1,63903,1,1,0,1,2.7000000436883468e-08,0.0014233384291917055
1,64201,1,1,0,1,1.969999983848887e-08,5.4319598388377936e-06
1,64473,1,1,0,1,5.121999886952832e-08,5.823200130846409e-07
1,64681,1,1,0,1,9.325999876291177e-08,1.2694599727471126e-06
1,64953,1,1,0,1,7.358659780749855e-05,6.361800051463484e-07
1,65257,1,1,0,1,3.279999913596344e-08,8.76020010957215e-07
1,65529,1,1,0,1,3.8460001376281025e-08,5.175600112312227e-07
1,65535,1,1,0,0,1.7319999643395833e-08,4.796778015496062e-05
2,32777,1,1,0,1,4.134000163956075e-08,0.004730023445078929
2,32783,1,1,0,1,1.4703999793903697e-07,0.001389473211425628
2,36864,0,0,0,1,0.00023800830237730665,4.2159999237378356e-07
2,36865,0,0,0,1,9.719999914983626e-09,4.2862001249659437e-07
2,36870,0,0,0,1,6.4200000863943635e-09,4.2371999610252537e-07
2,36871,0,0,0,1,8.339999800954446e-09,4.3616000779358616e-07
2,36872,0,0,0,1,5.900000043426846e-09,4.215399941451585e-07
2,36873,1,1,0,1,0.004806169308190789,0.0017091012564817668
2,36878,0,0,0,1,8.039999776165495e-09,4.152400096092676e-07
2,36879,1,1,0,1,7.49999973154538e-09,0.0009567837117237407
2,37145,1,1,0,1,0.0013477660248429001,0.003366404213993457
2,39049,1,1,0,1,2.1820000026626272e-08,0.0011141687867688432
2,39321,1,1,0,1,9.739999916636223e-09,0.0014077611271674007
2,57359,1,1,0,1,9.498000251911169e-08,0.0005758639892380738
2,61449,1,1,0,1,1.6174000448276614e-07,0.00046444329213863233
2,61455,1,1,0,1,6.740000112835912e-09,0.000621446641343353
