# The minimum covers of the sets of friendly rivals by prime wildcard patterns (families/families.py; the same
# covers, with the 4x4 tables and the member codes, are printed in families.txt).
# set           W, N, E, S: the friendly rivals of the open wedge (limit reading); S_def: the efficient strategies
#               defensible for T<S; W_and_S: in both W and S; E_and_N: in both E and N
# set_size      the number of strategies in the set
# cover_unique  1 if the minimum cover is unique (decided by forbidding each chosen pattern in turn)
# family        the number of the pattern within the cover, in the order of families.txt (largest first)
# pattern       sixteen symbols, position j = state j = 4*(most recent outcome) + (the outcome before), outcomes
#               CC=0 CD=1 DC=2 DD=3 own action first; 1 = C, 0 = D, * = either
# wildcards     the number of * in the pattern
# members       2^wildcards, the number of strategies the pattern names (patterns of one cover may overlap)
set,set_size,cover_unique,family,pattern,wildcards,members
W,8,1,1,111*000101*1*010,3,8
N,80,1,1,*10*0000*1*1*010,5,32
N,80,1,2,*01*0000*1*1*010,5,32
N,80,1,3,*10*000*11*10010,4,16
N,80,1,4,*01*000*11*10010,4,16
E,80,1,1,101*0*0*1111*10*,5,32
E,80,1,2,101*0*0*1111*01*,5,32
E,80,1,3,10110*00*111*10*,4,16
E,80,1,4,10110*00*111*01*,4,16
S,1519,0,1,111*1***11*1****,9,512
S,1519,0,2,111*1*1*1*11****,8,256
S,1519,0,3,111***1*1111****,8,256
S,1519,0,4,111*111111******,7,128
S,1519,0,5,111*11111*1*****,7,128
S,1519,0,6,111*11111**1****,7,128
S,1519,0,7,1111111***11****,7,128
S,1519,0,8,111111***111****,7,128
S,1519,0,9,1111**1**111*1**,7,128
S,1519,0,10,1111111***1***1*,7,128
S,1519,0,11,11111*1*1*1***1*,7,128
S,1519,0,12,11111*1**11***1*,7,128
S,1519,0,13,1111**1**111**1*,7,128
S,1519,0,14,111*1*1*1*1*1*1*,7,128
S,1519,0,15,11111***11***11*,7,128
S,1519,0,16,1111**1**11**11*,7,128
S,1519,0,17,111*111*11*****1,7,128
S,1519,0,18,111*111*1*1****1,7,128
S,1519,0,19,1111**1**111***1,7,128
S,1519,0,20,111*111***11**00,6,64
S,1519,0,21,111*1*1**111**00,6,64
S,1519,0,22,111111111***1***,6,64
S,1519,0,23,1111111*1*1*1***,6,64
S,1519,0,24,111*111*11***10*,6,64
S,1519,0,25,111*111*1*1**10*,6,64
S,1519,0,26,11111*1*111**1**,6,64
S,1519,0,27,11111*1*11**11**,6,64
S,1519,0,28,1111**1*111*11**,6,64
S,1519,0,29,111111111*****1*,6,64
S,1519,0,30,111*111*11***01*,6,64
S,1519,0,31,111*111*1*1**01*,6,64
S,1519,0,32,111*11111***1*1*,6,64
S,1519,0,33,111*111*11**1*1*,6,64
S,1519,0,34,1*110*0*011**11*,6,64
S,1519,0,35,111111***11**11*,6,64
S,1519,0,36,111*1***111*111*,6,64
S,1519,0,37,111***1*111*111*,6,64
S,1519,0,38,111*111*1**10*00,5,32
S,1519,0,39,111*11***111*000,5,32
S,1519,0,40,11110**10111*1**,5,32
S,1519,0,41,11110**10111**1*,5,32
S,1519,0,42,1*110*0*0111*001,4,16
S_def,1036,0,1,111*1*1*1*11****,8,256
S_def,1036,0,2,111*1***1111****,8,256
S_def,1036,0,3,111***1*1111****,8,256
S_def,1036,0,4,1111111***11****,7,128
S_def,1036,0,5,111111***111****,7,128
S_def,1036,0,6,1111**1**111*1**,7,128
S_def,1036,0,7,1111111***1***1*,7,128
S_def,1036,0,8,11111*1*1*1***1*,7,128
S_def,1036,0,9,11111*1**11***1*,7,128
S_def,1036,0,10,1111**1**111**1*,7,128
S_def,1036,0,11,111*1*1*1*1*1*1*,7,128
S_def,1036,0,12,1111**1**11**11*,7,128
S_def,1036,0,13,1111**1**111***1,7,128
S_def,1036,0,14,111*111***11**00,6,64
S_def,1036,0,15,111*1*1**111**00,6,64
S_def,1036,0,16,1*110*0*011**11*,6,64
S_def,1036,0,17,111111***11**11*,6,64
S_def,1036,0,18,11111***111**11*,6,64
S_def,1036,0,19,111*1***111*111*,6,64
S_def,1036,0,20,111***1*111*111*,6,64
S_def,1036,0,21,111*11***111*000,5,32
S_def,1036,0,22,11110**10111*1**,5,32
S_def,1036,0,23,11110**10111**1*,5,32
S_def,1036,0,24,1*110*0*0111*001,4,16
W_and_S,2,1,1,111100010111*010,1,2
E_and_N,8,1,1,10110000*111*010,2,4
E_and_N,8,1,2,101*000*11110010,2,4
E_and_N,8,1,3,101*00001111*010,2,4
