# DiskM2WF: 19 donation (DonationWF scale) + 19 donation (lam=1) + 16x8 disk grid + 17x17 square + 512-point sunflower (BinM2Ev ca6)
#   gid   ic                       cR                       cS                       cT                    u                    v tag
     1    1   9.4999999999999996e-01  -5.0000000000000003e-02   1.0000000000000000e+00  -5.263157894737e-02   5.263157894737e-02 DONwf3_c0.05
     2    2   9.0000000000000002e-01  -1.0000000000000001e-01   1.0000000000000000e+00  -1.111111111111e-01   1.111111111111e-01 DONwf3_c0.10
     3    3   8.4999999999999998e-01  -1.4999999999999999e-01   1.0000000000000000e+00  -1.764705882353e-01   1.764705882353e-01 DONwf3_c0.15
     4    4   8.0000000000000004e-01  -2.0000000000000001e-01   1.0000000000000000e+00  -2.500000000000e-01   2.500000000000e-01 DONwf3_c0.20
     5    5   7.5000000000000000e-01  -2.5000000000000000e-01   1.0000000000000000e+00  -3.333333333333e-01   3.333333333333e-01 DONwf3_c0.25
     6    6   6.9999999999999996e-01  -2.9999999999999999e-01   1.0000000000000000e+00  -4.285714285714e-01   4.285714285714e-01 DONwf3_c0.30
     7    7   6.5000000000000002e-01  -3.4999999999999998e-01   1.0000000000000000e+00  -5.384615384615e-01   5.384615384615e-01 DONwf3_c0.35
     8    8   5.9999999999999998e-01  -4.0000000000000002e-01   1.0000000000000000e+00  -6.666666666667e-01   6.666666666667e-01 DONwf3_c0.40
     9    9   5.5000000000000004e-01  -4.5000000000000001e-01   1.0000000000000000e+00  -8.181818181818e-01   8.181818181818e-01 DONwf3_c0.45
    10   10   5.0000000000000000e-01  -5.0000000000000000e-01   1.0000000000000000e+00  -1.000000000000e+00   1.000000000000e+00 DONwf3_c0.50
    11   11   4.4999999999999996e-01  -5.5000000000000004e-01   1.0000000000000000e+00  -1.222222222222e+00   1.222222222222e+00 DONwf3_c0.55
    12   12   4.0000000000000002e-01  -5.9999999999999998e-01   1.0000000000000000e+00  -1.500000000000e+00   1.500000000000e+00 DONwf3_c0.60
    13   13   3.4999999999999998e-01  -6.5000000000000002e-01   1.0000000000000000e+00  -1.857142857143e+00   1.857142857143e+00 DONwf3_c0.65
    14   14   3.0000000000000004e-01  -6.9999999999999996e-01   1.0000000000000000e+00  -2.333333333333e+00   2.333333333333e+00 DONwf3_c0.70
    15   15   2.5000000000000000e-01  -7.5000000000000000e-01   1.0000000000000000e+00  -3.000000000000e+00   3.000000000000e+00 DONwf3_c0.75
    16   16   1.9999999999999996e-01  -8.0000000000000004e-01   1.0000000000000000e+00  -4.000000000000e+00   4.000000000000e+00 DONwf3_c0.80
    17   17   1.5000000000000002e-01  -8.4999999999999998e-01   1.0000000000000000e+00  -5.666666666667e+00   5.666666666667e+00 DONwf3_c0.85
    18   18   9.9999999999999978e-02  -9.0000000000000002e-01   1.0000000000000000e+00  -9.000000000000e+00   9.000000000000e+00 DONwf3_c0.90
    19   19   5.0000000000000044e-02  -9.4999999999999996e-01   1.0000000000000000e+00  -1.900000000000e+01   1.900000000000e+01 DONwf3_c0.95
   101    0   1.0000000000000000e+00  -5.2631578947368425e-02   1.0526315789473684e+00  -5.263157894737e-02   5.263157894737e-02 DONlam1_c0.05
   102    0   1.0000000000000000e+00  -1.1111111111111112e-01   1.1111111111111112e+00  -1.111111111111e-01   1.111111111111e-01 DONlam1_c0.10
   103    0   1.0000000000000000e+00  -1.7647058823529413e-01   1.1764705882352942e+00  -1.764705882353e-01   1.764705882353e-01 DONlam1_c0.15
   104    0   1.0000000000000000e+00  -2.5000000000000000e-01   1.2500000000000000e+00  -2.500000000000e-01   2.500000000000e-01 DONlam1_c0.20
   105    0   1.0000000000000000e+00  -3.3333333333333331e-01   1.3333333333333333e+00  -3.333333333333e-01   3.333333333333e-01 DONlam1_c0.25
   106    0   1.0000000000000000e+00  -4.2857142857142860e-01   1.4285714285714286e+00  -4.285714285714e-01   4.285714285714e-01 DONlam1_c0.30
   107    0   1.0000000000000000e+00  -5.3846153846153844e-01   1.5384615384615383e+00  -5.384615384615e-01   5.384615384615e-01 DONlam1_c0.35
   108    0   1.0000000000000000e+00  -6.6666666666666674e-01   1.6666666666666667e+00  -6.666666666667e-01   6.666666666667e-01 DONlam1_c0.40
   109    0   1.0000000000000000e+00  -8.1818181818181812e-01   1.8181818181818181e+00  -8.181818181818e-01   8.181818181818e-01 DONlam1_c0.45
   110    0   1.0000000000000000e+00  -1.0000000000000000e+00   2.0000000000000000e+00  -1.000000000000e+00   1.000000000000e+00 DONlam1_c0.50
   111    0   1.0000000000000000e+00  -1.2222222222222225e+00   2.2222222222222223e+00  -1.222222222222e+00   1.222222222222e+00 DONlam1_c0.55
   112    0   1.0000000000000000e+00  -1.4999999999999998e+00   2.5000000000000000e+00  -1.500000000000e+00   1.500000000000e+00 DONlam1_c0.60
   113    0   1.0000000000000000e+00  -1.8571428571428574e+00   2.8571428571428577e+00  -1.857142857143e+00   1.857142857143e+00 DONlam1_c0.65
