# The random seed of replicate 1 of every game in every run; replicate r used that seed + (r - 1).  Written by
# mkseeds.py from the kit files (see SEEDS.csv for the parameters of each run).  Rows: the 512 games in ipt order.
# Columns:
#   ipt              game index 0..511 (data/games/games.csv)
#   gid              the game id in games.dat and in every packed run: 2000 + ipt
#   isl_m2_e4        task index of the game in the memory-two kits at eps = 1e-4 (ie = 3): 1368 + 3*ipt
#   isl_m2_e3        ... at ie = 2 (eps = 1e-3 in eh/el): 1367 + 3*ipt
#   isl_m2_e5        ... at ie = 1 (eps = 1e-5 in eh/el): 1366 + 3*ipt
#   isl_m1           task index of the game in the memory-one kit mw (ie = 3): 3 + 3*ipt
#   <run>            first seed of the game in that run (one column per row of SEEDS.csv)
ipt,gid,isl_m2_e4,isl_m2_e3,isl_m2_e5,isl_m1,m1_N1000,m1_N100,m2_N1000,m2_N100,f1,f2,dw3,dw4,c1,c2,c3,c4,eh_e3,eh_e5,el_e3,el_e5,lm_g0,lm_g01,lm_g05,m1_N1000_ctrl,m1_N100_ctrl
0,2000,1368,1367,1366,3,10000021,11000021,8013671,9013671,8013671,9013671,10013671,11013671,22013671,23013671,24013671,25013671,20013661,20013651,21013661,21013651,30013671,31013671,32013671,12000021,13000021
1,2001,1371,1370,1369,6,10000051,11000051,8013701,9013701,8013701,9013701,10013701,11013701,22013701,23013701,24013701,25013701,20013691,20013681,21013691,21013681,30013701,31013701,32013701,12000051,13000051
2,2002,1374,1373,1372,9,10000081,11000081,8013731,9013731,8013731,9013731,10013731,11013731,22013731,23013731,24013731,25013731,20013721,20013711,21013721,21013711,30013731,31013731,32013731,12000081,13000081
3,2003,1377,1376,1375,12,10000111,11000111,8013761,9013761,8013761,9013761,10013761,11013761,22013761,23013761,24013761,25013761,20013751,20013741,21013751,21013741,30013761,31013761,32013761,12000111,13000111
4,2004,1380,1379,1378,15,10000141,11000141,8013791,9013791,8013791,9013791,10013791,11013791,22013791,23013791,24013791,25013791,20013781,20013771,21013781,21013771,30013791,31013791,32013791,12000141,13000141
5,2005,1383,1382,1381,18,10000171,11000171,8013821,9013821,8013821,9013821,10013821,11013821,22013821,23013821,24013821,25013821,20013811,20013801,21013811,21013801,30013821,31013821,32013821,12000171,13000171
6,2006,1386,1385,1384,21,10000201,11000201,8013851,9013851,8013851,9013851,10013851,11013851,22013851,23013851,24013851,25013851,20013841,20013831,21013841,21013831,30013851,31013851,32013851,12000201,13000201
7,2007,1389,1388,1387,24,10000231,11000231,8013881,9013881,8013881,9013881,10013881,11013881,22013881,23013881,24013881,25013881,20013871,20013861,21013871,21013861,30013881,31013881,32013881,12000231,13000231
8,2008,1392,1391,1390,27,10000261,11000261,8013911,9013911,8013911,9013911,10013911,11013911,22013911,23013911,24013911,25013911,20013901,20013891,21013901,21013891,30013911,31013911,32013911,12000261,13000261
9,2009,1395,1394,1393,30,10000291,11000291,8013941,9013941,8013941,9013941,10013941,11013941,22013941,23013941,24013941,25013941,20013931,20013921,21013931,21013921,30013941,31013941,32013941,12000291,13000291
10,2010,1398,1397,1396,33,10000321,11000321,8013971,9013971,8013971,9013971,10013971,11013971,22013971,23013971,24013971,25013971,20013961,20013951,21013961,21013951,30013971,31013971,32013971,12000321,13000321
11,2011,1401,1400,1399,36,10000351,11000351,8014001,9014001,8014001,9014001,10014001,11014001,22014001,23014001,24014001,25014001,20013991,20013981,21013991,21013981,30014001,31014001,32014001,12000351,13000351
12,2012,1404,1403,1402,39,10000381,11000381,8014031,9014031,8014031,9014031,10014031,11014031,22014031,23014031,24014031,25014031,20014021,20014011,21014021,21014011,30014031,31014031,32014031,12000381,13000381
13,2013,1407,1406,1405,42,10000411,11000411,8014061,9014061,8014061,9014061,10014061,11014061,22014061,23014061,24014061,25014061,20014051,20014041,21014051,21014041,30014061,31014061,32014061,12000411,13000411
14,2014,1410,1409,1408,45,10000441,11000441,8014091,9014091,8014091,9014091,10014091,11014091,22014091,23014091,24014091,25014091,20014081,20014071,21014081,21014071,30014091,31014091,32014091,12000441,13000441
15,2015,1413,1412,1411,48,10000471,11000471,8014121,9014121,8014121,9014121,10014121,11014121,22014121,23014121,24014121,25014121,20014111,20014101,21014111,21014101,30014121,31014121,32014121,12000471,13000471
16,2016,1416,1415,1414,51,10000501,11000501,8014151,9014151,8014151,9014151,10014151,11014151,22014151,23014151,24014151,25014151,20014141,20014131,21014141,21014131,30014151,31014151,32014151,12000501,13000501
17,2017,1419,1418,1417,54,10000531,11000531,8014181,9014181,8014181,9014181,10014181,11014181,22014181,23014181,24014181,25014181,20014171,20014161,21014171,21014161,30014181,31014181,32014181,12000531,13000531
18,2018,1422,1421,1420,57,10000561,11000561,8014211,9014211,8014211,9014211,10014211,11014211,22014211,23014211,24014211,25014211,20014201,20014191,21014201,21014191,30014211,31014211,32014211,12000561,13000561
19,2019,1425,1424,1423,60,10000591,11000591,8014241,9014241,8014241,9014241,10014241,11014241,22014241,23014241,24014241,25014241,20014231,20014221,21014231,21014221,30014241,31014241,32014241,12000591,13000591
